epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,1291,118835,92.0487993803,3.54086530191
2,2021,212991,105.388916378,9.30655938133
3,1818,368864,202.895489549,9.69431558653
4,2050,475918,232.155121951,11.3058910408
5,1820,299978,164.823076923,20.3699901192
6,1696,499230,294.357311321,16.6564248176
7,1655,344250,208.006042296,20.8174000884
8,1827,555525,304.064039409,18.4632710735
9,1720,638131,371.006395349,16.6827615336
10,2115,687122,324.880378251,16.630445988
11,2268,745051,328.505731922,17.7262793349
