bin_name	Paper-score	Variance (±)
alien	3069,00	1093,00
assault	3359,00	775,00
asterix	6012,00	1744,00
astroids	1629,00	542,00
atlantis	85641,00	17600,00
battle_zone	26300,00	7725,00
beam_rider	6846,00	1619,00
Bowling	42,40	88,00
boxing	71,80	8,40
breakout	401,20	26,90
crazy_climber	114103,00	22797,00
demon_attack	9711,00	2406,00
double_dunk	-18,10	2,60
Enduro	301,80	24,60
Fishing_Derby	-0,80	19,00
freeway	30,30	0,70
frostbite	328,30	250,50
gopher	8520,00	3279,00
hero	19950,00	158,00
ice_hockey	-1,60	2,50
jamesbond	576,70	175,50
kangaroo	6740,00	2959,00
krull	3805,00	1033,00
kung_fu_master	23270,00	5955,00
ms_pacman	2311,00	525,00
name_this_game	7257,00	547,00
pong	18,90	1,30
private_eye	1788,00	5473,00
Qbert	10596,00	3294,00
riverraid	8316,00	1049,00
road_runner	18257,00	4268,00
robotank	51,60	4,70
seaquest	5286,00	1310,00
space_invaders	1976,00	893,00
star_gunner	57997,00	3152,00
tennis	-2,50	1,90
time_pilot	5947,00	1600,00
Tutankham	186,70	41,90
up_n_down	8456,00	3162,00
venture	3800,00	238,60
video_pinball	42684,00	16287,00
wizard_of_wor	3393,00	2019,00
zaxxon	4977,00	1235,00
