epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,216,19720,91.2962962963,1.26533328777
2,140,32920,235.142857143,2.34073021863
3,154,35460,230.25974026,4.05162809538
4,126,31180,247.46031746,4.66801965439
5,127,32800,258.267716535,5.2883297926
6,184,34940,189.891304348,5.35965846436
7,119,40860,343.361344538,5.89372405745
8,132,27220,206.212121212,6.74678182164
9,115,37260,324.0,7.51458761547
10,171,24920,145.730994152,8.64958354674
11,90,36500,405.555555556,8.95212630473
12,64,41400,646.875,8.85638244763
13,147,34980,237.959183673,8.38712247081
14,90,36660,407.333333333,8.43110613197
15,100,38080,380.8,9.11197401233
16,112,38140,340.535714286,9.13718010705
17,123,29820,242.43902439,9.37832283596
18,92,33760,366.956521739,9.18280453319
19,87,37720,433.563218391,8.99564505348
20,156,39440,252.820512821,8.79753456803
21,107,39760,371.588785047,8.75099627281
22,174,34640,199.08045977,8.74466716152
23,110,40060,364.181818182,8.92479700403
24,105,38140,363.238095238,9.10470022965
25,79,51280,649.113924051,9.25249189198
26,87,34460,396.091954023,9.2998558072
27,114,39260,344.385964912,8.7479462425
28,116,34020,293.275862069,8.70878906826
29,76,44060,579.736842105,8.41960340198
30,74,33420,451.621621622,8.36312876879
31,110,46900,426.363636364,8.29419062044
32,98,40200,410.204081633,8.28954076777
33,99,34900,352.525252525,8.72498186813
34,81,34900,430.864197531,9.25389720547
35,91,41620,457.362637363,9.23639075102
36,102,44540,436.666666667,9.10902830048
37,81,48940,604.197530864,9.20515301894
38,90,53620,595.777777778,9.33877699509
39,80,39460,493.25,9.27402330883
40,66,62160,941.818181818,8.98086111516
41,71,62440,879.436619718,8.8072550715
42,145,31360,216.275862069,8.53317318216
43,72,40640,564.444444444,8.54354366889
44,66,61180,926.96969697,8.66116848761
45,59,41860,709.491525424,8.79602392131
46,76,59740,786.052631579,8.76389463788
47,73,40940,560.821917808,9.15166001623
48,92,52420,569.782608696,9.46862987877
49,63,51580,818.73015873,9.38060730357
50,95,50480,531.368421053,9.51693350118
51,113,35940,318.053097345,9.80610182476
52,97,24080,248.24742268,9.82631917498
53,94,43080,458.29787234,10.2086351878
54,121,35220,291.074380165,10.7985826139
55,171,24580,143.742690058,12.9957923151
56,157,32800,208.917197452,16.8661874746
57,154,39880,258.961038961,19.5139385667
58,156,34280,219.743589744,30.3157271073
59,175,13100,74.8571428571,42.1378263412
60,180,25560,142.0,65.6705182942
61,220,21100,95.9090909091,71.6998342171
62,136,27580,202.794117647,90.5458209864
63,195,23640,121.230769231,141.079978548
64,158,24500,155.063291139,173.009437049
