epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,137,826100,6029.9270073,0.956946339123
2,108,1430600,13246.2962963,1.3674843971
3,130,1276500,9819.23076923,1.7019047295
4,183,1019600,5571.58469945,1.80821598046
5,222,672300,3028.37837838,2.01676412365
6,180,968000,5377.77777778,2.00406404556
7,177,1019900,5762.14689266,1.94289723956
8,72,1932900,26845.8333333,1.95027008711
9,133,1355300,10190.2255639,1.93323803503
10,175,1149000,6565.71428571,1.77136816901
11,93,1842500,19811.827957,1.89964963631
12,214,805000,3761.68224299,1.91649033992
13,139,1305400,9391.36690647,1.75464696522
14,113,1388200,12284.9557522,1.64107722938
15,124,1521400,12269.3548387,1.6940888623
