epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,37,0,0.0,0.5485042815
2,37,0,0.0,0.577257860014
3,37,0,0.0,0.54560737568
4,37,0,0.0,0.504946281062
5,37,11,0.297297297297,0.518569549927
6,37,246,6.64864864865,0.635667305216
7,37,521,14.0810810811,0.96570816882
8,37,3452,93.2972972973,1.55540120587
9,36,4719,131.083333333,2.56343325846
10,24,6399,266.625,4.00152924884
11,20,7321,366.05,4.91433679968
12,20,7351,367.55,5.75826482475
13,18,7853,436.277777778,6.19589620356
14,20,6500,325.0,7.81240257669
15,19,7487,394.052631579,9.08874476772
16,18,7330,407.222222222,9.46397754826
17,14,8391,599.357142857,9.66789041355
18,18,7787,432.611111111,10.9052197933
19,19,7000,368.421052632,11.1969438047
20,17,7914,465.529411765,12.1745296344
21,35,4092,116.914285714,12.5282957728
22,14,8144,581.714285714,12.2653869247
23,16,8652,540.75,12.9633258449
24,37,759,20.5135135135,12.9558998181
25,33,7417,224.757575758,12.9813342427
26,37,6691,180.837837838,12.8722455344
27,29,7685,265.0,12.9640800256
28,21,7154,340.666666667,12.7109772974
29,19,8087,425.631578947,12.2499768522
30,21,7779,370.428571429,12.3103973615
31,18,7737,429.833333333,12.4142069052
32,29,7034,242.551724138,13.1044451275
33,13,9232,710.153846154,13.1124441886
34,21,8097,385.571428571,13.1228110248
35,19,8124,427.578947368,13.0244367778
36,34,4759,139.970588235,13.3559738144
37,23,8036,349.391304348,13.1906919548
38,18,7786,432.555555556,12.7238579488
39,21,7312,348.19047619,12.7411202863
40,20,8075,403.75,12.5638291353
41,22,8274,376.090909091,12.1949401551
42,20,8451,422.55,12.659112719
43,26,7450,286.538461538,12.4504563445
44,27,7565,280.185185185,12.9068322662
45,22,7739,351.772727273,12.5955398756
46,17,8278,486.941176471,12.9662565342
47,19,8697,457.736842105,12.5385290596
48,20,7949,397.45,13.0693497717
49,37,2986,80.7027027027,13.0636353099
50,17,8157,479.823529412,13.0678231749
51,19,8263,434.894736842,12.8530471241
52,16,8400,525.0,12.9549664146
53,29,6875,237.068965517,13.0704249296
54,20,7916,395.8,12.9790248898
55,18,8038,446.555555556,12.6956968379
56,18,8396,466.444444444,12.4570132279
57,15,8415,561.0,12.2804752505
58,28,6467,230.964285714,12.8988758427
59,22,7276,330.727272727,12.6881314626
60,13,8351,642.384615385,12.6339409342
61,22,7175,326.136363636,12.9087124008
62,15,9045,603.0,13.0098412371
63,28,6313,225.464285714,12.936958971
64,16,8281,517.5625,12.7497790152
65,23,7022,305.304347826,12.5791946736
66,20,8201,410.05,12.6568878728
67,23,6922,300.956521739,13.1128618947
68,13,8611,662.384615385,12.7589300272
69,15,8299,553.266666667,12.5343194354
70,18,7490,416.111111111,13.0281087461
71,19,7801,410.578947368,12.9509986508
72,30,7634,254.466666667,13.3968470442
73,15,8415,561.0,12.6325442022
74,13,8709,669.923076923,12.1486255273
75,19,8311,437.421052632,12.6709969929
76,15,8671,578.066666667,12.2304932857
77,17,8267,486.294117647,12.1386760253
78,23,7257,315.52173913,12.0827685174
79,20,7804,390.2,11.9611746669
80,17,8148,479.294117647,11.9598232013
81,22,6416,291.636363636,12.4397584763
82,32,6175,192.96875,12.2870908564
83,18,7724,429.111111111,11.9569615337
84,19,8159,429.421052632,12.214282811
85,21,7523,358.238095238,12.283570354
86,17,8521,501.235294118,12.1905743167
87,18,8120,451.111111111,12.2088015756
88,23,7062,307.043478261,12.3693331936
89,27,7293,270.111111111,11.9694073424
90,29,7041,242.793103448,11.9836787733
91,15,8875,591.666666667,11.9708918086
92,15,8674,578.266666667,11.9641921106
93,33,6111,185.181818182,12.4615793702
94,19,7873,414.368421053,12.0995599562
95,18,8623,479.055555556,11.8828985056
96,19,7823,411.736842105,12.12311492
97,17,7635,449.117647059,11.9061409158
98,17,9110,535.882352941,11.7840266618
99,13,8207,631.307692308,12.054684875
100,16,8645,540.3125,12.4705146855
101,17,7653,450.176470588,12.2459564212
102,14,8410,600.714285714,12.3325773111
103,14,8835,631.071428571,12.4876710126
104,15,8989,599.266666667,12.8042338085
105,25,8195,327.8,12.9719945619
106,18,8370,465.0,12.9987531659
107,19,8064,424.421052632,13.0109358031
108,26,7615,292.884615385,12.7196079519
109,25,7357,294.28,12.6832031617
110,23,8149,354.304347826,12.7132530951
111,17,8361,491.823529412,12.3500207481
112,18,8267,459.277777778,12.1377972433
113,18,7567,420.388888889,12.2431935102
114,16,8042,502.625,12.1966041404
115,14,8555,611.071428571,12.1029675829
116,15,7914,527.6,12.1076216269
117,16,8075,504.6875,12.4536731994
118,19,6907,363.526315789,12.4454223686
119,28,7527,268.821428571,12.3872956973
120,28,5895,210.535714286,12.4908258498
121,20,8041,402.05,12.4184770212
122,21,7398,352.285714286,12.1032138792
123,20,7179,358.95,12.1495756805
124,24,7739,322.458333333,11.9872672847
125,18,8084,449.111111111,12.2026647779
126,23,7062,307.043478261,11.9358696198
127,15,8117,541.133333333,11.6899157152
128,15,7939,529.266666667,11.6390131623
129,21,7437,354.142857143,11.6659847438
130,23,7508,326.434782609,11.5943011186
131,18,8456,469.777777778,11.5230726701
132,19,7034,370.210526316,11.6096142405
133,14,8188,584.857142857,11.8087559637
134,35,6712,191.771428571,11.9137128004
135,28,6957,248.464285714,12.1720986006
136,17,7969,468.764705882,11.8378320837
137,20,7986,399.3,12.2045995775
138,18,8589,477.166666667,12.5884466431
139,18,7589,421.611111111,12.4568587011
140,18,8475,470.833333333,11.9385875705
141,34,5148,151.411764706,12.2001512817
