epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,67,-6073,-90.6417910448,0.57586847093
2,68,-6078,-89.3823529412,0.505229806453
3,66,-5622,-85.1818181818,0.576102602808
4,68,-6284,-92.4117647059,0.39565407672
5,68,-6474,-95.2058823529,0.320908679906
6,67,-6427,-95.9253731343,0.000598204797134
7,68,-6494,-95.5,-0.113971243326
8,70,-6502,-92.8857142857,-0.286234723127
9,69,-6573,-95.2608695652,-0.369778795382
10,70,-6844,-97.7714285714,-0.527549369617
11,66,-5988,-90.7272727273,-0.508663444209
12,68,-6240,-91.7647058824,-0.540973407428
13,70,-6576,-93.9428571429,-0.52562644151
14,68,-5949,-87.4852941176,-0.48107049446
15,69,-6357,-92.1304347826,-0.567473496489
16,69,-6393,-92.652173913,-0.472213189767
17,68,-5952,-87.5294117647,-0.338079469263
18,69,-6237,-90.3913043478,-0.275076058523
19,69,-5855,-84.8550724638,-0.327537591283
20,67,-5795,-86.4925373134,-0.277390800579
21,70,-6462,-92.3142857143,-0.263622392192
22,69,-6043,-87.5797101449,-0.135447473915
23,69,-6417,-93.0,-0.057073655501
24,68,-5982,-87.9705882353,0.090134214228
25,69,-6467,-93.7246376812,0.0889710970083
26,66,-5533,-83.8333333333,-0.0215859434847
27,68,-5960,-87.6470588235,-0.0150244271802
28,69,-6241,-90.4492753623,-0.041414587656
29,68,-6048,-88.9411764706,0.138440090809
30,68,-5778,-84.9705882353,0.328841447672
31,68,-5818,-85.5588235294,0.461868576398
32,68,-6106,-89.7941176471,0.551916873916
33,68,-6252,-91.9411764706,0.707818282316
34,69,-6087,-88.2173913043,0.828810977489
35,69,-6257,-90.6811594203,1.14532872383
36,69,-6193,-89.7536231884,1.2176929675
37,68,-5874,-86.3823529412,1.23524745625
38,69,-6173,-89.4637681159,1.21152929435
39,68,-6248,-91.8823529412,1.36049783745
40,71,-6295,-88.661971831,1.27122292361
41,71,-6497,-91.5070422535,1.30840207772
42,67,-6040,-90.1492537313,1.25884988389
43,67,-6017,-89.8059701493,1.2555235513
44,68,-5850,-86.0294117647,1.31261600294
45,69,-6149,-89.115942029,1.49384422972
46,68,-5870,-86.3235294118,1.61769623828
47,68,-5998,-88.2058823529,1.45699239243
48,69,-5994,-86.8695652174,1.41492145014
49,69,-6081,-88.1304347826,1.39362229726
50,69,-6031,-87.4057971014,1.33937043617
51,68,-5880,-86.4705882353,1.40107928569
52,66,-5312,-80.4848484848,1.23873949373
53,68,-6133,-90.1911764706,1.3758741676
54,68,-5872,-86.3529411765,1.32981126945
55,69,-6145,-89.0579710145,1.32736509093
56,70,-6282,-89.7428571429,1.31509695605
57,67,-5973,-89.1492537313,1.41317409279
58,67,-5903,-88.1044776119,1.34105775174
59,69,-5801,-84.0724637681,1.34814083351
60,66,-5910,-89.5454545455,1.51867347185
61,68,-5570,-81.9117647059,1.55450544564
62,69,-6159,-89.2608695652,1.82792221347
63,67,-5921,-88.3731343284,1.83421209576
64,65,-5825,-89.6153846154,2.04021871077
65,68,-6044,-88.8823529412,2.22245058227
66,68,-6394,-94.0294117647,2.46996335998
67,69,-6279,-91.0,2.61320376126
68,68,-5850,-86.0294117647,2.72740825808
69,67,-6417,-95.776119403,2.95752974886
70,70,-6484,-92.6285714286,3.11830882581
71,68,-6342,-93.2647058824,3.2717942577
72,70,-6150,-87.8571428571,3.17541169876
73,66,-5830,-88.3333333333,3.30265446244
74,70,-6708,-95.8285714286,3.34624646787
75,68,-5964,-87.7058823529,3.43204587106
76,68,-6254,-91.9705882353,3.38505542828
77,66,-5600,-84.8484848485,3.21273978727
78,67,-6215,-92.7611940299,3.09126552014
79,68,-5676,-83.4705882353,2.92628641494
80,70,-6068,-86.6857142857,2.83739898667
81,68,-6180,-90.8823529412,2.77936831119
82,66,-5536,-83.8787878788,2.78650704185
83,66,-5838,-88.4545454545,2.71455287375
84,70,-5966,-85.2285714286,2.63473358922
85,68,-6024,-88.5882352941,2.64063486557
86,69,-6351,-92.0434782609,2.59960273059
87,67,-6237,-93.0895522388,2.6698520677
88,69,-5981,-86.6811594203,2.69599032465
89,70,-6598,-94.2571428571,2.82988322668
90,68,-5840,-85.8823529412,2.71918958383
91,68,-6028,-88.6470588235,2.75752402071
92,69,-6177,-89.5217391304,2.9220871111
93,69,-5933,-85.9855072464,2.97330211472
94,69,-6281,-91.0289855072,2.97032493006
95,69,-6213,-90.0434782609,3.08978894372
96,70,-6672,-95.3142857143,3.18395056769
97,67,-6039,-90.1343283582,3.2590486709
98,67,-6003,-89.5970149254,3.10688983541
99,71,-6455,-90.9154929577,3.25646312688
100,71,-6573,-92.5774647887,3.03550920222
101,68,-6000,-88.2352941176,3.23079785433
102,67,-5745,-85.7462686567,3.24268944643
103,68,-5884,-86.5294117647,3.28458592702
104,68,-6176,-90.8235294118,3.292942027
105,70,-6630,-94.7142857143,3.2338647785
106,71,-6609,-93.0845070423,3.27831479769
107,66,-5608,-84.9696969697,3.50258016042
108,67,-6159,-91.9253731343,3.49561502054
109,67,-5639,-84.1641791045,3.58595836654
110,69,-6283,-91.0579710145,3.68817695729
111,71,-6751,-95.0845070423,3.58784663685
112,70,-6462,-92.3142857143,3.65710565083
113,69,-6505,-94.2753623188,3.69204528552
114,67,-5929,-88.4925373134,3.68164499752
115,69,-6265,-90.7971014493,3.7288717908
116,68,-6322,-92.9705882353,3.60450987983
117,70,-6270,-89.5714285714,3.54629576448
118,66,-5756,-87.2121212121,3.35639613148
