epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,257,88200,343.190661479,0.880680427128
2,348,88200,253.448275862,1.734610847
3,162,84100,519.135802469,2.45584550657
4,140,67625,483.035714286,2.88508412853
5,157,135050,860.191082803,3.45670349685
6,171,108375,633.771929825,4.09225505851
7,153,113475,741.666666667,4.53606170672
8,153,102675,671.078431373,4.99259522643
9,110,77375,703.409090909,5.37595243938
10,145,151875,1047.4137931,5.67314171493
11,152,208600,1372.36842105,5.83455254993
12,138,83600,605.797101449,6.2633701893
13,146,205375,1406.67808219,6.57032796187
14,131,255175,1947.90076336,6.44599185532
15,128,188425,1472.0703125,6.8263722472
16,159,231825,1458.01886792,7.02027589788
17,159,282875,1779.08805031,6.97653222183
18,171,102550,599.707602339,6.84197252593
19,150,119775,798.5,6.99912585474
20,156,287600,1843.58974359,7.61838768374
21,181,220825,1220.02762431,7.78674545035
22,140,378125,2700.89285714,7.79525272945
23,135,431925,3199.44444444,8.00131909091
24,175,190250,1087.14285714,8.09275373874
25,195,168250,862.820512821,8.2394229563
26,133,91375,687.030075188,8.7588351104
27,153,316700,2069.93464052,8.78701904031
28,168,345075,2054.01785714,9.38699294522
29,177,219250,1238.70056497,10.3275385189
30,148,432575,2922.80405405,11.6969444877
31,164,199500,1216.46341463,13.4572417442
32,138,506725,3671.92028986,13.4779708624
33,122,329050,2697.13114754,13.5963301131
34,138,402700,2918.11594203,13.5348709179
35,156,581625,3728.36538462,13.257450208
36,130,461625,3550.96153846,13.0772719945
37,143,398325,2785.48951049,12.6227183197
38,165,650350,3941.51515152,12.254650654
39,139,253325,1822.48201439,11.9166171316
40,138,501700,3635.50724638,11.9698912636
41,121,500825,4139.04958678,11.4845949236
42,144,532700,3699.30555556,11.7878628821
43,166,268150,1615.36144578,11.9482590376
44,146,452300,3097.94520548,12.0274467637
45,148,603000,4074.32432432,12.0145774
46,139,291625,2098.02158273,12.3281852192
47,122,469375,3847.33606557,12.0363336547
48,136,558825,4109.00735294,12.0849607924
49,121,502575,4153.51239669,12.2041102691
50,145,550075,3793.62068966,12.6343937505
51,145,524150,3614.82758621,12.7448550669
52,129,538325,4173.0620155,12.5561095887
53,146,826625,5661.81506849,12.2442160935
54,157,630375,4015.12738854,11.6736398176
55,186,508375,2733.19892473,11.9620796126
56,162,714900,4412.96296296,11.932529539
57,133,578600,4350.37593985,12.5061193198
58,153,737025,4817.15686275,12.5658194043
59,131,573100,4374.80916031,12.9084481294
60,127,756875,5959.64566929,13.5619695681
61,112,665525,5942.1875,13.1301836011
62,154,465075,3019.96753247,12.7945950952
63,156,890750,5709.93589744,13.0479004735
64,147,584050,3973.1292517,13.2455076994
65,132,661575,5011.93181818,12.8321615991
66,131,830275,6337.97709924,12.5093908338
67,149,712200,4779.86577181,13.1781428391
68,133,883750,6644.73684211,13.2124782146
69,173,598275,3458.23699422,13.4050191497
70,152,763250,5021.38157895,12.5774337744
71,152,890450,5858.22368421,12.6207884627
72,158,474200,3001.26582278,12.4703235362
73,111,781025,7036.26126126,12.5872985301
74,140,884625,6318.75,12.4650479781
75,130,914550,7035.0,12.4272733259
76,143,797225,5575.0,12.9339753274
77,126,835550,6631.34920635,13.1124835347
78,142,910850,6414.43661972,13.2389228621
79,139,915850,6588.84892086,13.1165448856
80,146,954900,6540.4109589,13.2531737151
81,143,900050,6294.05594406,13.1868080099
82,146,980700,6717.12328767,12.8151794672
83,145,848100,5848.96551724,12.5309610247
84,143,782100,5469.23076923,12.4092218012
85,139,962400,6923.74100719,12.344762079
86,148,998050,6743.58108108,12.5862699981
87,128,836450,6534.765625,12.0555567328
88,138,852975,6180.97826087,12.4930457681
89,137,859625,6274.6350365,11.9084232834
90,115,827375,7194.56521739,11.6544361198
91,132,987050,7477.65151515,11.9183665006
92,86,655450,7621.51162791,11.840312827
93,156,746500,4785.25641026,11.7788955443
94,112,763575,6817.63392857,11.3456727433
95,137,871575,6361.86131387,11.4327067074
96,131,947175,7230.34351145,11.5445349735
