epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,4,26,6.5,0.995253276248
2,63,7344,116.571428571,1.87280693721
3,3,71,23.6666666667,2.5341631405
4,1,155,155.0,3.04547448748
5,141,9190,65.1773049645,3.5714698959
6,62,13128,211.741935484,4.54522199169
7,69,14765,213.985507246,5.61377378024
8,141,14781,104.829787234,6.86852423515
9,3,102,34.0,7.7577175935
10,321,2302,7.17133956386,8.44117132604
11,109,2846,26.1100917431,9.2469852707
12,2,261,130.5,10.1434403653
13,262,8127,31.0190839695,10.5749862102
14,132,6934,52.5303030303,10.9079138266
15,95,9935,104.578947368,11.4087719623
16,2,133,66.5,11.7883019272
17,10,1021,102.1,11.9359926902
18,119,8286,69.6302521008,12.0795965306
19,2,121,60.5,12.6082323145
20,70,4050,57.8571428571,12.5074243432
21,17,1682,98.9411764706,12.2552342449
22,93,4447,47.8172043011,12.7284454164
23,70,6266,89.5142857143,12.9044573288
24,1,108,108.0,13.0928458841
25,25,2588,103.52,13.2754501343
26,108,7822,72.4259259259,13.8935783906
27,116,3026,26.0862068966,13.5925731822
28,122,10398,85.2295081967,13.2514522104
29,220,6882,31.2818181818,12.8904747559
30,68,4248,62.4705882353,12.6556825479
31,56,6076,108.5,12.4346419755
32,232,4037,17.400862069,12.4856579738
33,138,10418,75.4927536232,12.3546665871
34,54,5968,110.518518519,12.3051336056
35,160,7759,48.49375,12.0830291456
36,146,6772,46.3835616438,12.4314593696
37,160,10819,67.61875,12.4971158456
38,19,1070,56.3157894737,12.8340587395
39,45,4909,109.088888889,12.3938455763
40,54,4709,87.2037037037,12.5031343373
41,3,418,139.333333333,12.6232179131
42,11,1112,101.090909091,12.2355347961
43,98,7182,73.2857142857,12.1784714113
44,138,6023,43.6449275362,11.6502338374
45,102,5256,51.5294117647,11.2586133958
46,131,13479,102.893129771,10.9841896014
47,35,1376,39.3142857143,11.004863874
48,52,4072,78.3076923077,11.0694589189
49,10,680,68.0,10.703327891
50,7,631,90.1428571429,11.0388284258
51,129,10620,82.3255813953,11.0738975654
52,172,13693,79.6104651163,10.9102458582
53,153,11051,72.2287581699,11.1389125682
54,1,112,112.0,11.4501208736
55,157,13347,85.0127388535,11.1623817169
56,1,277,277.0,11.1369218623
57,165,10246,62.096969697,11.1326030644
58,32,4085,127.65625,11.1907136563
59,69,5507,79.8115942029,11.2551589726
60,159,12345,77.641509434,11.3092205118
61,2,80,40.0,11.1429088649
62,37,2061,55.7027027027,11.1114804176
63,54,6035,111.759259259,11.4243941542
64,34,2008,59.0588235294,11.2845095979
65,12,1439,119.916666667,11.5387630126
66,56,4255,75.9821428571,11.3346107605
67,6,489,81.5,10.8098392478
68,1,0,0.0,11.2038058566
69,116,6464,55.724137931,10.4241502932
70,1,36,36.0,10.4940457313
71,25,1889,75.56,10.2820210814
72,32,2493,77.90625,10.058694104
73,5,347,69.4,10.1627089658
74,196,9470,48.3163265306,10.0438596197
75,8,259,32.375,10.3820964809
76,248,5286,21.314516129,10.5194421043
77,358,8139,22.7346368715,11.5943016432
78,229,4996,21.8165938865,12.9523184245
79,266,6008,22.5864661654,13.8143409512
80,19,549,28.8947368421,14.5562713555
81,71,2131,30.014084507,14.713713748
82,91,3878,42.6153846154,14.3775095837
83,216,4014,18.5833333333,13.3136218345
84,65,6678,102.738461538,12.0095233407
85,1,117,117.0,11.1673135052
86,156,8591,55.0705128205,10.7009665592
87,128,9102,71.109375,10.4648204923
88,99,5976,60.3636363636,11.0584465785
89,229,9954,43.4672489083,11.4208282385
90,10,437,43.7,11.0896919333
91,197,11306,57.3908629442,10.7743847205
92,2,1,0.5,10.3295448803
93,204,11863,58.1519607843,10.1465768519
94,35,3328,95.0857142857,9.81131095218
95,40,2886,72.15,9.84602906605
96,33,2653,80.3939393939,9.93568391001
97,157,11164,71.1082802548,9.82588923645
98,2,214,107.0,9.84669544958
99,19,2243,118.052631579,9.68682811521
100,20,1998,99.9,9.79830888776
101,278,4713,16.9532374101,10.1002286669
102,1,71,71.0,10.0688697711
103,13,1834,141.076923077,9.99185964023
104,16,1501,93.8125,9.90268472294
105,27,3798,140.666666667,10.2235678063
106,4,306,76.5,10.4122234951
107,112,13603,121.455357143,10.35859528
108,143,14753,103.167832168,10.5976475396
109,15,1134,75.6,10.8591819256
110,66,6003,90.9545454545,10.6281952251
111,178,12384,69.5730337079,10.6867938984
112,1,269,269.0,10.1781866341
113,11,836,76.0,10.0088413756
114,1,191,191.0,10.3503831158
115,4,165,41.25,10.682116978
116,116,14961,128.974137931,10.5006212431
117,41,5013,122.268292683,10.083737817
118,8,1118,139.75,10.0530214214
119,135,6349,47.0296296296,9.68980701237
120,170,11817,69.5117647059,9.90114334684
121,17,1118,65.7647058824,9.73973842302
122,31,2491,80.3548387097,9.76230403493
123,15,1770,118.0,9.88174485327
