epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,264,46290,175.340909091,2.04178229064
2,200,80340,401.7,4.36714728616
3,223,85440,383.139013453,6.3917069421
4,174,66430,381.781609195,8.03488654358
5,194,102530,528.505154639,9.54079252639
6,197,109200,554.314720812,10.8440386576
7,170,95570,562.176470588,12.0310440883
8,213,125580,589.577464789,13.8166368948
9,193,132460,686.321243523,15.7202150687
10,192,66130,344.427083333,16.317808689
11,185,150460,813.297297297,16.6360639671
12,167,145670,872.275449102,18.0085157917
13,171,138270,808.596491228,19.6508219733
14,174,145460,835.977011494,20.8357749005
15,157,145190,924.777070064,20.7067421604
16,160,178200,1113.75,20.5768385677
17,166,171750,1034.63855422,21.1353378459
18,163,178580,1095.58282209,21.5416518264
19,153,154530,1010.0,22.2712868214
20,149,184840,1240.53691275,22.6036324474
21,138,175110,1268.91304348,22.9729762919
22,140,205390,1467.07142857,23.2992164796
23,132,188460,1427.72727273,23.1017935678
24,138,202970,1470.79710145,22.5495094736
25,133,166910,1254.96240602,22.0945865628
26,124,170130,1372.01612903,23.6199347724
27,128,181140,1415.15625,24.2803514569
28,133,162600,1222.55639098,24.6931042589
29,149,163830,1099.53020134,24.3646919817
30,139,162620,1169.92805755,24.0705176719
31,126,180250,1430.55555556,23.427189476
32,129,189310,1467.51937984,23.4752525017
33,131,146560,1118.77862595,23.8176043096
34,125,166910,1335.28,24.2072736289
35,127,179470,1413.1496063,24.3210713533
36,125,193640,1549.12,24.8697876217
37,129,195580,1516.12403101,24.9447082698
38,136,195800,1439.70588235,24.4614016563
39,129,139720,1083.10077519,24.3954341833
40,124,167130,1347.82258065,24.3620041536
41,119,163670,1375.37815126,24.2925491823
42,129,177590,1376.66666667,24.391704634
43,134,178050,1328.73134328,23.1383238506
44,131,168010,1282.51908397,23.5577915704
45,126,158250,1255.95238095,23.4685298619
46,126,174410,1384.20634921,23.441360361
47,135,169420,1254.96296296,23.3813609357
48,127,160890,1266.8503937,22.6060927339
49,129,188720,1462.94573643,23.0481285897
50,128,159410,1245.390625,22.8481229603
51,137,163760,1195.32846715,22.9313446181
52,125,204390,1635.12,22.9292287189
53,123,173270,1408.69918699,23.7708697189
54,116,171350,1477.15517241,22.8122464362
55,126,167260,1327.46031746,23.0888160314
56,151,177040,1172.45033113,23.2175584155
57,121,171650,1418.59504132,22.972099728
58,137,196230,1432.33576642,22.2345150749
59,130,217030,1669.46153846,22.1668656123
60,128,217030,1695.546875,22.0107321949
61,130,179110,1377.76923077,22.0603135037
62,123,159880,1299.83739837,21.9903674814
63,128,157040,1226.875,22.5648985115
64,116,164390,1417.15517241,22.4011124992
65,125,161720,1293.76,22.5335222422
66,136,146000,1073.52941176,23.0638350229
67,127,190760,1502.04724409,23.159902686
68,124,197060,1589.19354839,23.2470401864
69,117,173880,1486.15384615,22.6602172275
70,122,167880,1376.06557377,22.8851306948
71,119,162350,1364.28571429,22.9887321289
72,127,178920,1408.81889764,23.1750655101
73,126,191600,1520.63492063,22.1135028109
74,118,186750,1582.62711864,23.265667167
75,146,143540,983.150684932,22.973830792
76,127,173890,1369.21259843,22.6699017367
77,117,158690,1356.32478632,23.1449984734
78,118,164570,1394.66101695,23.5269951485
79,119,182290,1531.8487395,22.9173498836
80,129,182370,1413.72093023,23.3739242345
81,127,182990,1440.86614173,22.9844686139
82,125,186830,1494.64,23.7263005123
83,120,199420,1661.83333333,23.0420818967
84,124,175340,1414.03225806,23.2774344923
85,133,165780,1246.46616541,23.7468522146
86,118,152610,1293.30508475,23.3957216617
87,125,182860,1462.88,23.3691515167
88,112,150400,1342.85714286,22.7805125055
89,126,170900,1356.34920635,23.0899669306
90,133,199120,1497.14285714,22.9223729278
91,114,195620,1715.96491228,22.6153299373
92,110,187140,1701.27272727,22.7882314309
93,127,223770,1761.96850394,22.5873892966
94,119,190370,1599.74789916,23.074856452
95,125,190610,1524.88,23.1917483467
96,127,223090,1756.61417323,23.0564815229
97,117,183220,1565.98290598,22.4973295334
98,124,202690,1634.59677419,22.2173449865
99,120,207460,1728.83333333,22.4831058916
100,118,168710,1429.74576271,21.4142717946
101,125,189820,1518.56,22.0374775326
102,119,187770,1577.89915966,21.4506014606
103,120,191070,1592.25,21.0709816709
104,122,178310,1461.55737705,21.8941577753
105,122,177320,1453.44262295,22.1243626541
106,122,175200,1436.06557377,22.42317902
107,135,202670,1501.25925926,22.2258303633
108,127,207250,1631.88976378,21.4546553546
109,120,195720,1631.0,21.2052487931
110,113,170330,1507.34513274,20.7593302628
111,110,170580,1550.72727273,20.7086203423
112,112,180870,1614.91071429,20.7545164882
113,117,184520,1577.09401709,20.2415485111
114,122,195670,1603.85245902,20.3788958967
115,109,174860,1604.22018349,20.7047659697
116,122,170210,1395.16393443,21.7438419977
117,109,173600,1592.66055046,21.758146911
118,118,190830,1617.20338983,21.7209164056
119,114,187850,1647.80701754,22.0041084853
120,129,191210,1482.24806202,22.9492527106
121,112,193150,1724.55357143,22.0951119044
122,119,179110,1505.12605042,21.8581631821
123,118,204760,1735.25423729,21.3447051197
124,118,178960,1516.61016949,21.4009654808
125,117,179000,1529.91452991,21.6825186235
126,121,166080,1372.56198347,22.4308427858
127,130,186810,1437.0,22.3745880115
128,114,177380,1555.96491228,21.650825634
129,115,192600,1674.7826087,21.321396381
130,116,185420,1598.44827586,20.7227909678
131,119,192590,1618.40336134,20.8487462556
132,114,208960,1832.98245614,20.7997106838
133,110,168360,1530.54545455,20.7917600977
134,118,187230,1586.69491525,21.580056394
135,111,170710,1537.92792793,20.7984509027
136,119,199160,1673.61344538,21.0922782072
137,112,160500,1433.03571429,21.3152298173
138,112,177630,1585.98214286,21.428011122
139,107,141160,1319.25233645,20.7797078511
140,116,168580,1453.27586207,21.0889469525
141,137,164100,1197.81021898,21.5765357763
142,115,194680,1692.86956522,21.5854600129
143,117,166970,1427.09401709,20.8278453606
144,112,165640,1478.92857143,20.7516883665
145,110,152870,1389.72727273,20.5421622509
146,112,165320,1476.07142857,21.3926212421
147,103,141920,1377.86407767,20.5423233986
148,107,163700,1529.90654206,21.1476801741
149,116,178850,1541.81034483,21.5403443897
150,109,150680,1382.3853211,21.577733008
151,124,163520,1318.70967742,21.4138220686
152,103,134100,1301.94174757,21.7076110452
153,126,206380,1637.93650794,21.4478391692
154,112,167020,1491.25,22.1272156149
155,102,132260,1296.66666667,22.2493116572
156,107,163420,1527.28971963,22.0629668671
157,103,154450,1499.51456311,22.3189557046
