epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,180,4154,23.0777777778,0.849613126107
2,175,3211,18.3485714286,1.11982232859
3,137,5102,37.2408759124,2.0886102669
4,180,11121,61.7833333333,2.80534037654
5,111,6864,61.8378378378,3.47919502215
6,113,8617,76.2566371681,4.00571212135
7,102,11088,108.705882353,4.74396913705
8,118,12094,102.491525424,5.73377689121
9,118,15124,128.169491525,6.53997640852
10,88,11066,125.75,6.67030537382
11,95,12174,128.147368421,6.75482063666
12,104,13277,127.663461538,7.34836051915
13,89,13761,154.617977528,8.06263102699
14,95,17334,182.463157895,8.64964211006
15,82,15889,193.768292683,9.30932676401
16,85,16617,195.494117647,9.77436383262
17,79,20501,259.506329114,9.91296877045
18,80,18466,230.825,9.87374047354
19,72,18054,250.75,9.72898629472
20,75,17729,236.386666667,9.83384656921
21,116,17236,148.586206897,10.1901411792
22,74,19761,267.040540541,10.1377689808
23,82,16376,199.707317073,10.0872266664
24,80,19243,240.5375,10.0833309445
25,83,22188,267.325301205,10.1035654566
26,70,23607,337.242857143,10.0011984412
27,74,22747,307.391891892,9.92951001406
28,77,24994,324.597402597,10.1537293261
29,86,21129,245.686046512,10.1049824673
30,82,24038,293.146341463,10.0689599833
31,76,26554,349.394736842,10.0632489
32,77,28350,368.181818182,9.93784889624
33,80,27167,339.5875,9.7493854624
34,71,25081,353.253521127,9.54467106387
35,77,28795,373.961038961,9.44924831703
36,70,27288,389.828571429,9.89098348439
37,63,28532,452.888888889,9.68658790484
38,66,28838,436.939393939,9.54702078074
39,77,29083,377.701298701,9.33068235539
40,73,28373,388.671232877,9.7029322423
41,83,23490,283.012048193,9.48828818731
42,70,29497,421.385714286,9.62973018788
43,76,30794,405.184210526,10.0179840079
44,77,27596,358.38961039,9.90132197931
45,82,25962,316.609756098,10.1603477858
46,72,26535,368.541666667,10.4369903941
47,72,30213,419.625,10.3475162779
48,72,27156,377.166666667,10.2382295239
49,67,30265,451.71641791,10.5804110493
50,71,31245,440.070422535,10.8045836082
51,89,22702,255.078651685,10.4513382205
52,72,30735,426.875,10.1129759118
53,72,35350,490.972222222,10.0063493602
54,75,31187,415.826666667,9.8000750722
55,69,32461,470.449275362,9.67585648999
56,71,35680,502.535211268,9.88315048583
57,71,31162,438.901408451,10.1998488162
58,68,33955,499.338235294,9.72847230449
59,67,34743,518.552238806,9.76355582148
60,76,34251,450.671052632,9.50241285205
61,65,40467,622.569230769,9.52912875414
62,77,35363,459.25974026,9.69481457114
63,78,26866,344.435897436,9.7555996643
64,72,36202,502.805555556,9.80601234779
65,71,35599,501.394366197,9.96076816611
66,68,37808,556.0,9.71604829535
67,64,42665,666.640625,9.67574825451
68,79,35722,452.17721519,9.55612924404
69,68,42283,621.808823529,9.66775414534
70,68,37496,551.411764706,9.80556322396
71,63,38977,618.682539683,9.4064670001
72,73,37256,510.356164384,9.296709425
73,64,36083,563.796875,9.88687272266
74,65,42240,649.846153846,9.68492118835
75,72,29731,412.930555556,9.84867837094
76,63,41752,662.73015873,9.90605389178
77,62,36923,595.532258065,9.91206133232
78,62,40679,656.112903226,9.69989210948
79,87,32931,378.517241379,9.94192988187
80,65,39659,610.138461538,9.98385463268
81,61,41773,684.803278689,9.92567916147
82,65,42482,653.569230769,9.71295772284
83,68,38567,567.161764706,9.63322394788
84,65,43750,673.076923077,9.70351676524
85,60,45113,751.883333333,9.53205998167
86,67,42324,631.701492537,9.6540314436
87,69,41588,602.724637681,9.33738333248
88,76,39552,520.421052632,9.21567870721
89,82,32627,397.890243902,9.41919595927
90,87,29930,344.022988506,9.65926961534
91,61,45368,743.737704918,9.45594140157
92,63,42651,677.0,9.3406962017
93,63,42447,673.761904762,9.29701325782
94,93,31968,343.741935484,9.16721134402
95,67,34219,510.731343284,9.47851187527
96,67,43883,654.970149254,9.54413718984
97,65,40609,624.753846154,9.4712343926
98,67,43984,656.47761194,9.59117273904
99,61,46808,767.344262295,9.82828697212
100,70,38046,543.514285714,9.98398377597
101,58,47087,811.844827586,9.74993921652
102,67,43630,651.194029851,9.76927035242
103,62,42291,682.112903226,9.4540088667
104,83,34890,420.361445783,9.53815229364
105,73,36364,498.136986301,9.50965380199
106,57,44698,784.175438596,9.56691748135
107,69,42877,621.405797101,9.56844892912
108,77,34848,452.571428571,9.82431458376
109,70,38929,556.128571429,9.66863371357
110,68,44169,649.544117647,10.0044290983
111,59,46613,790.050847458,9.93141659804
112,60,42520,708.666666667,10.0507099102
113,60,45813,763.55,9.74834441073
114,67,43723,652.582089552,9.88163262472
115,68,41309,607.485294118,9.78181198485
116,64,42059,657.171875,9.74189494982
117,64,42191,659.234375,9.67167996593
118,68,41857,615.544117647,9.81994788416
119,74,40519,547.554054054,9.94554811969
120,66,39890,604.393939394,9.5671152021
121,60,45013,750.216666667,9.43111703247
122,59,48531,822.559322034,9.69083243079
123,60,43961,732.683333333,9.59361388899
124,73,41009,561.767123288,9.55545034774
125,88,32790,372.613636364,9.83388189562
126,70,40233,574.757142857,9.64820849456
127,85,34622,407.317647059,9.50876974501
128,67,38614,576.328358209,9.57390133068
129,71,37666,530.507042254,9.52603198469
130,82,33670,410.609756098,9.63928870998
131,66,39256,594.787878788,9.57807098642
132,93,29331,315.387096774,9.77870181829
133,69,42589,617.231884058,9.96537559174
134,75,36528,487.04,9.93308589578
135,82,33480,408.292682927,9.44002995744
136,74,39267,530.635135135,9.38283092268
137,90,32949,366.1,9.16385309331
138,80,34207,427.5875,9.31447109826
139,83,34745,418.614457831,9.75236811228
140,76,36560,481.052631579,9.46517131031
141,63,39936,633.904761905,9.46964066155
142,67,41157,614.28358209,9.40300195031
143,62,42269,681.758064516,9.56230827428
144,93,15626,168.021505376,9.73575554788
145,66,46369,702.560606061,9.45088535793
146,71,42300,595.774647887,9.68292814672
147,70,41592,594.171428571,9.47978895657
148,86,30172,350.837209302,9.60170762263
149,84,32631,388.464285714,9.94407077238
150,71,41604,585.971830986,9.76470913067
