epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,174,45276,260.206896552,1.40882256224
2,113,16023,141.796460177,1.919092065
3,74,42117,569.148648649,2.23443203325
4,122,91582,750.672131148,2.50970489113
5,120,98812,823.433333333,2.79511669703
6,141,121692,863.063829787,3.303290796
7,104,110716,1064.57692308,3.79112522428
8,38,80638,2122.05263158,4.06854205008
9,73,117341,1607.4109589,4.49655561872
10,75,102142,1361.89333333,4.9649955047
11,61,109965,1802.70491803,5.2353826094
12,46,102329,2224.54347826,5.47262884879
13,80,123468,1543.35,5.69087182414
14,80,138234,1727.925,5.83719750051
15,76,122455,1611.25,6.0680225195
16,60,128018,2133.63333333,6.11909852249
17,91,134496,1477.97802198,6.35641532638
18,120,145639,1213.65833333,6.5564309371
19,70,128575,1836.78571429,6.57624132874
20,85,137058,1612.44705882,6.65325040036
21,102,130832,1282.66666667,7.00614688816
22,124,121823,982.443548387,6.92748894666
23,87,120863,1389.22988506,7.02636517542
24,92,143176,1556.26086957,6.92629650116
25,95,142667,1501.75789474,7.0643274647
26,103,115977,1125.99029126,7.18413062856
27,132,121123,917.598484848,7.19745774466
28,102,137831,1351.28431373,7.18204985563
29,136,135398,995.573529412,7.3173542474
30,121,149244,1233.4214876,7.3638429975
31,73,136733,1873.05479452,7.23885975646
32,108,134385,1244.30555556,7.177325372
33,81,127671,1576.18518519,7.15473486228
34,55,113512,2063.85454545,7.16180408814
35,69,122811,1779.86956522,7.02244471365
36,94,137440,1462.12765957,7.04966438429
37,65,139357,2143.95384615,7.1057941156
38,70,119092,1701.31428571,7.07924985662
39,51,120605,2364.80392157,7.0610474658
40,100,138649,1386.49,7.0624631746
41,133,126422,950.541353383,7.11948809728
42,80,142813,1785.1625,7.12115246966
43,117,149531,1278.04273504,7.19265398104
44,58,103024,1776.27586207,7.15387846291
45,146,128470,879.931506849,7.45059195224
46,99,132041,1333.74747475,7.23344394783
47,93,150686,1620.27956989,6.96701884668
48,114,139830,1226.57894737,6.98669023963
49,129,144219,1117.97674419,7.14111616679
50,71,144217,2031.22535211,7.09599480923
51,92,135883,1476.98913043,7.03515600316
52,99,152911,1544.55555556,6.97393502431
53,73,135679,1858.61643836,6.99547078598
54,80,143159,1789.4875,7.12011087593
55,92,142642,1550.45652174,7.10622115359
56,88,141040,1602.72727273,7.13891079942
57,74,146242,1976.24324324,7.25515659252
58,122,148302,1215.59016393,7.10206657352
59,113,141636,1253.4159292,7.03796668246
60,86,145733,1694.56976744,7.10714928946
61,118,148039,1254.56779661,7.02245582873
62,79,144939,1834.67088608,6.92124030262
63,16,77530,4845.625,6.93002179649
64,91,151649,1666.47252747,6.9002065908
65,102,152435,1494.46078431,7.05529207645
66,65,140636,2163.63076923,7.21232001731
67,52,140227,2696.67307692,7.19511363145
68,113,139141,1231.33628319,7.09495036395
69,88,140627,1598.03409091,7.07258574264
70,90,145354,1615.04444444,7.05628137451
71,123,139730,1136.01626016,7.0463600369
72,69,137482,1992.49275362,6.98948086089
73,98,133679,1364.07142857,6.9808917895
74,82,143631,1751.59756098,7.04454977019
75,101,146013,1445.67326733,7.06965063579
76,97,149456,1540.78350515,7.11205194009
77,62,144466,2330.09677419,7.08008902386
78,86,138635,1612.03488372,7.07820683597
79,116,150282,1295.53448276,7.13739668518
80,81,132965,1641.54320988,7.19539047364
81,74,129883,1755.17567568,7.27288448356
82,117,135356,1156.88888889,7.21407519411
83,92,139360,1514.7826087,7.14120962255
84,92,139942,1521.10869565,7.21156489778
