epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,385,123650,321.168831169,1.52580611544
2,452,179650,397.455752212,1.78275440056
3,366,191450,523.087431694,2.12930948318
4,219,219700,1003.19634703,2.36797626374
5,128,268350,2096.484375,3.21524046799
6,94,287400,3057.44680851,3.93509305594
7,107,339800,3175.70093458,5.00962220159
8,109,380400,3489.90825688,5.44348096921
9,119,427200,3589.91596639,6.12942133181
10,130,414200,3186.15384615,6.57497067962
11,133,405300,3047.36842105,6.78267615871
12,116,488500,4211.20689655,7.02920282557
13,108,456950,4231.01851852,7.09433832502
14,121,416550,3442.56198347,7.08133583045
15,102,453750,4448.52941176,7.22359344708
16,91,556800,6118.68131868,7.07479652754
17,107,482650,4510.74766355,7.30273315154
18,113,494750,4378.31858407,7.46002243697
19,112,468250,4180.80357143,7.50129089431
20,118,486500,4122.88135593,7.64744938223
21,100,564300,5643.0,7.5998019017
22,101,565700,5600.99009901,7.67447294503
23,105,575400,5480.0,7.64622466221
24,100,563100,5631.0,7.81743376341
25,94,577250,6140.95744681,7.80316256254
26,106,596500,5627.35849057,7.88859303792
27,104,501050,4817.78846154,7.81455447157
28,126,388450,3082.93650794,7.94427470702
29,126,425800,3379.36507937,7.99366973
30,104,477000,4586.53846154,7.89605069971
31,145,355950,2454.82758621,7.67055805783
32,104,525500,5052.88461538,7.7051623723
33,119,471750,3964.28571429,7.61815326768
34,109,556200,5102.75229358,7.89208456889
35,105,580600,5529.52380952,7.87766622179
36,114,521900,4578.07017544,7.87169717604
37,100,441350,4413.5,7.80395037154
38,106,577400,5447.16981132,7.78360449406
39,105,509650,4853.80952381,7.72851443024
40,127,511550,4027.95275591,7.72113291198
41,103,532650,5171.3592233,7.58564049312
42,116,504300,4347.4137931,7.76772467548
43,96,601250,6263.02083333,7.78060721424
44,96,513750,5351.5625,7.784387279
45,100,587500,5875.0,7.80362232251
46,103,565950,5494.66019417,7.62604748158
47,106,472800,4460.37735849,7.67184945565
48,104,561850,5402.40384615,7.80321019378
49,97,497650,5130.41237113,7.85559458469
50,109,505600,4638.53211009,7.8222202771
51,117,557650,4766.23931624,7.98059767543
52,115,461550,4013.47826087,7.97573163192
53,122,509650,4177.45901639,7.97546207665
54,118,534100,4526.27118644,7.83909066939
55,94,595800,6338.29787234,7.97601344199
56,104,559250,5377.40384615,8.12744350886
57,94,594050,6319.68085106,7.95662609715
58,116,522850,4507.32758621,8.02515259812
59,142,346500,2440.14084507,8.06844142234
60,123,459050,3732.11382114,8.07450256998
61,108,511350,4734.72222222,8.05127501309
62,99,598950,6050.0,8.01061545102
63,115,520000,4521.73913043,8.02645559067
64,101,522450,5172.77227723,8.10043317211
65,92,552900,6009.7826087,8.32226306923
66,113,538100,4761.94690265,8.23592762807
67,120,488450,4070.41666667,8.16488581129
68,92,539850,5867.93478261,7.89113031169
69,109,557750,5116.97247706,8.08546492702
70,106,567500,5353.77358491,8.14401763322
71,104,544600,5236.53846154,8.10168191234
72,99,512900,5180.80808081,8.16116841172
73,107,466800,4362.61682243,8.26818904537
74,104,568200,5463.46153846,8.25439261331
75,116,380000,3275.86206897,8.25215396536
76,129,437950,3394.96124031,8.26060750601
77,101,588800,5829.7029703,8.18117969804
78,99,536900,5423.23232323,8.2481834276
79,107,446500,4172.89719626,8.26783033642
80,103,532200,5166.99029126,8.30024166496
81,96,585250,6096.35416667,8.37565334431
82,119,418750,3518.90756303,8.36060625737
83,106,415100,3916.03773585,8.29034905311
84,115,451600,3926.95652174,8.11026782244
85,108,582900,5397.22222222,8.13924897189
86,115,474800,4128.69565217,8.14544492791
87,110,555800,5052.72727273,8.0777992056
88,99,561950,5676.26262626,8.04668983162
89,94,606750,6454.78723404,7.86412267152
90,90,625200,6946.66666667,7.90322642357
