epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,178,845100,4747.75280899,0.984335089885
2,166,986200,5940.96385542,1.51971762651
3,214,640300,2992.05607477,1.87804054085
4,127,1345500,10594.488189,2.05039807575
5,189,966200,5112.16931217,2.13432533582
6,76,1864900,24538.1578947,2.11297563754
7,214,695400,3249.53271028,1.95124476281
8,77,1904000,24727.2727273,1.79418465925
9,104,1599600,15380.7692308,1.66220039265
10,96,1598000,16645.8333333,1.64975905284
11,126,1673000,13277.7777778,1.60410347775
12,180,1102100,6122.77777778,1.72046271908
13,218,639300,2932.56880734,1.78807402625
14,188,1102800,5865.95744681,1.71590803687
15,60,2143400,35723.3333333,1.83129297671
16,165,1175200,7122.42424242,1.81143035691
17,196,894300,4562.75510204,1.99928882479
18,108,1573700,14571.2962963,2.01742266886
19,196,975800,4978.57142857,2.01957464777
20,176,1042600,5923.86363636,1.9518254578
21,162,1169800,7220.98765432,1.91691158856
22,60,2112300,35205.0,1.88281190304
23,172,1023300,5949.41860465,1.96639417131
24,147,1396100,9497.27891156,2.01224652449
25,65,1902100,29263.0769231,2.21831789169
26,92,1450000,15760.8695652,2.3291407692
27,82,1705700,20801.2195122,2.38012458249
28,96,1467100,15282.2916667,2.41366713678
29,87,1630900,18745.9770115,2.52309075954
30,62,1796800,28980.6451613,2.58891274094
31,57,2078500,36464.9122807,2.6164243341
32,58,1959800,33789.6551724,2.70792931407
33,52,2117200,40715.3846154,2.97910784437
34,37,2462000,66540.5405405,2.93553689172
35,49,2092100,42695.9183673,2.95090658323
36,56,1728000,30857.1428571,3.07637365315
37,34,2510300,73832.3529412,2.92778773271
38,32,2372600,74143.75,2.9430634698
39,37,2297700,62100.0,3.07503090386
40,22,2752400,125109.090909,3.12788761307
41,29,2464200,84972.4137931,3.17588634957
42,37,2057500,55608.1081081,3.15735409372
43,27,2435300,90196.2962963,3.22142358497
44,33,2330300,70615.1515152,3.27597767792
45,26,2331500,89673.0769231,3.32385503741
46,16,2682500,167656.25,3.35414618023
47,26,2327600,89523.0769231,3.3769089459
48,21,2215800,105514.285714,3.46976030471
49,32,2054100,64190.625,3.43747216841
50,45,1824200,40537.7777778,3.49211700806
51,32,2172400,67887.5,3.39913927518
52,27,2317600,85837.037037,3.5104062498
53,33,2153300,65251.5151515,3.42814186756
54,37,1913300,51710.8108108,3.40532026179
55,28,2379500,84982.1428571,3.41596857389
56,13,2349900,180761.538462,3.36906564323
57,40,1981300,49532.5,3.41048297144
58,40,1934800,48370.0,3.3648969923
59,34,2052100,60355.8823529,3.30880410291
60,21,2908300,138490.47619,3.27423352633
61,30,2275300,75843.3333333,3.24125376549
62,31,2331200,75200.0,3.23044874663
63,21,2527400,120352.380952,3.18317789905
64,41,1948100,47514.6341463,3.2870458539
65,1,3546600,3546600.0,3.28352088673
66,22,2514300,114286.363636,3.26607118102
67,37,2093600,56583.7837838,3.21855674153
68,18,2329700,129427.777778,3.24447548196
69,22,2652500,120568.181818,3.31073178306
70,34,2233400,65688.2352941,3.27364306867
71,18,2644600,146922.222222,3.26738004578
72,23,2459400,106930.434783,3.29184808578
73,22,2534400,115200.0,3.32163673624
74,17,2770900,162994.117647,3.31082933301
75,26,2370500,91173.0769231,3.36258055463
76,14,2220900,158635.714286,3.35496718375
77,11,1536900,139718.181818,3.34707814727
78,11,2808300,255300.0,3.3530790288
79,21,2457200,117009.52381,3.31153540177
80,5,3070200,614040.0,3.3217525134
81,26,2274100,87465.3846154,3.27283738092
82,14,2435500,173964.285714,3.22273414196
83,13,2739200,210707.692308,3.24761260245
84,11,1774900,161354.545455,3.33110949505
85,23,2348300,102100.0,3.2347246553
86,23,2327400,101191.304348,3.18424988056
87,21,2448600,116600.0,3.15072848637
88,16,2872700,179543.75,3.18542104959
89,20,2623400,131170.0,3.18194063449
90,14,2705200,193228.571429,3.09561024647
91,16,2826800,176675.0,3.12575174069
92,26,2296000,88307.6923077,3.0805854537
93,2,1445700,722850.0,3.01855386453
94,2,86500,43250.0,3.12483350115
95,20,2390200,119510.0,3.17181428835
96,6,2198300,366383.333333,3.0944625067
97,3,252500,84166.6666667,3.03997948451
98,10,1927500,192750.0,3.06238591567
99,1,267100,267100.0,3.13433532164
100,2,3210100,1605050.0,3.10770660007
101,24,2307200,96133.3333333,3.0951590956
102,5,1968600,393720.0,3.13562191078
103,4,3193600,798400.0,3.07797320122
104,9,2827600,314177.777778,3.13281949623
105,4,2765000,691250.0,3.11528516781
106,2,439700,219850.0,3.13590872025
107,12,1620300,135025.0,3.20942270329
108,11,2456000,223272.727273,3.18036743294
109,2,3283100,1641550.0,3.06685358314
110,21,2647400,126066.666667,3.10079517785
111,4,2530300,632575.0,3.14619247556
112,1,3183600,3183600.0,3.14155709695
113,20,2537800,126890.0,3.01837346844
114,1,3439300,3439300.0,3.13334787298
115,13,2801900,215530.769231,3.03984734148
116,1,3733900,3733900.0,3.02503629014
117,6,2958800,493133.333333,3.0212242911
118,17,2251300,132429.411765,3.12682500396
119,1,613100,613100.0,3.12522814002
120,7,3109200,444171.428571,3.10834893584
121,3,323200,107733.333333,3.11619404297
122,10,2918800,291880.0,2.98760771204
123,1,3154500,3154500.0,2.95973408002
124,10,2708400,270840.0,2.9740193288
125,11,2553000,232090.909091,2.95490975
126,7,2432500,347500.0,2.87149983205
127,11,2900300,263663.636364,2.8875510015
128,13,2583900,198761.538462,2.88624039441
129,1,3344700,3344700.0,2.94886702172
130,2,387900,193950.0,2.90188218225
131,19,2544400,133915.789474,2.91920061179
132,8,416200,52025.0,2.89542230222
133,1,3402000,3402000.0,2.91850601666
134,1,3346700,3346700.0,2.9115333442
135,1,3073100,3073100.0,2.93912895072
136,42,1769200,42123.8095238,2.97781429261
137,6,2007000,334500.0,2.9659281221
138,6,3045700,507616.666667,2.86678842537
139,10,2804400,280440.0,2.88525118344
140,4,646800,161700.0,2.94643363509
141,21,2469200,117580.952381,2.85558589712
142,3,160100,53366.6666667,2.9399870985
143,1,3378800,3378800.0,2.95977712505
144,7,2661000,380142.857143,3.03266713597
145,23,2398700,104291.304348,2.96727144931
146,20,2373100,118655.0,2.9485977098
147,1,3250800,3250800.0,2.96576374363
148,12,2821500,235125.0,3.03171159491
149,4,450500,112625.0,2.9733669921
150,15,2435900,162393.333333,2.90662703212
151,22,2396300,108922.727273,2.90033399023
152,18,2306700,128150.0,3.10781014401
153,16,2849900,178118.75,3.12127528049
154,25,2148700,85948.0,3.16451136973
155,12,2153400,179450.0,3.10617049929
156,13,2831100,217776.923077,3.04837498341
157,22,2529700,114986.363636,3.09457798854
158,20,2473100,123655.0,3.10716715753
