epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,83,271000,3265.06024096,0.823899231888
2,106,302000,2849.05660377,1.08517322551
3,100,257000,2570.0,1.09001392365
4,87,652000,7494.25287356,1.08880889913
5,79,678000,8582.27848101,1.05860018075
6,82,649000,7914.63414634,1.06471445624
7,87,1121000,12885.0574713,1.10884633815
8,97,665000,6855.67010309,1.24590189938
9,98,780000,7959.18367347,1.37013128923
10,109,1127000,10339.4495413,1.38892222419
11,91,1196000,13142.8571429,1.32244517859
12,105,1395000,13285.7142857,1.38024938289
13,92,1621000,17619.5652174,1.38333526595
14,83,1240000,14939.7590361,1.47198191945
15,84,1244000,14809.5238095,1.50299573954
16,81,601000,7419.75308642,1.51347960118
17,80,1024000,12800.0,1.55095646255
18,68,1273000,18720.5882353,1.54233729407
19,64,1085000,16953.125,1.58582271527
20,79,1334000,16886.0759494,1.56456515012
21,85,1567000,18435.2941176,1.63955940258
22,76,1401000,18434.2105263,1.57788025076
23,78,1440000,18461.5384615,1.63132283954
24,80,1180000,14750.0,1.64187503494
25,89,1311000,14730.3370787,1.62449989546
26,85,1415000,16647.0588235,1.62655654086
27,74,1366000,18459.4594595,1.57897577966
28,86,1065000,12383.7209302,1.5583208943
29,52,1083000,20826.9230769,1.51704735314
30,90,1530000,17000.0,1.56414075624
31,92,1216000,13217.3913043,1.6760757008
32,92,1196000,13000.0,1.61979439896
33,76,1115000,14671.0526316,1.56091209883
34,78,1078000,13820.5128205,1.58628306899
35,78,1304000,16717.9487179,1.54672784679
36,91,1295000,14230.7692308,1.5295531046
37,76,1396000,18368.4210526,1.5425449623
38,88,1175000,13352.2727273,1.53574623264
39,80,1584000,19800.0,1.56285060512
40,69,1217000,17637.6811594,1.53505862664
41,92,1418000,15413.0434783,1.58537192613
42,87,1129000,12977.0114943,1.55615372103
43,77,1372000,17818.1818182,1.541161633
44,88,1014000,11522.7272727,1.53403977351
45,65,1278000,19661.5384615,1.54957750412
46,75,1265000,16866.6666667,1.54197358826
47,84,1475000,17559.5238095,1.48722710321
48,84,1268000,15095.2380952,1.51148074951
49,81,1542000,19037.037037,1.50060808204
50,71,1343000,18915.4929577,1.54568030691
51,85,1299000,15282.3529412,1.51843732882
52,79,1380000,17468.3544304,1.52595775649
53,80,1647000,20587.5,1.61136390558
54,94,1309000,13925.5319149,1.65257590396
55,77,1491000,19363.6363636,1.6504130426
56,79,1211000,15329.1139241,1.68047134487
57,80,1493000,18662.5,1.71480702922
58,74,1709000,23094.5945946,1.76983681438
59,83,1325000,15963.8554217,1.7754430081
60,83,1623000,19554.2168675,1.74393441338
61,39,950000,24358.974359,1.74658741983
62,79,1514000,19164.556962,1.78216356469
63,94,1255000,13351.0638298,1.7960877878
64,83,1082000,13036.1445783,1.7981544728
65,81,1332000,16444.4444444,1.79059419779
66,76,1069000,14065.7894737,1.77974499661
67,82,1487000,18134.1463415,1.80884986293
68,81,1165000,14382.7160494,1.83101592906
69,85,1277000,15023.5294118,1.8482780572
70,86,1202000,13976.744186,1.82793569371
71,80,1323000,16537.5,1.83997516526
72,86,1367000,15895.3488372,1.84900816595
73,69,1425000,20652.173913,1.80218359135
74,79,1379000,17455.6962025,1.82996350184
75,83,1017000,12253.0120482,1.86194935091
76,84,1308000,15571.4285714,1.88166063206
77,79,1448000,18329.1139241,1.8618571363
78,83,1240000,14939.7590361,1.90368003154
79,91,1361000,14956.043956,1.91733400097
80,95,1401000,14747.3684211,1.95168331951
81,85,1457000,17141.1764706,1.9389640452
82,85,1502000,17670.5882353,1.94245177723
83,74,1478000,19972.972973,1.94473370247
84,76,1563000,20565.7894737,1.88446633011
85,43,757000,17604.6511628,1.88692418445
86,82,1459000,17792.6829268,1.8682345864
87,79,1256000,15898.7341772,1.85419988882
88,70,1263000,18042.8571429,1.86133124258
89,67,1487000,22194.0298507,1.87231808499
90,75,1351000,18013.3333333,1.92071259404
91,79,1409000,17835.443038,1.89333340524
92,78,1285000,16474.3589744,1.85718515718
93,70,659000,9414.28571429,1.82854993556
94,78,1187000,15217.9487179,1.85211682972
95,86,1267000,14732.5581395,1.83935023511
96,88,1301000,14784.0909091,1.86551003719
97,72,923000,12819.4444444,1.84630855462
98,50,890000,17800.0,1.82002267573
99,88,1592000,18090.9090909,1.86105735527
100,74,1605000,21689.1891892,1.88542550426
101,76,1351000,17776.3157895,1.87600116741
102,85,1568000,18447.0588235,1.89315542325
103,90,1511000,16788.8888889,1.9011764567
104,82,1498000,18268.2926829,1.85918545786
105,86,1193000,13872.0930233,1.87894610884
106,75,1293000,17240.0,1.87145091869
107,78,1648000,21128.2051282,1.90287555259
108,77,1348000,17506.4935065,1.90866155615
109,51,1180000,23137.254902,1.89710975341
110,82,1538000,18756.097561,1.87525008244
111,75,1346000,17946.6666667,1.8810438481
112,94,1508000,16042.5531915,1.83373662909
113,75,1327000,17693.3333333,1.77100946873
114,36,827000,22972.2222222,1.79639339318
115,77,1574000,20441.5584416,1.75460858604
116,81,1308000,16148.1481481,1.74350892821
117,90,1230000,13666.6666667,1.75723029174
118,63,1043000,16555.5555556,1.75538618227
119,76,1450000,19078.9473684,1.76763185164
120,82,1658000,20219.5121951,1.79052482676
121,87,1437000,16517.2413793,1.77956073189
122,80,1568000,19600.0,1.73264500374
