epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,70,-557,-7.95714285714,1.30255231554
2,70,-49,-0.7,2.18558882724
3,70,-163,-2.32857142857,2.89384504665
4,70,-98,-1.4,3.31156251494
5,70,115,1.64285714286,3.6861303642
6,70,303,4.32857142857,3.87248141214
7,70,-49,-0.7,3.77614339404
8,70,380,5.42857142857,3.8364299468
9,70,182,2.6,3.93518582322
10,70,461,6.58571428571,3.9958965099
11,70,1776,25.3714285714,3.86086844252
12,70,231,3.3,4.06424155512
13,70,958,13.6857142857,4.06198825147
14,70,875,12.5,4.2056469861
15,71,1202,16.9295774648,4.22642533049
16,70,1965,28.0714285714,4.36508128325
17,70,2311,33.0142857143,4.43745219997
18,70,1320,18.8571428571,4.62414717981
19,70,638,9.11428571429,4.8998774561
20,74,1281,17.3108108108,5.18631215373
21,79,2781,35.2025316456,5.52949264556
22,71,769,10.8309859155,6.16977510653
23,79,3066,38.8101265823,6.95345419003
24,71,1728,24.338028169,7.60878256654
25,81,3087,38.1111111111,8.42809762724
26,82,2978,36.3170731707,9.2738370363
27,84,3760,44.7619047619,9.82979844701
28,78,2702,34.641025641,9.87819281945
