epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,70,-507,-7.24285714286,1.50330027491
2,70,-973,-13.9,2.31003430985
3,70,-318,-4.54285714286,2.97141087376
4,70,-525,-7.5,3.45867195919
5,70,-158,-2.25714285714,3.78315357007
6,70,198,2.82857142857,4.00652255625
7,70,268,3.82857142857,4.30762788475
8,70,-1010,-14.4285714286,4.36558820631
9,70,-206,-2.94285714286,4.3675777575
10,70,-1359,-19.4142857143,4.3285463785
11,70,-302,-4.31428571429,4.53050891692
12,70,961,13.7285714286,4.70470643993
13,70,2720,38.8571428571,4.89253924757
14,70,1739,24.8428571429,5.10204049738
15,70,1992,28.4571428571,5.17887644174
16,70,359,5.12857142857,5.32102245448
17,70,1289,18.4142857143,5.21259180792
18,70,540,7.71428571429,5.36950706237
19,70,978,13.9714285714,5.42246049456
20,70,-122,-1.74285714286,5.71667420016
21,70,2069,29.5571428571,5.98641929801
22,70,1996,28.5142857143,6.01954271024
23,71,3549,49.985915493,6.13609808996
24,70,1812,25.8857142857,6.45467412745
25,71,2380,33.5211267606,6.87746352084
26,70,180,2.57142857143,7.16431570424
27,72,970,13.4722222222,7.38355298104
28,78,3728,47.7948717949,8.07229702039
29,73,2876,39.397260274,8.73377333663
30,75,2041,27.2133333333,9.77532909665
31,72,2482,34.4722222222,11.9407456817
32,75,1097,14.6266666667,14.6633554734
33,87,2954,33.9540229885,18.7142853147
34,74,932,12.5945945946,23.5445829
35,84,3136,37.3333333333,31.3986275834
36,79,2228,28.2025316456,37.7607040426
37,75,764,10.1866666667,39.7042426944
38,113,5443,48.1681415929,41.4805218691
39,108,5554,51.4259259259,42.7152016413
40,123,7527,61.1951219512,43.1705184099
