epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,835,679,0.813173652695,0.499079557424
2,542,1516,2.79704797048,0.580894533503
3,216,2595,12.0138888889,0.895386618408
4,206,3103,15.0631067961,1.3681891333
5,181,3406,18.817679558,1.81784435795
6,134,4431,33.0671641791,2.1573398156
7,102,5261,51.5784313725,2.55729186253
8,100,5915,59.15,2.58917611097
9,93,6815,73.2795698925,3.01087452997
10,84,8039,95.7023809524,3.10588267656
11,87,8477,97.4367816092,3.35378517602
12,80,11025,137.8125,3.5537857328
13,92,8246,89.6304347826,3.64972374287
14,74,12809,173.094594595,3.71801100028
15,80,14912,186.4,3.65123080049
16,74,13886,187.648648649,3.89310819538
17,76,14397,189.434210526,3.94324958006
18,69,17029,246.797101449,4.38789450265
19,106,6044,57.0188679245,4.4626615314
20,80,14175,177.1875,4.52964129424
21,98,12925,131.887755102,4.47251237286
22,86,7523,87.476744186,4.65678814728
23,74,16662,225.162162162,4.53290690565
24,70,14951,213.585714286,4.58959188202
25,70,15178,216.828571429,4.4650679131
26,76,18214,239.657894737,4.38634716554
27,72,16910,234.861111111,4.51636431947
28,66,18005,272.803030303,4.60247666914
29,76,18470,243.026315789,4.42297539176
30,67,19243,287.208955224,4.51110227522
31,94,14455,153.776595745,4.46550632872
32,76,19367,254.828947368,4.50873679355
33,82,15289,186.451219512,4.59601737928
34,80,16381,204.7625,4.51020517748
35,77,15797,205.155844156,4.56948539522
36,79,17531,221.911392405,4.34166173574
37,80,16400,205.0,4.22073328208
38,120,5240,43.6666666667,4.26309973259
39,71,18368,258.704225352,4.1995160294
40,73,19594,268.410958904,4.18282290939
41,102,10680,104.705882353,4.13774612922
42,67,18124,270.507462687,4.21076655179
43,72,18598,258.305555556,4.03897836268
44,70,19748,282.114285714,4.15055293769
45,64,19917,311.203125,4.25331232086
46,86,16314,189.697674419,4.52729438789
47,71,19516,274.873239437,4.64951572448
48,71,19291,271.704225352,4.65006190006
49,81,18035,222.654320988,4.65146289606
50,76,20753,273.065789474,4.51615842406
51,88,17287,196.443181818,4.55007145297
52,84,19798,235.69047619,4.37785177954
53,71,18303,257.788732394,4.31153552346
54,87,21341,245.298850575,4.39535315666
55,71,18241,256.915492958,4.46167710859
56,107,6821,63.7476635514,4.40711749129
57,83,16783,202.204819277,4.65861815684
58,88,12782,145.25,4.47045325767
59,71,19654,276.816901408,4.66944620248
60,72,20656,286.888888889,4.51642531723
61,92,13532,147.086956522,4.34603997827
62,69,19010,275.507246377,4.3450951504
63,71,18681,263.112676056,4.45988746129
64,84,14722,175.261904762,4.22803341057
65,69,21115,306.014492754,4.34401578318
66,74,20280,274.054054054,4.19599970531
