epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,761,912,1.19842312746,0.581550062159
2,571,1320,2.31173380035,0.649088456095
3,523,1687,3.22562141491,0.88449157693
4,297,2758,9.2861952862,1.81514553116
5,294,2661,9.05102040816,1.9671823512
6,262,2665,10.1717557252,2.39235493292
7,244,2867,11.75,2.67448080937
8,214,2973,13.8925233645,3.07981167305
9,216,3054,14.1388888889,3.50770356819
10,195,3131,16.0564102564,3.80912969562
11,171,3001,17.5497076023,4.49736515202
12,177,3460,19.5480225989,5.08217012348
13,159,3176,19.9748427673,5.66710975419
14,162,3656,22.5679012346,6.02540681351
15,162,3498,21.5925925926,6.38714512287
16,145,3524,24.3034482759,6.18488784862
17,164,3101,18.9085365854,6.1950774857
18,142,3532,24.8732394366,6.37644493763
19,165,3634,22.0242424242,6.67785317803
20,146,3545,24.2808219178,7.07988549417
21,158,3585,22.6898734177,7.3519642427
22,137,3283,23.9635036496,7.31535401221
23,147,4301,29.2585034014,7.74091159664
24,191,2912,15.2460732984,7.8871685048
25,148,3826,25.8513513514,7.99335064847
26,172,3180,18.488372093,8.16133830966
27,119,3232,27.1596638655,8.21471619282
28,169,3659,21.650887574,8.49843355203
29,174,3582,20.5862068966,8.99704930546
30,164,3456,21.0731707317,8.81085516816
31,141,3571,25.3262411348,9.14221948963
32,153,3828,25.0196078431,8.84951320741
33,185,3343,18.0702702703,8.78769756364
34,139,4675,33.6330935252,9.079055933
35,146,4349,29.7876712329,8.86675075073
36,145,4091,28.2137931034,8.98675675659
37,133,3999,30.0676691729,8.91530004306
38,150,3492,23.28,8.89480674602
39,147,3742,25.4557823129,8.94214280015
40,144,3357,23.3125,8.8326735111
41,129,4050,31.3953488372,8.90607763257
42,140,3562,25.4428571429,8.9807977711
43,220,2852,12.9636363636,9.44456318565
44,148,4404,29.7567567568,9.34706118125
45,165,3563,21.5939393939,9.62883306831
46,147,4243,28.8639455782,9.30705609262
47,131,4733,36.1297709924,9.09787664004
48,155,4237,27.335483871,9.73542080652
49,161,3665,22.7639751553,9.27499206617
50,120,3841,32.0083333333,9.13677150432
51,133,4518,33.969924812,9.69210570633
52,161,3701,22.9875776398,9.42881177146
53,123,4018,32.6666666667,9.36673626453
54,119,3515,29.5378151261,9.62444135353
55,137,3842,28.0437956204,9.42374050912
