epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,181,410509,2268.00552486,3.98184415583
2,163,417579,2561.83435583,8.6347130481
3,157,601756,3832.84076433,12.3831611013
4,182,521284,2864.1978022,15.7591258854
5,154,609302,3956.50649351,17.7891377412
6,207,466725,2254.71014493,20.5561889386
7,193,547040,2834.40414508,21.643966862
8,236,497502,2108.05932203,22.2508179117
9,169,752313,4451.55621302,23.0836779481
10,163,303576,1862.42944785,24.1891307819
11,196,603075,3076.91326531,25.1793283857
12,142,567403,3995.79577465,25.5684448333
13,232,568482,2450.35344828,25.3632821519
14,179,667550,3729.32960894,25.6463618641
15,181,644601,3561.33149171,25.9855091648
16,192,361709,1883.90104167,27.2222200825
17,227,610763,2690.58590308,26.6608387802
18,211,447333,2120.06161137,27.4815535356
19,231,402280,1741.47186147,27.9203561837
20,229,435695,1902.59825328,28.5076984499
21,337,369805,1097.34421365,29.2353094615
22,330,411764,1247.76969697,29.6510505925
23,248,401894,1620.54032258,29.0575027362
24,257,631220,2456.10894942,29.5127129155
25,321,552387,1720.8317757,30.0405451245
26,312,633466,2030.33974359,30.2472593824
27,355,498327,1403.73802817,30.3118043428
28,318,423265,1331.02201258,30.8099348195
29,375,346684,924.490666667,31.2985690146
30,408,408274,1000.67156863,32.7728559795
31,394,424803,1078.18020305,33.0552866465
32,310,296544,956.593548387,33.4122790168
33,368,229708,624.206521739,32.9864734856
34,403,400493,993.779156328,31.5185568351
35,386,395880,1025.59585492,30.7172446261
36,298,377672,1267.3557047,29.9932954163
37,271,327464,1208.35424354,29.066346686
38,296,355680,1201.62162162,28.997561955
39,365,364174,997.736986301,27.7600586886
40,289,389335,1347.1799308,27.3250616793
41,375,266489,710.637333333,26.731588555
42,440,298555,678.534090909,26.9804958732
43,427,350088,819.878220141,26.9978452999
44,309,135315,437.912621359,27.2505191038
45,243,365108,1502.50205761,27.0258365067
46,234,310774,1328.09401709,26.7158542308
47,218,406033,1862.53669725,26.4454810294
48,316,405601,1283.54746835,26.7922276819
49,290,383246,1321.53793103,26.5485672384
50,297,285578,961.542087542,26.6115666846
51,338,327003,967.464497041,27.3559054067
52,218,362198,1661.4587156,27.6402661376
53,252,431595,1712.67857143,28.1479548524
54,328,183418,559.201219512,28.5099467481
55,250,251531,1006.124,28.4892587488
56,227,383188,1688.05286344,28.6033189476
57,310,251866,812.470967742,28.6587740377
58,198,511914,2585.42424242,28.5609174342
59,208,431369,2073.88942308,28.3535070476
60,247,322703,1306.48987854,28.2231579984
61,254,292404,1151.19685039,28.1728714062
62,232,337017,1452.65948276,27.8877520949
63,267,382294,1431.81273408,28.2583775454
64,287,285615,995.174216028,28.6056577786
65,215,315654,1468.15813953,28.6062796358
66,234,291156,1244.25641026,28.5048435145
67,220,316606,1439.11818182,28.5713426805
68,241,341258,1416.00829876,28.4272343707
69,234,326457,1395.11538462,29.2854394189
70,260,383696,1475.75384615,29.8764810494
71,201,447008,2223.92039801,29.5301891293
72,221,368660,1668.14479638,29.3335873391
73,226,327338,1448.39823009,29.0564323676
74,232,347041,1495.86637931,28.7801242401
75,243,333982,1374.41152263,28.9043743768
76,209,386958,1851.47368421,28.6007877781
77,232,396179,1707.66810345,27.7931451923
78,189,436610,2310.10582011,27.3337422143
79,249,330316,1326.57028112,27.3812859494
80,268,354401,1322.39179104,27.4605275069
81,235,344418,1465.60851064,27.4498599629
82,260,305054,1173.28461538,27.6834365927
83,230,454292,1975.1826087,27.5895371366
84,265,126683,478.049056604,27.9266360824
85,283,398670,1408.72791519,28.0565381499
86,221,434126,1964.37104072,27.9966643528
87,241,383265,1590.31120332,27.6866944853
88,197,381564,1936.87309645,27.9538783294
89,237,358795,1513.90295359,27.7942480383
90,236,394659,1672.28389831,27.8581839246
91,193,588283,3048.0984456,28.067645081
92,293,392603,1339.94197952,28.0628655117
93,197,448127,2274.75634518,28.4423877732
94,208,464588,2233.59615385,28.4008038876
95,210,417711,1989.1,28.7826686528
96,285,288804,1013.34736842,29.1235744527
97,254,399742,1573.78740157,28.9009407587
98,269,354348,1317.27881041,28.9195343845
99,255,266668,1045.75686275,29.1074474045
100,179,486105,2715.67039106,29.1520302764
101,295,223950,759.152542373,28.9501943108
102,278,362552,1304.14388489,28.9049682878
103,227,408686,1800.37885463,28.954864941
104,241,366999,1522.81742739,29.2606665778
105,267,362921,1359.25468165,29.0075470641
106,313,246413,787.261980831,28.77762031
107,242,365344,1509.68595041,28.0822090814
108,259,198284,765.575289575,27.7534516129
109,265,377104,1423.03396226,27.961580113
110,249,312575,1255.32128514,28.2785318748
111,270,346584,1283.64444444,28.8796637852
112,276,322964,1170.15942029,28.6018840231
113,276,358812,1300.04347826,28.7650041011
114,231,366528,1586.7012987,28.9651357748
115,279,403093,1444.77777778,29.1608429834
116,238,333561,1401.51680672,29.1683966446
117,262,344335,1314.25572519,29.1095704301
118,263,301761,1147.38022814,28.5431481451
119,234,375440,1604.44444444,28.8259737185
120,245,376897,1538.35510204,28.8235597198
121,229,416595,1819.19213974,28.5192004392
122,242,244066,1008.53719008,28.3888485011
123,262,264570,1009.80916031,28.6910663573
124,293,281510,960.784982935,28.9588290124
125,260,342774,1318.36153846,29.0558705086
126,285,300671,1054.98596491,28.7771031804
127,243,388271,1597.82304527,29.0797855751
128,230,384599,1672.16956522,29.4361876908
129,244,406528,1666.09836066,29.8267809533
