epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,634,1800,2.83911671924,1.02077000311
2,239,154200,645.188284519,1.4460072995
3,149,158300,1062.41610738,1.90535396934
4,461,2100,4.55531453362,2.4011593312
5,331,106500,321.752265861,2.70559758142
6,190,27400,144.210526316,2.97431602276
7,44,35500,806.818181818,2.98249872184
8,176,55100,313.068181818,3.11427114041
9,177,104100,588.13559322,3.23778036726
10,158,60500,382.911392405,3.60087068451
11,216,142300,658.796296296,3.71170429952
12,127,117200,922.834645669,3.87653708683
13,77,58400,758.441558442,3.93093937219
14,48,51300,1068.75,4.01651774084
15,104,124000,1192.30769231,3.9950046787
16,168,149600,890.476190476,3.75667266357
17,123,138600,1126.82926829,3.62861530362
18,101,77900,771.287128713,3.48313160772
19,203,170100,837.931034483,3.47539012555
20,216,189700,878.240740741,3.43750662527
21,66,73300,1110.60606061,3.22273709349
22,76,106100,1396.05263158,3.24553370961
23,174,177400,1019.54022989,3.25242505113
24,150,203200,1354.66666667,3.43586715521
25,130,90500,696.153846154,3.48590478354
26,84,129900,1546.42857143,3.73446482128
27,80,96700,1208.75,3.76066035355
28,149,246700,1655.70469799,3.96108331885
29,63,112800,1790.47619048,4.18370979888
30,80,134100,1676.25,4.06880501021
31,131,189200,1444.27480916,4.24742248602
32,103,181400,1761.16504854,4.46380314419
33,79,89000,1126.58227848,4.9100027184
34,23,44300,1926.08695652,5.14481631607
35,70,101500,1450.0,5.25749005556
36,101,175500,1737.62376238,5.49215004034
37,46,105200,2286.95652174,5.12709030386
38,110,86900,790.0,5.25159220682
39,474,271800,573.417721519,5.35500029378
40,57,118200,2073.68421053,5.14360286862
41,103,124100,1204.85436893,5.18658806369
42,79,123700,1565.82278481,5.19721083228
43,48,48500,1010.41666667,4.87903175857
44,114,153600,1347.36842105,5.07654260118
45,164,273500,1667.68292683,5.03673478149
46,96,180200,1877.08333333,5.04035968546
47,41,57900,1412.19512195,5.04737687573
48,111,172100,1550.45045045,5.21258936809
49,140,332300,2373.57142857,4.89928298537
50,33,55100,1669.6969697,5.14253382996
51,49,139100,2838.7755102,5.12286424026
52,31,51100,1648.38709677,5.22884057373
53,82,144700,1764.63414634,5.22096762907
54,60,48400,806.666666667,5.39802123344
55,98,258100,2633.67346939,5.40419499606
56,46,88300,1919.56521739,5.63481058301
57,74,269800,3645.94594595,5.74813935326
58,51,161400,3164.70588235,6.19697300181
59,44,90800,2063.63636364,6.04651502647
60,44,128100,2911.36363636,6.05789521124
61,131,385200,2940.45801527,6.36912223928
62,127,281700,2218.11023622,6.55150228631
63,67,88000,1313.43283582,7.0655685316
64,113,138400,1224.77876106,7.30492193814
65,27,59200,2192.59259259,7.38340851985
66,1,1500,1500.0,7.34449285995
67,7,15000,2142.85714286,7.17540894233
68,22,58300,2650.0,7.36211301057
69,102,270700,2653.92156863,7.25322110802
70,129,82300,637.984496124,6.95648253273
71,74,201900,2728.37837838,7.08013941834
72,83,244300,2943.37349398,7.32516196731
73,141,390200,2767.37588652,7.45462882522
74,34,94900,2791.17647059,7.65657184444
75,60,181100,3018.33333333,7.58118272588
76,81,221800,2738.27160494,7.54607473169
77,127,329200,2592.12598425,7.84065770932
78,104,411400,3955.76923077,8.08268590339
79,38,164500,4328.94736842,8.15854145829
80,71,117800,1659.15492958,8.15115243584
81,6,12200,2033.33333333,8.10346036648
82,82,167700,2045.12195122,8.15426024571
83,105,59000,561.904761905,8.19194195811
84,313,175100,559.424920128,8.17566788942
85,73,122900,1683.56164384,8.34746283419
86,28,52800,1885.71428571,8.32172828123
87,100,327200,3272.0,8.52184284613
88,51,68200,1337.25490196,8.37256144345
89,4,4100,1025.0,8.45740277611
90,154,128600,835.064935065,8.31409828532
91,115,248500,2160.86956522,8.15686500095
92,82,248700,3032.92682927,8.13370981969
93,312,314200,1007.05128205,8.16545084428
94,239,304400,1273.64016736,8.47999236565
95,74,136800,1848.64864865,8.63184886232
96,6,18400,3066.66666667,8.71468225935
97,76,326100,4290.78947368,8.720729634
98,125,134500,1076.0,8.70823337277
99,1,1400,1400.0,8.55117871951
100,37,203900,5510.81081081,8.63914284606
101,245,163000,665.306122449,8.73607104056
102,74,332600,4494.59459459,8.80951804578
103,158,313100,1981.64556962,8.50330604991
104,12,25700,2141.66666667,8.67370921388
105,22,45600,2072.72727273,8.89442159051
106,1,2500,2500.0,8.88858555511
107,58,166700,2874.13793103,8.63644721832
108,72,181200,2516.66666667,8.79514345095
109,159,377000,2371.06918239,8.84659949761
110,120,298000,2483.33333333,8.49547380421
111,356,270900,760.95505618,8.10449139532
112,1,1000,1000.0,8.17306685045
113,14,26000,1857.14285714,8.2848661121
114,136,385400,2833.82352941,8.40414784092
115,159,297000,1867.9245283,8.31780643493
116,12,41100,3425.0,8.10795937357
117,36,145200,4033.33333333,8.3056604328
118,7,17400,2485.71428571,8.20314480882
119,111,141100,1271.17117117,8.3836803125
120,61,177900,2916.39344262,8.26147437084
121,2,2600,1300.0,8.31935906682
122,1,1600,1600.0,8.42839846296
123,211,176100,834.597156398,8.73460437812
124,35,114100,3260.0,8.85825111682
125,35,112400,3211.42857143,8.6545895116
126,79,153600,1944.30379747,8.77330680748
