epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,37,407000,11000.0,2.31062179549
2,36,437300,12147.2222222,4.80600144492
3,35,424100,12117.1428571,7.15969898529
4,36,1420700,39463.8888889,8.90084003272
5,39,558600,14323.0769231,10.0274016208
6,41,1173600,28624.3902439,11.1651593975
7,27,1742700,64544.4444444,11.9237580844
8,36,274900,7636.11111111,12.8986141672
9,34,2734000,80411.7647059,13.3629162952
10,19,905200,47642.1052632,13.6411606049
11,28,2405800,85921.4285714,14.1004543142
12,13,641200,49323.0769231,14.308335762
13,14,716200,51157.1428571,14.4045961703
14,29,1611100,55555.1724138,14.8015859655
15,19,710600,37400.0,15.0216131208
16,29,763200,26317.2413793,15.3550733137
17,16,660800,41300.0,15.5583008106
18,23,971100,42221.7391304,15.6293445818
19,20,324800,16240.0,15.5614919018
20,32,1054300,32946.875,15.7190254654
21,32,633000,19781.25,15.71138927
22,36,524500,14569.4444444,15.7044497725
23,23,707000,30739.1304348,15.4972590847
24,22,388700,17668.1818182,15.5211833366
25,31,476400,15367.7419355,15.6214957168
26,24,1049700,43737.5,15.6333973756
27,25,880700,35228.0,15.7217629012
28,16,1216400,76025.0,15.5446649377
29,20,1331500,66575.0,15.3832967568
30,28,2240900,80032.1428571,15.3244595901
31,30,810000,27000.0,15.3100040586
32,33,3027600,91745.4545455,15.339133182
33,32,2557500,79921.875,15.3455503779
34,31,2096400,67625.8064516,15.3882784868
35,32,2999200,93725.0,15.320709384
36,23,1486200,64617.3913043,15.2477384269
37,26,2446200,94084.6153846,15.2710813059
38,23,997300,43360.8695652,15.3249009398
39,32,3007800,93993.75,15.2830728289
40,32,3109300,97165.625,15.2752103952
41,31,2604400,84012.9032258,15.3064686317
42,33,2546300,77160.6060606,15.2585285196
43,31,3001700,96829.0322581,15.3712917589
44,33,1725900,52300.0,15.286453691
45,32,2252200,70381.25,15.2562077825
46,22,1411300,64150.0,15.34739187
47,24,1543000,64291.6666667,15.279887991
48,39,1850300,47443.5897436,15.4547709037
49,25,1574100,62964.0,15.5107267782
50,26,1508400,58015.3846154,15.4674287781
51,33,2952300,89463.6363636,15.4051721765
52,31,3059000,98677.4193548,15.3412659976
53,33,2901900,87936.3636364,15.5045223802
54,33,3230100,97881.8181818,15.3290041759
55,29,2994900,103272.413793,15.3671580624
56,29,2989500,103086.206897,15.4218314525
57,29,3017000,104034.482759,15.3111531408
58,19,1423100,74900.0,15.3422842919
59,29,2982500,102844.827586,15.4805923417
60,32,2641200,82537.5,15.338846207
61,29,2360700,81403.4482759,15.4235961371
62,34,1484800,43670.5882353,15.4164890484
63,36,3043200,84533.3333333,15.5314923174
64,33,2862700,86748.4848485,15.5011860042
65,33,3334400,101042.424242,15.2647759482
66,29,2849000,98241.3793103,15.0878622663
67,34,1796100,52826.4705882,15.124219334
68,33,2252500,68257.5757576,15.0454248625
69,32,3042800,95087.5,15.1940815623
70,33,3010300,91221.2121212,15.005649587
71,32,3125500,97671.875,15.2547295109
72,19,981400,51652.6315789,15.3724289777
73,32,3070300,95946.875,15.2331001987
74,32,2464200,77006.25,15.1019013914
75,32,2914100,91065.625,15.1363805459
76,30,2901500,96716.6666667,15.1315893271
77,32,2493400,77918.75,15.1050021349
78,32,3312700,103521.875,15.2829686789
79,33,2827400,85678.7878788,15.437211917
80,33,3246900,98390.9090909,15.2305231851
81,34,3121600,91811.7647059,15.3791525652
82,32,3124800,97650.0,15.2513966862
83,30,2360900,78696.6666667,15.168173574
84,31,1977200,63780.6451613,14.9407524868
85,29,2926000,100896.551724,14.9388204823
86,34,3102400,91247.0588235,15.0687230257
87,33,3342200,101278.787879,15.0997436887
88,29,1751200,60386.2068966,15.1921578357
89,31,2633700,84958.0645161,14.9718963374
90,28,2462200,87935.7142857,14.9958880504
91,39,2579900,66151.2820513,15.1931828313
92,31,2896500,93435.483871,14.9650215727
93,29,2421800,83510.3448276,14.9096701245
94,27,1514600,56096.2962963,14.8442822145
95,29,2748100,94762.0689655,14.9602878358
96,30,2502000,83400.0,15.002020136
97,32,3371100,105346.875,15.0738804713
98,31,756100,24390.3225806,15.157248347
99,32,2896500,90515.625,15.2667022588
100,32,2977800,93056.25,15.2550224021
101,34,2942600,86547.0588235,15.4222208934
102,19,1308900,68889.4736842,15.4398663012
103,36,2274800,63188.8888889,15.4007914692
104,31,2905300,93719.3548387,15.5176016471
105,29,2690100,92762.0689655,15.1789564922
106,29,1678900,57893.1034483,15.3867534461
107,34,2753200,80976.4705882,15.5279806491
108,31,3071700,99087.0967742,15.2860972837
109,33,3194700,96809.0909091,15.3897473658
110,32,3187500,99609.375,15.4082139209
111,35,2769600,79131.4285714,15.4266513419
112,33,3235300,98039.3939394,15.57743848
113,34,3339000,98205.8823529,15.677503298
114,32,3340900,104403.125,15.5254446574
115,32,1978200,61818.75,15.3901595615
116,26,1836500,70634.6153846,15.4458416304
117,36,3093800,85938.8888889,15.4095790847
118,30,2459600,81986.6666667,15.5906985973
119,28,2026200,72364.2857143,15.5065576438
120,34,3282300,96538.2352941,15.5775602648
