epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,14,800,57.1428571429,0.946787317367
2,143,15955,111.573426573,1.85101449267
3,24,51600,2150.0,2.26141413637
4,19,125890,6625.78947368,3.31516722035
5,4,10820,2705.0,3.99706954
6,24,69160,2881.66666667,4.47639059957
7,1,4290,4290.0,4.48394129768
8,43,133790,3111.39534884,4.69745581685
9,8,6770,846.25,4.72062409287
10,1,150,150.0,4.91790751021
11,1,150,150.0,4.9988531832
12,33,195745,5931.66666667,5.23473555497
13,34,166590,4899.70588235,5.07816167379
14,41,139840,3410.73170732,5.32503823476
15,43,158370,3683.02325581,5.39318078809
16,42,147060,3501.42857143,5.156000169
17,35,152370,4353.42857143,5.16418914789
18,28,175355,6262.67857143,5.3389565312
19,45,134000,2977.77777778,5.24104592637
20,35,187830,5366.57142857,5.39613127751
21,37,155665,4207.16216216,5.56414516674
22,11,56870,5170.0,5.48124080379
23,40,177400,4435.0,5.15400587829
24,44,133650,3037.5,5.03088171663
25,39,184480,4730.25641026,4.93520351285
26,37,190205,5140.67567568,4.99048365702
27,38,211535,5566.71052632,5.1998210592
28,45,168390,3742.0,5.36269713587
29,51,172530,3382.94117647,5.26214446396
30,1,265,265.0,5.03493111326
31,2,8590,4295.0,5.17178293209
32,48,189505,3948.02083333,5.19283647381
33,35,154945,4427.0,5.21647163431
34,65,157875,2428.84615385,5.324697915
35,1,3745,3745.0,5.29191082328
36,35,219330,6266.57142857,5.25722373956
37,45,167880,3730.66666667,5.15914839995
38,38,206160,5425.26315789,5.22879457031
39,31,172270,5557.09677419,5.15802627882
40,39,122035,3129.1025641,4.98090251882
41,33,232855,7056.21212121,5.05501265789
42,34,189410,5570.88235294,5.25272446869
43,31,183055,5905.0,5.4271434748
44,38,166305,4376.44736842,5.28424620459
45,25,102710,4108.4,5.24505804421
46,32,226795,7087.34375,5.06255241478
47,21,88500,4214.28571429,5.0288347676
48,38,215990,5683.94736842,5.09082475832
49,26,116555,4482.88461538,5.0431531883
50,43,175105,4072.20930233,4.96004614871
51,32,185290,5790.3125,4.93696710775
52,35,199130,5689.42857143,4.93824374681
53,36,146430,4067.5,4.98316018291
54,18,127195,7066.38888889,4.89104671808
55,31,221855,7156.61290323,4.85874293445
56,34,179350,5275.0,4.88511818349
57,34,210360,6187.05882353,4.88261532748
58,39,176425,4523.71794872,4.92629831338
59,10,41755,4175.5,4.90497374929
60,26,91875,3533.65384615,4.85276025338
61,39,200075,5130.12820513,4.71645915188
62,10,52010,5201.0,4.754105039
63,3,14720,4906.66666667,4.74431106964
64,3,11900,3966.66666667,4.85862511264
65,21,136110,6481.42857143,4.90039120765
66,20,68185,3409.25,4.90938166922
67,36,210985,5860.69444444,4.8684842281
68,34,121835,3583.38235294,4.94129973369
69,34,208915,6144.55882353,4.92576060075
70,34,226395,6658.67647059,4.95953418074
71,6,35730,5955.0,4.86044105096
72,12,83065,6922.08333333,4.71641121026
73,30,192760,6425.33333333,4.79180137202
74,38,193200,5084.21052632,4.79303998999
75,8,41105,5138.125,4.7385160552
76,10,44185,4418.5,4.61289291224
77,36,188590,5238.61111111,4.6290246718
78,3,19080,6360.0,4.62741595736
79,25,188060,7522.4,4.54537778338
80,38,214755,5651.44736842,4.66922542641
81,34,212620,6253.52941176,4.75612174422
82,26,118245,4547.88461538,4.81484224707
83,31,183310,5913.22580645,4.8802379372
84,31,146825,4736.29032258,4.82685917566
85,35,221150,6318.57142857,4.85869433777
86,20,91675,4583.75,4.90435931016
87,2,7110,3555.0,4.91331541959
88,2,15420,7710.0,4.92512191841
89,29,158505,5465.68965517,4.97034389613
90,39,206390,5292.05128205,5.06651184529
91,32,133815,4181.71875,5.10739078153
92,40,209990,5249.75,4.96095614053
93,31,217900,7029.03225806,4.91743317472
94,34,219645,6460.14705882,4.88932315897
95,37,208260,5628.64864865,5.0294432174
96,33,245340,7434.54545455,4.97864003612
97,32,250765,7836.40625,4.95680326451
98,12,65320,5443.33333333,5.03350476293
99,1,7540,7540.0,4.9551777257
100,1,4005,4005.0,5.0250035366
101,16,113400,7087.5,5.00974502791
102,21,114920,5472.38095238,5.02266650528
103,35,253230,7235.14285714,5.00124576189
104,32,223360,6980.0,4.96849602543
105,41,205360,5008.7804878,4.92331222702
106,35,245125,7003.57142857,4.93789860234
107,31,206795,6670.80645161,4.9600856952
108,5,29400,5880.0,4.96889162965
109,27,201545,7464.62962963,4.9919910064
110,4,4930,1232.5,5.06586185314
111,6,49685,8280.83333333,5.05364001539
112,32,239860,7495.625,5.10503784653
113,34,225415,6629.85294118,5.14767132353
114,28,234730,8383.21428571,5.10536778722
115,26,212175,8160.57692308,5.03887656871
116,30,248520,8284.0,5.11575717606
117,34,254770,7493.23529412,5.07758791622
118,4,28435,7108.75,5.12302229051
119,37,233880,6321.08108108,5.09194663577
120,35,208955,5970.14285714,5.01294991598
121,33,207085,6275.3030303,5.07632288981
122,37,192180,5194.05405405,5.03444310259
123,8,63800,7975.0,5.03703892779
124,25,153840,6153.6,4.96942021523
125,24,176720,7363.33333333,4.91778817553
126,4,17210,4302.5,4.86628247794
127,31,259345,8365.96774194,4.98910448916
128,29,208120,7176.55172414,4.87735031758
129,37,211130,5706.21621622,4.86841912851
130,29,233170,8040.34482759,4.84559223764
131,35,248650,7104.28571429,4.8123925424
132,30,214850,7161.66666667,4.85019786615
133,34,239440,7042.35294118,4.95578736264
134,31,230995,7451.4516129,4.8943422018
135,21,153080,7289.52380952,5.13539865095
136,34,268690,7902.64705882,5.13665029321
137,33,236840,7176.96969697,5.14777831737
138,6,24710,4118.33333333,5.17060170226
139,32,214910,6715.9375,5.10041934688
140,34,230135,6768.67647059,5.13688333586
141,41,229005,5585.48780488,5.14288158488
142,30,225380,7512.66666667,5.13525951039
143,29,239585,8261.55172414,5.09634583008
144,9,71465,7940.55555556,5.04575003803
145,34,242910,7144.41176471,4.97038565326
146,32,248980,7780.625,4.92711840913
147,29,182195,6282.5862069,4.97129345849
148,2,4850,2425.0,5.06189888306
149,63,167140,2653.01587302,5.01725912191
150,30,249895,8329.83333333,5.08706065923
151,35,249415,7126.14285714,5.03820371002
152,35,227525,6500.71428571,5.19614554845
153,31,242500,7822.58064516,5.23792705875
154,35,220575,6302.14285714,5.26007996339
155,5,37445,7489.0,5.12160275035
156,33,241085,7305.60606061,5.13092903566
157,34,254745,7492.5,5.14650456756
158,34,248535,7309.85294118,5.10043826181
159,32,240535,7516.71875,5.08615263
160,36,262395,7288.75,5.07503482368
161,11,64040,5821.81818182,5.09299387552
162,30,215930,7197.66666667,5.05855648976
163,7,37265,5323.57142857,5.00364266764
164,3,14935,4978.33333333,4.99719202556
165,36,215970,5999.16666667,4.950941316
166,34,228100,6708.82352941,5.05228639778
167,3,3010,1003.33333333,5.03873715673
168,1,11490,11490.0,5.02886317037
169,28,166870,5959.64285714,5.03755930755
170,17,101655,5979.70588235,5.07690151945
171,29,216310,7458.96551724,5.08593278989
172,31,228505,7371.12903226,5.12444440648
173,28,256435,9158.39285714,5.16719683073
174,28,234500,8375.0,5.04290829908
