epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,60,-1268,-21.1333333333,0.876358049114
2,57,-1176,-20.6315789474,1.29120151454
3,75,-1672,-22.2933333333,1.56482402917
4,56,-1020,-18.2142857143,1.58140042405
5,52,-1118,-21.5,1.50242186381
6,56,-1016,-18.1428571429,1.30735818453
7,48,-934,-19.4583333333,1.25311540189
8,49,-1000,-20.4081632653,1.04726179748
9,45,-880,-19.5555555556,0.912486412469
10,43,-786,-18.2790697674,0.798316673432
11,44,-848,-19.2727272727,0.725900941547
12,49,-870,-17.7551020408,0.669863999304
13,55,-1020,-18.5454545455,0.594109263732
14,44,-932,-21.1818181818,0.570290195472
15,48,-830,-17.2916666667,0.544433557326
16,45,-740,-16.4444444444,0.492447982039
17,40,-716,-17.9,0.442414351753
18,49,-874,-17.8367346939,0.392255843026
19,43,-790,-18.3720930233,0.443850546954
20,45,-812,-18.0444444444,0.508934521542
21,44,-762,-17.3181818182,0.577720267803
22,44,-806,-18.3181818182,0.591166962655
23,42,-786,-18.7142857143,0.543886992608
24,42,-772,-18.380952381,0.528699093373
25,43,-740,-17.2093023256,0.512224031783
26,47,-926,-19.7021276596,0.547724005432
27,51,-1084,-21.2549019608,0.632064938681
28,44,-708,-16.0909090909,0.651199675121
29,43,-740,-17.2093023256,0.669976605167
30,43,-754,-17.5348837209,0.655964027765
31,48,-932,-19.4166666667,0.63107059934
32,40,-746,-18.65,0.652470985414
33,41,-880,-21.4634146341,0.612838814134
34,43,-792,-18.4186046512,0.661655075178
35,44,-944,-21.4545454545,0.673596093157
36,48,-882,-18.375,0.682108990437
37,41,-660,-16.0975609756,0.661365587724
38,42,-816,-19.4285714286,0.68738676617
39,44,-774,-17.5909090909,0.711356441225
40,48,-1044,-21.75,0.716610767835
41,43,-812,-18.8837209302,0.770646218289
42,50,-994,-19.88,0.750428967135
43,48,-818,-17.0416666667,0.707053246729
44,47,-822,-17.4893617021,0.728527141755
45,47,-882,-18.7659574468,0.699116468853
46,48,-880,-18.3333333333,0.703507168009
47,45,-834,-18.5333333333,0.752521666939
48,47,-970,-20.6382978723,0.822885495527
49,46,-922,-20.0434782609,0.786423879377
50,39,-684,-17.5384615385,0.780473296226
51,42,-728,-17.3333333333,0.728449474385
52,41,-802,-19.5609756098,0.668237131315
53,46,-1056,-22.9565217391,0.717918020544
54,41,-706,-17.2195121951,0.684347633775
55,45,-826,-18.3555555556,0.674971930681
56,43,-814,-18.9302325581,0.697969583845
57,48,-990,-20.625,0.690907835917
58,47,-912,-19.4042553191,0.713894654856
59,44,-758,-17.2272727273,0.70758194776
60,50,-968,-19.36,0.683022946418
61,45,-848,-18.8444444444,0.72403950565
62,44,-774,-17.5909090909,0.744530672968
63,46,-836,-18.1739130435,0.692519200381
64,49,-926,-18.8979591837,0.686147651255
65,38,-686,-18.0526315789,0.658530657964
66,36,-646,-17.9444444444,0.665568829951
67,40,-668,-16.7,0.662831061061
68,44,-774,-17.5909090909,0.655914353882
69,54,-1010,-18.7037037037,0.690945947958
70,42,-702,-16.7142857143,0.733303825683
71,42,-772,-18.380952381,0.750971879294
72,44,-766,-17.4090909091,0.725285297385
73,51,-968,-18.9803921569,0.754429525298
74,45,-992,-22.0444444444,0.745377694037
