epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,289,35900,124.221453287,1.5675188636
2,204,30180,147.941176471,3.62685439361
3,218,53600,245.871559633,5.302231232
4,225,50960,226.488888889,6.57185552325
5,209,53350,255.263157895,7.19650271483
6,184,42790,232.554347826,7.96599966198
7,184,54520,296.304347826,7.82558014706
8,191,58340,305.445026178,8.42590344856
9,178,67980,381.91011236,8.72075616449
10,177,54140,305.875706215,8.37849131012
11,183,55960,305.792349727,8.1441619972
12,151,48050,318.21192053,8.10817803716
13,144,37520,260.555555556,7.93887636224
14,32,9000,281.25,7.75751420159
15,122,32550,266.803278689,7.76869854985
16,141,36510,258.936170213,8.11471969515
17,114,30660,268.947368421,7.93852353079
18,127,40970,322.598425197,7.89912924072
19,158,68780,435.316455696,8.57934666343
20,115,31450,273.47826087,7.84656976119
21,126,36200,287.301587302,8.0191381423
22,115,30800,267.826086957,7.62086986622
23,36,9650,268.055555556,8.73599492395
24,130,34950,268.846153846,9.80849388538
25,123,52630,427.886178862,12.5417120338
26,105,27630,263.142857143,11.6328053139
27,58,15550,268.103448276,11.9759406689
28,172,46190,268.546511628,13.7473487981
29,101,25200,249.504950495,13.2951750329
30,135,35800,265.185185185,16.3125331392
31,134,35900,267.910447761,19.8480192246
32,129,32430,251.395348837,23.7121409734
33,160,39680,248.0,25.3323872801
34,149,38730,259.932885906,25.759719781
35,50,13390,267.8,27.1954610553
36,146,34010,232.945205479,26.9863442126
37,140,36610,261.5,29.6924554592
38,53,12970,244.716981132,20.4747275602
39,228,51860,227.456140351,22.2482849621
40,217,50250,231.566820276,18.6869467054
41,174,48880,280.91954023,14.4645179682
42,187,45590,243.796791444,17.6084683182
43,225,56010,248.933333333,19.9615782148
44,281,54180,192.8113879,20.1620952659
45,27,6720,248.888888889,21.5737749541
46,296,38150,128.885135135,23.0989222167
47,175,47760,272.914285714,21.1627103854
48,212,49270,232.405660377,20.8827125224
49,188,41880,222.765957447,17.6628466912
50,216,41080,190.185185185,18.1929749819
51,257,58050,225.875486381,19.8972172214
52,219,62040,283.287671233,20.2347288324
53,188,43310,230.372340426,24.4349661533
54,229,42040,183.580786026,23.1287468168
55,212,51530,243.066037736,26.0002666742
56,214,60320,281.869158879,25.214961297
57,74,17650,238.513513514,22.3472004009
58,191,72210,378.062827225,22.0828583447
59,191,46150,241.623036649,22.1888422175
60,231,65960,285.541125541,23.1361441193
61,161,112830,700.807453416,25.666779377
62,212,50630,238.820754717,26.1941391395
63,222,54120,243.783783784,23.1158143523
64,190,78010,410.578947368,24.9915181138
65,212,53060,250.283018868,24.1625004308
66,181,154410,853.093922652,22.5951517652
67,232,31120,134.137931034,22.0043768806
68,208,51670,248.413461538,21.838231607
69,194,63210,325.824742268,18.6523849533
70,248,62450,251.814516129,17.0095201067
71,223,55490,248.834080717,16.1029982813
72,192,107160,558.125,15.6262413425
73,102,62480,612.549019608,15.7636317487
74,192,92100,479.6875,13.1755607972
75,159,93500,588.050314465,11.1536512028
76,211,59850,283.6492891,9.44890839327
77,204,74490,365.147058824,9.28201033343
78,230,60190,261.695652174,9.52470994753
79,15,8590,572.666666667,7.80473970218
80,219,54790,250.182648402,7.55879231998
81,207,58570,282.946859903,7.19735463721
82,212,56670,267.311320755,7.15775842534
83,210,52380,249.428571429,6.96911393954
84,169,134900,798.224852071,6.63939131458
85,194,99010,510.360824742,6.6794733913
86,223,60720,272.286995516,6.62144959067
87,164,154970,944.93902439,6.63840738844
88,186,101170,543.924731183,6.26175450108
89,194,49800,256.701030928,6.29513827765
90,213,56090,263.333333333,6.33613054423
91,225,73630,327.244444444,6.32155535814
92,147,174350,1186.05442177,5.97453360672
93,223,63030,282.64573991,6.19098911173
94,201,71730,356.865671642,6.05591351615
95,183,136730,747.158469945,6.38996563951
96,201,81000,402.985074627,5.96675648901
97,189,99500,526.455026455,5.985605174
98,192,84250,438.802083333,5.74744703311
99,220,56220,255.545454545,5.97883529549
100,230,56880,247.304347826,5.88308743465
101,229,59910,261.615720524,5.88692085115
102,166,87900,529.518072289,5.76695921102
103,249,64370,258.514056225,5.61026477209
104,224,58750,262.276785714,5.60102167177
105,212,55410,261.367924528,5.46562439797
106,228,58940,258.50877193,5.17089367307
107,206,54010,262.184466019,5.34806861929
108,198,57200,288.888888889,5.28963788208
109,213,71770,336.948356808,5.38632679704
110,209,55780,266.889952153,5.48829135731
111,192,51890,270.260416667,5.38448341223
112,195,51230,262.717948718,5.33631280649
113,205,53360,260.292682927,5.24157802345
114,209,79500,380.38277512,5.42028350104
115,201,55680,277.014925373,5.44860227296
116,153,133250,870.91503268,5.44731498478
117,201,51760,257.512437811,5.40707408965
118,198,51320,259.191919192,5.49478054498
119,208,54720,263.076923077,5.374458561
120,174,125110,719.022988506,5.60682925081
121,205,53960,263.219512195,5.62973655917
122,201,57830,287.711442786,5.41957668028
123,197,127760,648.527918782,5.46208905201
