epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,130,57020,438.615384615,2.25377107028
2,128,67300,525.78125,4.73781863141
3,101,104780,1037.42574257,6.69153202001
4,114,78320,687.01754386,7.80359556197
5,135,41440,306.962962963,8.08553070446
6,122,65760,539.016393443,8.32513816044
7,109,101200,928.440366972,8.31716584725
8,113,83800,741.592920354,8.09609852903
9,103,110780,1075.53398058,7.72247025909
10,130,58020,446.307692308,7.74622200256
11,115,91160,792.695652174,7.90910691723
12,90,155520,1728.0,7.96935255674
13,88,147540,1676.59090909,8.21061278348
14,97,116360,1199.58762887,8.29015420119
15,91,147420,1620.0,8.34273425689
16,121,99560,822.809917355,8.4457341861
17,94,113920,1211.91489362,8.50377550598
18,121,70040,578.842975207,8.58686208891
19,103,126260,1225.82524272,8.70182364933
20,89,139540,1567.86516854,8.78101636846
21,96,133020,1385.625,9.0794637778
22,85,165020,1941.41176471,9.3166543309
23,84,151840,1807.61904762,9.62262530042
24,102,86140,844.509803922,10.0224744201
25,103,114180,1108.54368932,9.89495014793
26,72,228300,3170.83333333,9.9097454467
27,104,91700,881.730769231,9.71850845707
28,83,163980,1975.6626506,9.79448312621
29,78,167340,2145.38461538,9.78943126486
30,79,161340,2042.27848101,9.82282626107
31,66,253400,3839.39393939,9.99653520703
32,79,163940,2075.18987342,10.3329372144
33,71,195820,2758.02816901,10.0658528244
34,90,120060,1334.0,10.1752740506
35,66,241520,3659.39393939,10.1550972256
36,78,161840,2074.87179487,10.2747888999
37,70,211800,3025.71428571,10.6833064169
38,82,119400,1456.09756098,10.4573322249
39,77,150360,1952.72727273,10.4279576434
40,70,209160,2988.0,10.5142622247
41,65,203540,3131.38461538,10.452036459
42,69,208520,3022.02898551,10.4531019995
43,71,180320,2539.71830986,10.1053719703
44,68,222040,3265.29411765,10.0331764871
45,61,263660,4322.29508197,10.2996973046
46,70,220620,3151.71428571,10.2566947648
47,73,164220,2249.5890411,10.4430347514
48,69,199680,2893.91304348,10.5367632108
49,62,229580,3702.90322581,10.4357115819
50,57,247220,4337.19298246,10.2501575083
51,59,189220,3207.11864407,10.2980433124
52,68,161940,2381.47058824,10.3342100188
53,63,206800,3282.53968254,10.5554867354
54,56,295420,5275.35714286,10.4667457701
55,63,210680,3344.12698413,10.2507664686
56,53,295200,5569.81132075,10.189434925
57,55,289620,5265.81818182,10.2260048194
58,54,285520,5287.40740741,10.2843766124
59,51,265060,5197.25490196,10.5619844132
60,59,227580,3857.28813559,10.3005474926
61,55,290200,5276.36363636,10.4001343302
62,67,162180,2420.59701493,10.5163141021
63,60,251740,4195.66666667,10.5551410208
64,56,250740,4477.5,10.801616272
65,56,249980,4463.92857143,10.6384986024
