epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,159,37950,238.679245283,0.727417355962
2,238,40950,172.058823529,0.886096149124
3,257,6250,24.3190661479,0.9802795057
4,346,13450,38.8728323699,0.980947514828
5,281,10150,36.1209964413,1.11338560159
6,259,30750,118.725868726,1.19116437246
7,255,40500,158.823529412,1.14940801363
8,307,11650,37.9478827362,1.07012052482
9,224,29650,132.366071429,0.975636535157
10,314,8200,26.1146496815,0.905519358534
11,257,39450,153.501945525,0.90229196962
12,212,35550,167.688679245,0.827417844534
13,214,27600,128.971962617,0.811632624734
14,198,39500,199.494949495,0.820685329204
15,227,34450,151.762114537,0.723924822453
16,183,34050,186.06557377,0.770553958993
17,300,17900,59.6666666667,0.70094287443
18,300,16750,55.8333333333,0.621071497835
19,280,37850,135.178571429,0.645462561855
20,212,36550,172.405660377,0.623595593106
21,212,42150,198.820754717,0.588723089015
22,223,38100,170.852017937,0.568187401704
23,317,13550,42.7444794953,0.550691240635
24,286,20600,72.027972028,0.541445367597
25,193,38750,200.777202073,0.537121113185
26,261,39350,150.766283525,0.502307127519
27,199,30550,153.51758794,0.474076107359
28,240,64450,268.541666667,0.486314721375
29,268,47400,176.865671642,0.485666751873
30,300,30250,100.833333333,0.490138217802
31,210,47950,228.333333333,0.459986437132
32,293,34900,119.112627986,0.445265164245
33,233,32050,137.553648069,0.427817745461
34,221,47300,214.027149321,0.437195855508
35,303,12850,42.4092409241,0.443371769917
36,207,33700,162.801932367,0.464436717817
37,196,56900,290.306122449,0.490457353474
38,221,44600,201.809954751,0.523993619857
39,273,11500,42.1245421245,0.601476328317
40,279,34900,125.089605735,0.631361100392
41,233,40850,175.321888412,0.639445331646
42,280,37750,134.821428571,0.682274067547
43,275,32950,119.818181818,0.736175561256
44,216,41250,190.972222222,0.77316153269
45,220,41900,190.454545455,0.760436529637
46,244,40600,166.393442623,0.74814224005
47,219,40550,185.159817352,0.703244522028
48,239,52450,219.456066946,0.684273108145
49,293,27150,92.662116041,0.647674988327
50,201,46000,228.855721393,0.639833960091
51,269,39050,145.167286245,0.639633061386
52,320,40450,126.40625,0.67629283142
53,305,25900,84.9180327869,0.698985820186
54,236,48950,207.415254237,0.751518561407
55,208,37300,179.326923077,0.792172071417
56,197,30600,155.329949239,0.840423994027
57,175,45050,257.428571429,0.80489578123
58,221,46950,212.443438914,0.790847202651
59,248,36100,145.564516129,0.832270821671
60,200,36350,181.75,0.846473089429
61,264,51850,196.401515152,0.872082683295
62,253,29800,117.786561265,0.901016288932
63,270,46450,172.037037037,0.861409703696
64,222,46550,209.684684685,0.9236434209
65,232,37550,161.853448276,0.978118509075
66,346,25600,73.9884393064,1.00696051102
67,211,38850,184.123222749,0.980285499797
68,227,38700,170.484581498,0.970090233881
69,285,14250,50.0,0.931560961676
70,187,41400,221.390374332,0.857071224593
71,216,27600,127.777777778,0.870482768959
72,203,38450,189.408866995,0.788861728804
73,227,31350,138.105726872,0.784712389926
74,296,38550,130.236486486,0.807786395154
75,212,45600,215.094339623,0.855559935619
76,274,42550,155.291970803,0.889537463629
77,274,43450,158.576642336,0.901333462247
78,198,47600,240.404040404,0.866312965523
79,198,34150,172.474747475,0.828017727227
80,181,12800,70.7182320442,0.847237456413
81,230,31450,136.739130435,0.84293937251
82,205,36950,180.243902439,0.838854437137
83,222,43100,194.144144144,0.835449940728
84,243,47000,193.41563786,0.822251375322
85,181,48000,265.193370166,0.925977250212
86,318,36550,114.937106918,0.972103905836
87,229,31750,138.64628821,0.98358605128
88,201,26950,134.07960199,0.974706997629
89,268,30250,112.873134328,0.966581130158
90,207,42950,207.487922705,0.931200210019
91,219,32700,149.315068493,0.944246495478
92,296,30250,102.195945946,0.927783851181
93,172,45600,265.11627907,0.886250133472
94,199,26050,130.904522613,0.891620023097
95,308,14600,47.4025974026,0.843410458322
96,162,31800,196.296296296,0.885811378867
97,222,38100,171.621621622,0.913019901689
98,241,36200,150.20746888,0.901191129044
99,186,58250,313.172043011,0.922274194183
100,306,24000,78.431372549,0.892547332925
101,178,49050,275.561797753,0.893367058444
102,289,25750,89.1003460208,0.885580976601
103,169,62600,370.414201183,0.921076621264
104,221,39450,178.50678733,0.921763614123
105,320,33550,104.84375,0.93984861345
106,205,22400,109.268292683,0.905068531693
107,182,69900,384.065934066,0.871691607512
108,202,19000,94.0594059406,0.866152570283
109,191,28350,148.429319372,0.880488985581
110,186,16500,88.7096774194,0.908217718024
111,194,53500,275.773195876,0.924715410396
112,250,19350,77.4,0.928555436647
113,201,56900,283.084577114,0.901050502055
114,161,37000,229.813664596,0.898874376221
115,171,34600,202.339181287,0.944135451596
116,221,47100,213.122171946,0.973076080275
117,183,24900,136.06557377,1.00188076122
118,215,43350,201.627906977,0.972612715714
119,184,47500,258.152173913,0.987628522385
120,178,31700,178.08988764,0.998980879784
121,192,30450,158.59375,1.01304189372
122,287,41300,143.902439024,1.01713207643
123,239,43450,181.79916318,0.972518384217
124,310,37400,120.64516129,1.02417492208
125,249,32300,129.718875502,1.02799136996
126,204,60950,298.774509804,0.987435489129
127,171,45450,265.789473684,0.997442395024
128,185,39050,211.081081081,1.02198852266
