epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,164,43875,267.530487805,2.58028722694
2,90,56770,630.777777778,7.31732635238
3,57,675,11.8421052632,13.8863538461
4,100,10075,100.75,16.1705411562
5,30,4475,149.166666667,17.626253728
6,178,5175,29.0730337079,19.0019059731
7,62,6600,106.451612903,18.6926627069
8,51,7275,142.647058824,23.0263698958
9,55,6425,116.818181818,33.9691866073
10,91,7425,81.5934065934,32.7051822589
11,30,225,7.5,30.4233933084
12,26,375,14.4230769231,26.7129230122
13,47,118815,2527.9787234,23.3958327261
14,26,75,2.88461538462,22.0352169465
15,23,6700,291.304347826,22.0990690535
16,35,38895,1111.28571429,18.8971293212
17,73,218045,2986.91780822,19.5651902368
18,63,10400,165.079365079,29.3461036782
19,39,6825,175.0,34.2165297045
20,68,121125,1781.25,30.1833944048
21,50,152725,3054.5,27.0718374624
22,32,91425,2857.03125,25.7291812674
23,29,84075,2899.13793103,27.0874914661
24,53,158295,2986.69811321,29.4296048884
25,28,60575,2163.39285714,28.5085637684
26,26,72525,2789.42307692,25.2137076043
27,57,176245,3092.01754386,23.6595456156
28,43,133445,3103.37209302,21.6415568857
29,33,2410,73.0303030303,21.1668303945
30,27,79670,2950.74074074,19.8873566909
31,37,119810,3238.10810811,18.0756372613
32,34,109050,3207.35294118,17.6851600102
33,30,96715,3223.83333333,17.4634104678
34,41,168640,4113.17073171,17.2339439258
35,46,156990,3412.82608696,16.3273425502
36,49,269790,5505.91836735,16.0597422167
37,62,398385,6425.56451613,16.483589097
38,78,605635,7764.55128205,16.4485771074
39,77,707300,9185.71428571,17.8152113365
40,28,186385,6656.60714286,18.9391276072
41,48,354125,7377.60416667,18.2151504386
42,37,172635,4665.81081081,18.7946631821
43,43,213085,4955.46511628,19.3872901427
44,53,218385,4120.47169811,20.1046748463
45,51,314490,6166.47058824,20.2258875466
46,58,445140,7674.82758621,21.5475314098
47,47,446470,9499.36170213,22.5440676029
48,42,353735,8422.26190476,24.5606410033
49,42,377435,8986.54761905,23.244291791
50,48,374075,7793.22916667,22.4115539981
51,44,348260,7915.0,22.0257964597
52,54,658440,12193.3333333,22.019813117
53,55,511905,9307.36363636,21.8942349196
54,22,161580,7344.54545455,21.7303248605
55,63,605495,9611.03174603,21.4995058626
56,58,494375,8523.70689655,21.1886884618
57,82,633840,7729.75609756,21.4995966214
58,72,604875,8401.04166667,21.9377563893
59,50,328855,6577.1,23.4136126552
60,43,157595,3665.0,22.8284493788
61,35,263985,7542.42857143,22.1844970613
62,32,246995,7718.59375,23.2477311181
63,26,202535,7789.80769231,22.8729093928
64,33,257670,7808.18181818,23.1694487925
65,30,234340,7811.33333333,22.1337523617
66,40,313420,7835.5,22.1312542908
67,48,382200,7962.5,22.0712217421
68,45,415485,9233.0,21.0437318397
69,64,818455,12788.359375,20.6265609957
70,79,665195,8420.18987342,20.1162926259
71,44,488495,11102.1590909,20.8695825092
72,78,980980,12576.6666667,22.1885310935
73,58,684560,11802.7586207,21.7359550352
74,48,638110,13293.9583333,21.6688454016
75,32,391050,12220.3125,20.8707677423
76,40,538085,13452.125,20.1217905036
77,28,370420,13229.2857143,20.1754929239
78,26,356415,13708.2692308,20.2380984106
79,38,502785,13231.1842105,19.6996881373
80,28,355915,12711.25,19.1203529927
81,51,637775,12505.3921569,19.0686689282
82,25,345700,13828.0,19.1044762162
83,23,306945,13345.4347826,18.834778637
84,62,840490,13556.2903226,19.1727232328
85,90,1185240,13169.3333333,19.0470875619
86,33,449550,13622.7272727,19.2136585475
87,39,534970,13717.1794872,19.1676151041
88,73,1025300,14045.2054795,18.9653782702
89,64,908955,14202.421875,19.3873684533
90,72,967580,13438.6111111,19.0874418345
91,57,806650,14151.754386,18.7556383122
92,57,784700,13766.6666667,18.4332967977
