epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,36,-537,-14.9166666667,0.723165357206
2,36,-511,-14.1944444444,0.838989587594
3,35,-683,-19.5142857143,0.884999549557
4,37,-466,-12.5945945946,0.920461572399
5,36,-604,-16.7777777778,0.856690856693
6,38,-363,-9.55263157895,0.799438292766
7,34,-579,-17.0294117647,0.823375381511
8,37,-446,-12.0540540541,0.86606744091
9,38,-353,-9.28947368421,0.917987874877
10,35,-461,-13.1714285714,0.858181696245
11,38,-164,-4.31578947368,0.807193641011
12,39,-337,-8.64102564103,0.755383660607
13,37,-430,-11.6216216216,0.722088155728
14,38,-423,-11.1315789474,0.777012381647
15,38,-230,-6.05263157895,0.830580539424
16,36,-477,-13.25,0.868376150224
17,37,-415,-11.2162162162,0.831538883857
18,36,-544,-15.1111111111,0.788761999402
19,39,-350,-8.97435897436,0.848273350764
20,39,-414,-10.6153846154,0.856103278957
21,39,-371,-9.51282051282,0.830374357272
22,35,-697,-19.9142857143,0.79247670643
23,37,-403,-10.8918918919,0.798071688078
24,36,-516,-14.3333333333,0.83604029594
25,40,-255,-6.375,0.846039647013
26,36,-589,-16.3611111111,0.827695521526
27,38,-270,-7.10526315789,0.870632287171
28,35,-408,-11.6571428571,0.897664495707
29,39,-333,-8.53846153846,0.964053392336
30,36,-590,-16.3888888889,0.98097491039
31,36,-388,-10.7777777778,0.951393256709
32,39,-338,-8.66666666667,1.00526610667
33,36,-598,-16.6111111111,0.963655678108
34,36,-536,-14.8888888889,0.93029774176
35,40,-315,-7.875,0.94049868118
36,35,-553,-15.8,0.973285079245
37,35,-623,-17.8,0.952109169681
38,38,-342,-9.0,0.959984350372
39,38,-369,-9.71052631579,0.980705358405
40,38,-443,-11.6578947368,1.03243269961
41,36,-606,-16.8333333333,1.01793783488
42,38,-397,-10.4473684211,0.971966335941
43,39,-394,-10.1025641026,0.94033514373
44,40,-290,-7.25,0.973372943047
45,36,-531,-14.75,0.991100501772
46,36,-421,-11.6944444444,1.00343085824
47,39,-341,-8.74358974359,1.02854481524
48,38,-512,-13.4736842105,1.08795008281
49,40,-338,-8.45,1.02687521728
50,40,-224,-5.6,1.07696862178
51,39,-331,-8.48717948718,1.12066550955
52,39,-345,-8.84615384615,1.11383744085
53,38,-376,-9.89473684211,1.10980965793
54,39,-320,-8.20512820513,1.08450711004
55,40,-297,-7.425,1.07726114629
56,39,-250,-6.41025641026,1.08240265764
57,39,-334,-8.5641025641,1.00791154655
58,39,-273,-7.0,1.08600571804
59,39,-305,-7.82051282051,1.0891793539
60,37,-446,-12.0540540541,1.09610499643
61,38,-235,-6.18421052632,1.08735066017
62,34,-757,-22.2647058824,1.08191268833
63,36,-653,-18.1388888889,1.03681649541
64,40,-206,-5.15,1.04152501332
65,39,-356,-9.12820512821,1.05763540475
66,40,-257,-6.425,1.0229039854
67,37,-524,-14.1621621622,1.04201422574
68,39,-356,-9.12820512821,1.03027633149
69,38,-290,-7.63157894737,1.04213131962
70,39,-325,-8.33333333333,1.05281626547
71,37,-351,-9.48648648649,1.07281409692
72,39,-214,-5.48717948718,1.05109255401
73,36,-463,-12.8611111111,1.04626451317
74,39,-338,-8.66666666667,1.03973516127
75,40,-252,-6.3,1.07044914454
76,40,-330,-8.25,1.10652669232
77,38,-344,-9.05263157895,1.12215256741
78,36,-652,-18.1111111111,1.10919091798
79,40,-196,-4.9,1.1291712526
80,35,-443,-12.6571428571,1.19183627183
81,35,-371,-10.6,1.21276263177
82,39,-252,-6.46153846154,1.19561080746
83,39,-213,-5.46153846154,1.23681735437
84,38,-396,-10.4210526316,1.19873510003
85,38,-446,-11.7368421053,1.22467402074
86,38,-498,-13.1052631579,1.26852313548
87,40,-236,-5.9,1.20429039733
88,37,-509,-13.7567567568,1.19824012915
89,38,-470,-12.3684210526,1.14930142378
90,40,-203,-5.075,1.10491406469
91,38,-459,-12.0789473684,1.09257185781
92,36,-558,-15.5,1.12177963344
93,38,-176,-4.63157894737,1.09062870318
94,40,-250,-6.25,1.1644453997
95,39,-389,-9.97435897436,1.14780175874
96,41,-322,-7.85365853659,1.13078897325
97,39,-254,-6.51282051282,1.17968841022
98,36,-451,-12.5277777778,1.23239031557
99,39,-210,-5.38461538462,1.3325107337
100,37,-481,-13.0,1.35341936812
101,37,-220,-5.94594594595,1.31821130402
102,37,-470,-12.7027027027,1.31259276878
103,38,-374,-9.84210526316,1.27309995124
104,40,-224,-5.6,1.25333870009
105,40,-227,-5.675,1.26770046439
106,38,-387,-10.1842105263,1.30338441413
107,39,-163,-4.17948717949,1.29287334261
108,39,-189,-4.84615384615,1.30041088043
109,40,-163,-4.075,1.31309877908
110,39,-129,-3.30769230769,1.3457651219
111,40,-137,-3.425,1.32946205471
112,38,-373,-9.81578947368,1.31951567205
113,36,-180,-5.0,1.38209383873
114,39,-280,-7.17948717949,1.3333877597
115,38,-340,-8.94736842105,1.32023686863
116,39,-141,-3.61538461538,1.31708734766
117,36,-278,-7.72222222222,1.25328136208
118,36,-621,-17.25,1.27053592848
119,38,-367,-9.65789473684,1.2721977579
120,35,-729,-20.8285714286,1.3143331603
121,39,-208,-5.33333333333,1.36588636797
122,37,-361,-9.75675675676,1.36395908069
123,33,-492,-14.9090909091,1.34988063512
124,35,-661,-18.8857142857,1.36065778106
125,34,-690,-20.2941176471,1.37219905298
126,39,-189,-4.84615384615,1.33469836665
