epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,441,6200,14.0589569161,0.513225634936
2,411,9000,21.897810219,0.640565768767
3,395,6800,17.2151898734,0.688124018321
4,451,1600,3.54767184035,0.785634362155
5,314,5600,17.8343949045,0.701302022289
6,282,9800,34.7517730496,0.617715145424
7,274,7800,28.4671532847,0.53294009005
8,280,15000,53.5714285714,0.500880499138
9,268,5000,18.6567164179,0.438756253361
10,273,9800,35.8974358974,0.393125144327
11,273,4600,16.8498168498,0.361805075659
12,291,18000,61.8556701031,0.37849484178
13,323,155400,481.114551084,0.446527872583
14,349,208000,595.988538682,0.573707771373
15,291,171400,589.003436426,0.781127918812
16,274,79800,291.240875912,0.858894147476
17,285,213000,747.368421053,0.850647033334
18,269,101600,377.695167286,0.794677611173
19,281,220000,782.918149466,0.794142271043
20,233,218000,935.622317597,0.903830713253
21,238,235200,988.235294118,0.983717425009
22,208,256200,1231.73076923,1.03716268273
23,235,226700,964.680851064,1.04130674446
24,178,278200,1562.92134831,1.07152317034
25,283,187200,661.48409894,1.08511320843
26,203,275200,1355.66502463,1.12684264557
27,161,296300,1840.37267081,1.16638290559
28,107,348000,3252.3364486,1.2168411393
29,134,305400,2279.10447761,1.24910874813
30,96,343600,3579.16666667,1.34234762079
31,178,285600,1604.49438202,1.34668683355
32,89,336100,3776.40449438,1.4083942723
33,96,343200,3575.0,1.46353919507
34,111,338600,3050.45045045,1.53506016198
35,61,346200,5675.40983607,1.5927041351
36,56,353000,6303.57142857,1.67800501939
37,67,355400,5304.47761194,1.60022581679
38,61,360200,5904.91803279,1.56775519717
39,75,341600,4554.66666667,1.56940876263
40,54,354000,6555.55555556,1.62700093498
41,64,345000,5390.625,1.60763028217
42,70,331600,4737.14285714,1.55187298753
43,51,363600,7129.41176471,1.54124569002
44,47,361000,7680.85106383,1.5102942822
45,57,387800,6803.50877193,1.52859428714
46,50,392800,7856.0,1.50856993387
47,56,392600,7010.71428571,1.51625768658
48,55,410400,7461.81818182,1.55164048973
49,62,380500,6137.09677419,1.57291405931
50,51,381600,7482.35294118,1.6215711517
51,94,379100,4032.9787234,1.63068118084
52,58,429200,7400.0,1.6370965625
53,78,415600,5328.20512821,1.61224991859
54,78,406600,5212.82051282,1.66983073207
55,55,449800,8178.18181818,1.68364591917
56,61,429400,7039.3442623,1.65454894201
57,77,397400,5161.03896104,1.69122424892
58,45,453800,10084.4444444,1.75205384213
59,56,449300,8023.21428571,1.81149197788
60,59,464600,7874.57627119,1.83993799071
61,53,475200,8966.03773585,1.9014494252
62,51,475400,9321.56862745,1.90535150638
63,45,489200,10871.1111111,1.90158312576
64,50,483400,9668.0,1.88316809844
65,50,485200,9704.0,1.87658594915
66,49,482400,9844.89795918,1.88685027809
67,58,472400,8144.82758621,1.86595413445
68,62,456200,7358.06451613,1.92169302531
69,51,486000,9529.41176471,1.89023624983
70,64,472100,7376.5625,1.96803682923
71,54,476700,8827.77777778,1.91315502943
72,51,486000,9529.41176471,1.92749991598
73,56,479500,8562.5,1.89264600085
74,66,485400,7354.54545455,1.90054446781
75,60,483600,8060.0,2.01620227743
76,57,480800,8435.0877193,2.00678675262
77,73,478100,6549.31506849,1.98857947184
78,49,480600,9808.16326531,1.97473405357
79,71,472800,6659.15492958,1.91496319966
80,58,479100,8260.34482759,1.93435114942
81,53,485600,9162.26415094,1.948625689
82,62,490200,7906.4516129,1.95682168728
83,53,486000,9169.81132075,1.86944024248
84,49,492400,10048.9795918,1.84258884361
85,53,480200,9060.37735849,1.81276089288
86,55,483200,8785.45454545,1.87911813201
87,51,483200,9474.50980392,1.84731636105
88,67,483600,7217.91044776,1.91317171134
89,55,480200,8730.90909091,1.94623751236
90,65,473200,7280.0,1.93853007726
91,59,483800,8200.0,1.97895050485
92,66,466800,7072.72727273,1.95778943289
93,62,481700,7769.35483871,1.88932280235
94,69,456100,6610.14492754,1.97081591371
95,65,471200,7249.23076923,1.97724933669
96,48,491000,10229.1666667,1.93009038813
97,69,454800,6591.30434783,1.90542599786
98,61,489400,8022.95081967,1.9728852243
99,71,462200,6509.85915493,1.93613445513
100,77,468200,6080.51948052,1.97139819935
101,59,478200,8105.08474576,1.98205821902
102,66,459600,6963.63636364,2.01243338376
103,62,473200,7632.25806452,1.98997829556
104,62,473400,7635.48387097,2.00856083609
105,68,465400,6844.11764706,1.98437741186
106,60,470000,7833.33333333,1.98711527355
107,64,475000,7421.875,2.04488425639
108,61,468200,7675.40983607,2.07528769236
109,61,478000,7836.06557377,1.98720595479
110,66,460300,6974.24242424,2.04498825107
111,65,476600,7332.30769231,1.99835621398
112,69,471400,6831.88405797,2.05291563556
