epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,89,165880,1863.82022472,6.92254445992
2,84,188410,2242.97619048,13.5720245788
3,92,126310,1372.93478261,20.0101995579
4,90,515490,5727.66666667,23.8985812595
5,94,160360,1705.95744681,27.1753285072
6,99,450240,4547.87878788,29.5394671275
7,94,326960,3478.29787234,30.303304861
8,95,583030,6137.15789474,31.988382502
9,91,390280,4288.79120879,34.8187406884
10,97,427640,4408.65979381,39.1762729388
11,95,585630,6164.52631579,42.5973817137
12,89,622780,6997.52808989,45.8915275282
13,96,368970,3843.4375,48.3386364503
14,94,601390,6397.76595745,50.3709784909
15,91,544790,5986.7032967,51.7988556482
16,91,682700,7502.1978022,53.3223655434
17,92,624690,6790.10869565,56.1032667238
18,93,645350,6939.24731183,56.7897402997
19,91,487930,5361.86813187,58.1535516453
20,90,534340,5937.11111111,58.887119693
21,88,661160,7513.18181818,60.1979990207
22,90,542190,6024.33333333,59.985924466
23,89,517320,5812.58426966,60.6921134235
24,96,527650,5496.35416667,61.3279647213
25,96,543390,5660.3125,61.2631848237
26,93,559180,6012.68817204,62.6112108797
27,95,524080,5516.63157895,62.8363592458
28,89,623900,7010.11235955,64.111299929
29,95,567190,5970.42105263,62.8392319274
30,98,300610,3067.44897959,63.076351288
31,92,565240,6143.91304348,63.4876765111
32,93,522400,5617.20430108,63.2588182062
33,89,517610,5815.84269663,63.1639523643
34,90,397180,4413.11111111,62.8718001884
35,92,622830,6769.89130435,63.5574755082
36,89,448150,5035.39325843,63.7091709787
37,91,396260,4354.50549451,64.0116531613
38,86,481790,5602.20930233,64.3422619337
39,86,631710,7345.46511628,64.1975638241
40,86,386950,4499.41860465,64.1717793471
41,91,527920,5801.31868132,64.4220668676
42,92,718090,7805.32608696,64.4205906895
43,90,575250,6391.66666667,64.3340644178
44,88,606380,6890.68181818,65.4347773173
45,72,299200,4155.55555556,64.9513660213
46,53,204690,3862.0754717,65.4525277403
47,94,583060,6202.76595745,65.2532950699
48,57,284190,4985.78947368,65.1878022566
49,83,307140,3700.48192771,65.492860339
50,97,181590,1872.06185567,65.65401934
51,96,625870,6519.47916667,65.3559835696
52,75,420530,5607.06666667,64.6159680486
53,92,565190,6143.36956522,64.3082459778
54,94,451520,4803.40425532,63.3333666185
55,88,415300,4719.31818182,63.6318143857
56,100,463380,4633.8,63.4713119337
57,94,634560,6750.63829787,64.1252185291
58,93,619310,6659.24731183,63.5494604728
59,91,394530,4335.49450549,63.8346667892
60,91,346370,3806.26373626,64.2594302505
61,93,530680,5706.23655914,64.8482628083
62,92,380280,4133.47826087,64.2980537632
63,92,296180,3219.34782609,64.9888436094
64,90,410680,4563.11111111,65.2161534894
65,90,250760,2786.22222222,65.660990729
66,101,595260,5893.66336634,65.7766996011
67,87,515600,5926.43678161,65.9418809539
68,91,388630,4270.65934066,66.180236122
69,91,504130,5539.89010989,67.1878707805
70,92,423850,4607.06521739,66.530686509
71,99,452550,4571.21212121,66.688820627
72,90,314340,3492.66666667,66.1043337831
73,92,402550,4375.54347826,66.4746623215
74,89,499760,5615.28089888,65.7868841699
75,95,413310,4350.63157895,65.5045439363
76,91,360870,3965.6043956,65.6792663634
77,92,501610,5452.2826087,65.7776853088
78,88,652350,7413.06818182,65.1461650079
79,95,509190,5359.89473684,64.9528215325
80,81,478820,5911.35802469,65.3663100386
81,96,561330,5847.1875,65.8039813077
82,96,524150,5459.89583333,66.0613587287
83,91,284190,3122.96703297,65.422862969
84,92,445080,4837.82608696,66.0506295139
85,85,301800,3550.58823529,65.3178949597
86,91,290090,3187.8021978,66.5453452528
87,90,329950,3666.11111111,66.133534852
88,100,556360,5563.6,67.0361418802
89,91,366460,4027.03296703,67.2879125208
90,94,316830,3370.53191489,66.4880885398
91,99,367640,3713.53535354,66.1018674278
92,94,382200,4065.95744681,65.4504772666
93,90,426090,4734.33333333,65.4022594732
94,94,640050,6809.04255319,65.1819846976
95,95,469610,4943.26315789,65.6102717495
96,46,256760,5581.73913043,65.7116659364
97,92,552740,6008.04347826,64.6186190698
98,86,574650,6681.97674419,64.7513837922
99,93,557630,5996.02150538,65.0499157378
100,88,322110,3660.34090909,64.1621055284
101,78,413340,5299.23076923,64.5630667776
102,93,298160,3206.02150538,65.460604853
103,94,413390,4397.76595745,66.0729597285
104,89,384390,4318.98876404,65.9801951292
105,63,289540,4595.87301587,66.0232805932
106,94,367570,3910.31914894,65.3191323602
107,97,281050,2897.42268041,66.2455692014
108,91,587960,6461.0989011,66.7830239287
109,89,346290,3890.8988764,66.6319690761
110,92,450450,4896.19565217,66.4268194941
111,90,492170,5468.55555556,66.7249851072
112,92,393260,4274.56521739,67.4475116909
113,92,463090,5033.58695652,67.4400965428
114,93,519210,5582.90322581,66.6765620366
115,92,384010,4174.02173913,66.5412330145
116,96,543640,5662.91666667,66.5617076522
117,102,408980,4009.60784314,66.7838971645
118,95,384600,4048.42105263,67.089023605
119,90,318220,3535.77777778,66.5676486617
120,84,423040,5036.19047619,66.6495576379
121,95,527630,5554.0,67.192482456
122,88,494360,5617.72727273,66.7681357267
123,90,473150,5257.22222222,66.0995084536
124,90,336060,3734.0,67.1272979474
