epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,145,81200,560.0,1.04173178946
2,168,18800,111.904761905,1.66582511064
3,105,531700,5063.80952381,2.53130864443
4,66,753200,11412.1212121,3.21743524203
5,64,733800,11465.625,4.47796581087
6,53,679400,12818.8679245,6.14432160564
7,44,925600,21036.3636364,6.83901010778
8,48,859200,17900.0,7.62268407349
9,30,921300,30710.0,7.85876444228
10,24,909300,37887.5,8.40240892601
11,30,693200,23106.6666667,8.68170996477
12,30,711600,23720.0,8.99978876389
13,26,522400,20092.3076923,9.05051390568
14,24,823600,34316.6666667,9.34008170896
15,39,860700,22069.2307692,9.28611368966
16,35,610600,17445.7142857,9.6792097377
17,28,651800,23278.5714286,9.89866339618
18,42,755600,17990.4761905,10.0191321036
19,34,654200,19241.1764706,10.1679725835
20,27,622300,23048.1481481,10.4682707104
21,66,667900,10119.6969697,10.2871571901
22,63,534600,8485.71428571,10.5889405666
23,38,559100,14713.1578947,10.5871362009
24,60,520500,8675.0,10.5755110052
25,51,596100,11688.2352941,10.1913098614
26,39,563300,14443.5897436,10.2872722902
27,86,424100,4931.39534884,10.4750837509
28,35,865500,24728.5714286,10.6814990971
29,94,403300,4290.42553191,10.5733501728
30,52,696500,13394.2307692,10.6890953044
31,52,694100,13348.0769231,10.5772512296
32,48,811900,16914.5833333,10.5437074937
33,59,829800,14064.4067797,10.5041153445
34,52,607900,11690.3846154,10.5042117811
35,53,799400,15083.0188679,10.537804821
36,48,834300,17381.25,10.8489181173
37,63,732900,11633.3333333,10.7634087232
38,110,480200,4365.45454545,10.8903328383
39,75,704700,9396.0,10.7792515987
40,86,514400,5981.39534884,10.75266474
41,57,822600,14431.5789474,11.0813626916
42,57,722600,12677.1929825,10.8457450183
43,68,639200,9400.0,10.7854776882
44,79,501200,6344.30379747,11.0559682774
45,64,460300,7192.1875,10.9660316466
46,63,479500,7611.11111111,11.0235016934
47,85,553200,6508.23529412,11.2618074062
48,84,530700,6317.85714286,10.9180290126
49,88,627500,7130.68181818,11.0338587743
50,115,396800,3450.43478261,11.2034249435
51,87,534800,6147.12643678,11.2366541996
52,89,650200,7305.61797753,11.2341631303
53,95,482100,5074.73684211,11.392820153
54,78,612100,7847.43589744,11.2394448573
55,101,419200,4150.4950495,10.8620870735
56,69,426700,6184.05797101,10.810945069
57,64,517600,8087.5,10.5864671518
58,74,422600,5710.81081081,10.6039330531
59,61,523200,8577.04918033,10.4762525802
60,88,566900,6442.04545455,10.2413487835
61,84,461100,5489.28571429,10.6703646829
62,83,655000,7891.56626506,10.6254127653
63,67,560500,8365.67164179,10.4053993104
64,44,665300,15120.4545455,10.3060187752
65,79,381100,4824.05063291,10.3408809865
66,52,663800,12765.3846154,10.4863144283
67,69,641600,9298.55072464,10.4382518879
68,106,328300,3097.16981132,10.6334670455
69,80,493500,6168.75,10.4856733809
70,64,523600,8181.25,10.4410655143
71,69,430100,6233.33333333,10.5931538124
72,50,587600,11752.0,10.7163406943
73,41,698100,17026.8292683,10.7758213043
74,40,317300,7932.5,10.765219993
75,80,360800,4510.0,10.542015494
76,46,800700,17406.5217391,10.5003358965
77,74,529700,7158.10810811,10.5795407184
78,76,546100,7185.52631579,10.6113068479
79,54,842700,15605.5555556,10.3994884192
80,100,372800,3728.0,10.1545813306
81,33,671000,20333.3333333,10.2128136439
82,43,886300,20611.627907,10.0031089917
83,55,496100,9020.0,10.1059394011
84,58,766200,13210.3448276,10.1786757545
85,80,632900,7911.25,10.1621200088
86,41,767400,18717.0731707,10.1299660136
87,39,903500,23166.6666667,10.2622293964
88,36,730500,20291.6666667,9.97870892261
89,48,825200,17191.6666667,10.0840045433
90,54,772500,14305.5555556,10.2130051011
