epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,218,136600,626.605504587,2.11240845442
2,174,156040,896.781609195,4.44255924907
3,163,169050,1037.11656442,6.32901003441
4,182,175380,963.626373626,8.63400985789
5,180,176320,979.555555556,10.6710693947
6,170,199770,1175.11764706,12.4560839218
7,164,203650,1241.76829268,13.9402458203
8,162,222670,1374.50617284,15.092954594
9,139,248020,1784.31654676,16.4695284074
10,151,231850,1535.43046358,16.9306557461
11,152,239820,1577.76315789,17.9796062573
12,155,247640,1597.67741935,19.950372934
13,144,231500,1607.63888889,19.6022925362
14,153,229050,1497.05882353,21.5938235718
15,158,194870,1233.35443038,22.4591947146
16,139,249740,1796.69064748,23.3752242501
17,153,219250,1433.00653595,23.0370791872
18,141,252390,1790.0,23.6543585788
19,141,244050,1730.85106383,25.2910292529
20,140,239310,1709.35714286,24.1229998732
21,135,257050,1904.07407407,25.1262886439
22,133,258480,1943.45864662,25.4245557708
23,156,245150,1571.47435897,26.0110824223
24,139,253440,1823.30935252,25.5702866119
25,132,261600,1981.81818182,25.4167845805
26,151,222200,1471.52317881,25.4125762942
27,134,237700,1773.88059701,25.913243999
28,141,238900,1694.32624113,26.1093015791
29,141,236440,1676.87943262,25.7271957871
30,129,259910,2014.80620155,25.7395766629
31,131,244670,1867.70992366,25.4834133884
32,136,264470,1944.63235294,25.4463497995
33,132,250920,1900.90909091,25.9530473591
34,133,264030,1985.18796992,26.56657544
35,128,266280,2080.3125,27.240820006
36,126,260590,2068.17460317,27.24483284
37,127,269060,2118.58267717,26.6580134417
38,128,245360,1916.875,26.1842630967
39,128,248140,1938.59375,25.2385625111
40,130,255690,1966.84615385,25.1714380132
41,130,264060,2031.23076923,26.1058368187
42,132,259960,1969.39393939,26.0075754979
43,130,269370,2072.07692308,26.0005831751
44,133,269750,2028.19548872,26.1608678266
45,133,276450,2078.57142857,26.6150325154
46,130,266160,2047.38461538,26.2081059757
47,124,253360,2043.22580645,26.862115723
48,127,267140,2103.46456693,26.7366163222
49,122,274290,2248.27868852,26.6891272326
50,127,257070,2024.17322835,26.7633159088
51,132,254110,1925.07575758,26.4580991024
52,132,267600,2027.27272727,26.6146250911
53,136,286460,2106.32352941,26.6518947117
54,126,278120,2207.3015873,26.1230448656
55,126,277080,2199.04761905,26.2356594571
56,121,276990,2289.17355372,25.2632610361
57,126,256520,2035.87301587,26.0910064939
58,124,266980,2153.06451613,25.9823244773
59,131,250020,1908.54961832,25.7897003657
60,123,259080,2106.34146341,25.6669813733
61,124,272150,2194.75806452,25.9413371338
62,128,268220,2095.46875,25.5487211677
63,122,266200,2181.96721311,25.4694519235
64,130,262700,2020.76923077,25.288066612
65,116,260790,2248.18965517,25.4772722913
66,125,271280,2170.24,24.7251577923
67,124,265810,2143.62903226,24.5686375406
68,129,287710,2230.31007752,24.8460990353
69,125,293770,2350.16,25.2063483247
70,126,257750,2045.63492063,24.9596800259
71,128,253570,1981.015625,24.8503110926
72,117,252750,2160.25641026,25.3352432737
73,121,257120,2124.95867769,25.0811242199
74,119,271620,2282.5210084,25.113808911
75,110,245630,2233.0,24.3027009818
76,124,256360,2067.41935484,23.8047369464
77,121,262750,2171.48760331,24.0419834939
78,119,269340,2263.36134454,24.9437909764
79,126,260370,2066.42857143,25.153533576
80,123,262150,2131.30081301,25.3423738743
81,128,272840,2131.5625,25.4735104955
82,140,248180,1772.71428571,24.9845624462
83,126,261940,2078.88888889,24.6346361035
84,120,267860,2232.16666667,25.2642208745
85,122,265620,2177.21311475,25.4326452903
86,125,261630,2093.04,25.1936106433
87,119,245210,2060.58823529,25.0885916443
88,118,263590,2233.81355932,25.4334519036
89,118,244280,2070.16949153,25.861406271
90,124,256050,2064.91935484,25.7783484799
91,124,252500,2036.29032258,25.7873989785
92,125,252100,2016.8,25.9244308682
93,117,255910,2187.26495726,25.2165950812
94,123,279140,2269.43089431,25.0273315523
95,125,260810,2086.48,24.2802715614
96,119,263470,2214.03361345,23.825289426
97,120,254830,2123.58333333,23.6939206132
98,123,264700,2152.03252033,23.4969404654
