epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,51,85820,1682.74509804,1.3327130232
2,54,85710,1587.22222222,2.14869028421
3,57,89720,1574.03508772,2.93549590925
4,46,94430,2052.82608696,3.74063699705
5,36,123930,3442.5,4.1268667689
6,40,129400,3235.0,4.57747205038
7,28,181430,6479.64285714,5.40809061004
8,31,195750,6314.51612903,5.86110930729
9,29,178590,6158.27586207,7.19433684085
10,93,65650,705.913978495,8.77149884592
11,41,134490,3280.24390244,9.64956095221
12,34,156430,4600.88235294,10.4724717915
13,35,128550,3672.85714286,10.9023165611
14,34,166010,4882.64705882,10.7646352793
15,35,132000,3771.42857143,13.6977871342
16,26,172090,6618.84615385,13.3697044028
17,29,158580,5468.27586207,12.9437093433
18,25,193860,7754.4,13.0626113146
19,31,155060,5001.93548387,12.5958891088
20,26,153940,5920.76923077,12.638137708
21,41,102240,2493.65853659,12.7668333714
22,28,164610,5878.92857143,12.9520459717
23,26,170880,6572.30769231,12.5699463516
24,25,178850,7154.0,12.5552600667
25,34,134510,3956.17647059,12.1954238324
26,26,156560,6021.53846154,12.0414413878
27,28,177500,6339.28571429,11.5610181374
28,34,129110,3797.35294118,11.5723240552
29,26,180620,6946.92307692,11.7965234254
30,25,156790,6271.6,11.9929860087
31,24,184060,7669.16666667,12.2918680441
32,25,186170,7446.8,12.1522484235
33,34,142000,4176.47058824,12.2096037243
34,26,177230,6816.53846154,12.255207843
35,28,170030,6072.5,11.8084008543
36,25,177990,7119.6,11.8624016839
37,44,124100,2820.45454545,11.667785712
38,26,180380,6937.69230769,11.9161384154
39,25,163230,6529.2,11.9718262158
40,26,182340,7013.07692308,12.678866742
41,26,171080,6580.0,12.4923528605
42,30,151090,5036.33333333,12.1478362034
43,28,149040,5322.85714286,12.2809141987
44,26,165600,6369.23076923,12.5831251391
45,26,188800,7261.53846154,12.6790779309
46,24,172520,7188.33333333,12.3493089831
47,30,148610,4953.66666667,12.1585150391
48,28,148160,5291.42857143,12.1577214287
49,26,169000,6500.0,12.5231833511
50,25,163360,6534.4,12.0401417684
51,25,172930,6917.2,11.931911108
52,27,178400,6607.40740741,11.9444833856
53,29,148980,5137.24137931,11.9764173243
54,55,101460,1844.72727273,11.9593449901
55,24,189000,7875.0,12.4944550871
56,27,163000,6037.03703704,12.3424560831
57,28,173070,6181.07142857,12.6551859219
58,27,177410,6570.74074074,12.5139738652
59,28,158740,5669.28571429,12.4200794559
60,27,163540,6057.03703704,12.5857690239
61,24,197960,8248.33333333,12.2668107174
62,34,111340,3274.70588235,12.3809748887
63,29,160950,5550.0,12.1825047118
64,30,151960,5065.33333333,11.8907973728
65,27,182050,6742.59259259,11.8241179374
66,23,191940,8345.2173913,11.9983963789
67,25,184130,7365.2,11.9848125369
68,23,184310,8013.47826087,11.8613105353
69,23,188060,8176.52173913,11.8282005223
70,24,195500,8145.83333333,11.647511439
71,24,192130,8005.41666667,12.0203739869
72,25,188460,7538.4,12.0528967679
73,23,191080,8307.82608696,11.956756958
74,26,185290,7126.53846154,11.7855224406
75,23,190370,8276.95652174,11.3811807316
76,27,173390,6421.85185185,11.5993620502
77,25,179800,7192.0,11.7061723913
78,27,190930,7071.48148148,11.3226932911
79,29,166190,5730.68965517,11.3375543788
80,31,151930,4900.96774194,11.7684317748
81,26,174380,6706.92307692,11.5438257109
82,24,192130,8005.41666667,11.4955111574
83,28,172950,6176.78571429,11.5496512733
84,27,177720,6582.22222222,11.6722842809
85,31,138660,4472.90322581,11.9600050798
86,27,178610,6615.18518519,12.1810817646
87,25,162760,6510.4,12.4902798875
88,27,174350,6457.40740741,12.5893811383
89,25,193330,7733.2,12.0207180214
90,26,192170,7391.15384615,11.9605466154
91,23,191050,8306.52173913,12.152993652
92,31,163360,5269.67741935,12.147017725
93,23,195550,8502.17391304,11.9068858225
94,25,197750,7910.0,11.7132094604
95,23,184210,8009.13043478,11.8404914348
96,28,162550,5805.35714286,11.472366401
97,25,190180,7607.2,11.646049907
98,26,174720,6720.0,11.6754877154
99,30,167800,5593.33333333,11.6041042578
100,28,187610,6700.35714286,11.4324221226
101,26,182750,7028.84615385,11.3907213945
102,27,177220,6563.7037037,11.5195729185
103,25,179630,7185.2,11.3940033028
104,25,184510,7380.4,11.5249552918
105,24,196420,8184.16666667,11.7685583021
106,25,182790,7311.6,11.8473032526
107,27,178820,6622.96296296,11.6671904752
108,26,187230,7201.15384615,11.7323775657
109,25,186760,7470.4,11.4229382271
110,25,191490,7659.6,11.4990836168
111,24,188540,7855.83333333,11.4712776146
112,30,162260,5408.66666667,11.6407740862
113,25,186630,7465.2,11.6695701968
114,31,154940,4998.06451613,11.6803543609
115,28,179100,6396.42857143,11.5271932841
116,26,164630,6331.92307692,11.6430767328
117,27,161820,5993.33333333,11.4627177393
118,25,164430,6577.2,11.5300695365
119,24,196130,8172.08333333,11.6982446904
120,26,192090,7388.07692308,11.9966797274
121,28,161230,5758.21428571,12.1098945998
122,28,180750,6455.35714286,12.2290928065
123,25,198900,7956.0,12.1163334648
124,27,176400,6533.33333333,11.9302901567
125,27,176440,6534.81481481,12.1002352945
126,26,187670,7218.07692308,11.8205916316
127,27,179480,6647.40740741,11.7095269868
