epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,164,-3444,-21.0,-0.016059239757
2,129,-2709,-21.0,-0.280737101312
3,145,-3044,-20.9931034483,-0.429175801986
4,115,-2346,-20.4,-0.58838073709
5,66,-1208,-18.303030303,-0.637812932628
6,46,-798,-17.347826087,-0.596774896581
7,46,-716,-15.5652173913,-0.578615312002
8,45,-795,-17.6666666667,-0.471006477177
9,32,-511,-15.96875,-0.398052811066
10,65,-1299,-19.9846153846,-0.362496321714
11,39,-671,-17.2051282051,-0.398723000428
12,25,-369,-14.76,-0.338460366664
13,31,-468,-15.0967741935,-0.300949052917
14,29,-444,-15.3103448276,-0.333465194026
15,30,-485,-16.1666666667,-0.266397311625
16,24,-307,-12.7916666667,-0.129793867352
17,20,-231,-11.55,-0.114520094812
18,22,-260,-11.8181818182,-0.0906098029412
19,20,-194,-9.7,-0.0780010515542
20,23,-289,-12.5652173913,-0.061641627635
21,20,-236,-11.8,-0.0590390640472
22,21,-252,-12.0,-0.0485455015334
23,18,-203,-11.2777777778,-0.0233319062338
24,19,-247,-13.0,0.0100750843593
25,18,-231,-12.8333333333,0.02059138379
26,20,-258,-12.9,0.0182264952664
27,18,-224,-12.4444444444,0.0130738639738
28,15,-143,-9.53333333333,0.0221309875825
29,18,-216,-12.0,0.0439949624927
30,14,-44,-3.14285714286,0.018768220112
31,21,-320,-15.2380952381,0.00571317245602
32,17,-143,-8.41176470588,0.0551885512751
33,15,-110,-7.33333333333,0.0905903902394
34,15,-147,-9.8,0.0758460734738
35,15,-136,-9.06666666667,0.096212470457
36,14,-100,-7.14285714286,0.0808623653254
37,13,-113,-8.69230769231,0.0712210979871
38,14,-74,-5.28571428571,0.11388013701
39,14,-139,-9.92857142857,0.128551763934
40,14,-92,-6.57142857143,0.113081212037
41,11,-80,-7.27272727273,0.0909887216263
42,13,-120,-9.23076923077,0.06375457427
43,13,-103,-7.92307692308,0.0840677798679
44,14,-129,-9.21428571429,0.0339292922057
45,12,-79,-6.58333333333,0.0666651184298
46,12,22,1.83333333333,0.0441819466813
47,11,-43,-3.90909090909,0.0482184724417
48,12,1,0.0833333333333,0.0590888986434
49,12,39,3.25,0.0725330582797
50,13,29,2.23076923077,0.0699327525357
51,15,-124,-8.26666666667,0.0991654986516
52,13,-102,-7.84615384615,0.0984006196307
53,13,44,3.38461538462,0.0893092882074
54,12,39,3.25,0.129409270482
55,12,36,3.0,0.12944569475
56,14,13,0.928571428571,0.18159604209
57,13,53,4.07692307692,0.169419607124
58,13,13,1.0,0.172237205477
59,13,73,5.61538461538,0.203745149216
60,15,157,10.4666666667,0.175340590784
61,14,148,10.5714285714,0.200582431639
62,14,104,7.42857142857,0.267649469352
63,16,191,11.9375,0.240140621811
64,15,113,7.53333333333,0.271737185302
65,17,179,10.5294117647,0.272969163461
66,19,187,9.84210526316,0.272076547425
67,18,205,11.3888888889,0.281343891956
68,16,143,8.9375,0.271636084132
69,17,192,11.2941176471,0.299388629408
70,21,303,14.4285714286,0.278489251388
71,19,235,12.3684210526,0.347063924237
72,18,222,12.3333333333,0.353028884903
73,18,237,13.1666666667,0.374353836039
74,20,237,11.85,0.379786693472
75,20,259,12.95,0.329065347156
76,21,260,12.380952381,0.35912267372
77,20,272,13.6,0.364152474208
78,19,243,12.7894736842,0.387051877631
79,23,327,14.2173913043,0.359093091246
80,18,235,13.0555555556,0.390546752783
81,23,333,14.4782608696,0.420457825577
82,22,322,14.6363636364,0.402947533857
83,32,526,16.4375,0.414550165124
84,32,532,16.625,0.40770284608
85,36,617,17.1388888889,0.432089708438
86,40,694,17.35,0.422467665123
87,41,752,18.3414634146,0.465376221333
88,43,776,18.0465116279,0.494847617308
89,42,753,17.9285714286,0.498374348162
90,39,659,16.8974358974,0.520745191202
91,46,848,18.4347826087,0.523504445627
92,48,899,18.7291666667,0.528270692294
93,44,805,18.2954545455,0.544389404319
94,46,851,18.5,0.574474701555
95,47,863,18.3617021277,0.568528160695
96,47,875,18.6170212766,0.576514207721
97,51,986,19.3333333333,0.579926085621
98,48,881,18.3541666667,0.615031385776
99,50,937,18.74,0.613031851491
100,51,957,18.7647058824,0.63236121472
101,52,993,19.0961538462,0.643616894018
102,56,1069,19.0892857143,0.664835743066
103,54,1021,18.9074074074,0.670982410265
104,53,1001,18.8867924528,0.707371987412
105,55,1045,19.0,0.731395503199
106,54,981,18.1666666667,0.72037074008
107,55,1045,19.0,0.695359686101
108,57,1096,19.2280701754,0.704335608874
109,56,1071,19.125,0.69773789797
110,56,1041,18.5892857143,0.698113287827
111,55,1033,18.7818181818,0.706267352598
112,56,1074,19.1785714286,0.694810977224
113,56,1068,19.0714285714,0.671147744721
114,56,1074,19.1785714286,0.68065671348
115,56,1055,18.8392857143,0.665566175338
116,55,1046,19.0181818182,0.673631468462
117,56,1064,19.0,0.660384581955
118,57,1106,19.4035087719,0.665014523612
119,55,1042,18.9454545455,0.648479810236
120,56,1048,18.7142857143,0.643217643006
121,55,1027,18.6727272727,0.642522616545
122,57,1100,19.298245614,0.646558342613
123,57,1094,19.1929824561,0.632299769148
124,57,1078,18.9122807018,0.645397676751
125,55,1032,18.7636363636,0.657804921372
126,57,1097,19.2456140351,0.646900519319
127,58,1119,19.2931034483,0.658974736687
128,57,1077,18.8947368421,0.659715812504
129,57,1085,19.0350877193,0.672723129317
130,58,1122,19.3448275862,0.665951226763
131,57,1081,18.9649122807,0.673307897365
132,56,1083,19.3392857143,0.660399356587
133,57,1094,19.1929824561,0.660873268647
134,57,1089,19.1052631579,0.662254227335
135,57,1082,18.9824561404,0.664619145654
136,57,1080,18.9473684211,0.653550806297
137,56,1069,19.0892857143,0.657015670035
138,56,1058,18.8928571429,0.673400354926
139,57,1103,19.350877193,0.673469561739
140,55,1026,18.6545454545,0.683492124332
141,58,1102,19.0,0.680566518493
142,57,1103,19.350877193,0.677965512592
143,57,1098,19.2631578947,0.691044052737
144,58,1102,19.0,0.691757654492
145,57,1076,18.8771929825,0.696909850547
146,57,1069,18.7543859649,0.679564993968
147,57,1096,19.2280701754,0.669546496384
148,58,1106,19.0689655172,0.677154763388
149,56,1079,19.2678571429,0.665496631144
150,56,1035,18.4821428571,0.673130291225
151,56,1063,18.9821428571,0.675870485455
152,57,1100,19.298245614,0.709851191519
153,55,1055,19.1818181818,0.690310748145
154,56,1052,18.7857142857,0.683288453519
155,58,1122,19.3448275862,0.692405121587
156,58,1116,19.2413793103,0.679660501359
157,58,1113,19.1896551724,0.663102675369
158,56,1043,18.625,0.661039831154
