epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,46,-21502,-467.434782609,0.748381093368
2,46,3700,80.4347826087,1.00832836127
3,46,2300,50.0,1.15301570602
4,46,1300,28.2608695652,1.27890050496
5,46,4600,100.0,1.35969632919
6,46,1300,28.2608695652,1.38267549935
7,46,4600,100.0,1.41111164734
8,46,4600,100.0,1.36095832997
9,46,4600,100.0,1.34302981053
10,46,4600,100.0,1.2996361959
11,46,4600,100.0,1.20618278391
12,46,4600,100.0,1.12248646744
13,46,4600,100.0,1.01614858359
14,46,18100,393.47826087,0.916265788199
15,46,18400,400.0,0.847406571084
16,46,4600,100.0,0.755617058687
17,46,4600,100.0,0.692837594021
18,46,34000,739.130434783,0.631637343406
19,46,4600,100.0,0.63424726204
20,46,2500,54.347826087,0.682292229622
21,46,3400,73.9130434783,0.79534014151
22,46,3500,76.0869565217,0.886210384099
23,46,0,0.0,0.884708972806
24,46,0,0.0,0.871879084855
25,46,4600,100.0,0.840924388589
26,46,828,18.0,0.795811858084
27,46,0,0.0,0.731874372596
28,46,4600,100.0,0.68577596182
29,46,4600,100.0,0.649509616494
30,46,1857,40.3695652174,0.671584945517
31,46,705,15.3260869565,0.676623008875
32,46,3761,81.7608695652,0.709615154555
33,46,4552,98.9565217391,0.720809959997
34,46,4600,100.0,0.682197834477
35,46,4670,101.52173913,0.669326288467
36,46,4600,100.0,0.677445141394
37,46,4600,100.0,0.673402716694
38,46,4600,100.0,0.698041153783
39,46,4600,100.0,0.665249939775
40,46,4098,89.0869565217,0.648950903397
41,46,4600,100.0,0.715367897069
42,46,4600,100.0,0.753888467085
43,46,4600,100.0,0.752599581322
44,46,4694,102.043478261,0.7436829266
45,46,1711,37.1956521739,0.706127615501
46,46,9383,203.97826087,0.712284106938
47,46,-6625,-144.02173913,0.687563400837
48,46,4263,92.6739130435,0.666966301254
49,46,2380,51.7391304348,0.669520539818
50,46,4600,100.0,0.6932632853
51,46,1071,23.2826086957,0.671033372199
52,46,4491,97.6304347826,0.671881773854
53,46,4621,100.456521739,0.620550647415
54,46,800,17.3913043478,0.595292727808
55,46,4600,100.0,0.615883552907
56,46,4500,97.8260869565,0.67396057358
57,46,4600,100.0,0.725475569959
58,46,4933,107.239130435,0.775922021763
59,46,0,0.0,0.773742175614
60,46,1406,30.5652173913,0.746760542691
61,46,4600,100.0,0.732790501188
62,46,-4371,-95.0217391304,0.707613361822
63,46,4600,100.0,0.707867828682
64,46,4600,100.0,0.689922038168
65,46,4600,100.0,0.703926330907
66,46,4600,100.0,0.711009839922
67,46,4600,100.0,0.68958162602
68,46,4600,100.0,0.687644655434
69,46,-12365,-268.804347826,0.687278783494
70,46,4600,100.0,0.639812249793
71,46,4638,100.826086957,0.646960460399
72,46,3851,83.7173913043,0.643178117471
73,46,4600,100.0,0.622361099795
74,46,4700,102.173913043,0.642304942757
75,46,0,0.0,0.666595524554
76,46,4300,93.4782608696,0.698989338987
77,46,2099,45.6304347826,0.739733782383
78,46,291,6.32608695652,0.723059214661
79,46,4600,100.0,0.705743407798
80,46,3600,78.2608695652,0.724024363216
81,46,-17067,-371.02173913,0.689098913614
