epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,564,246500,437.056737589,1.8761219092
2,171,332060,1941.87134503,3.29631201655
3,194,325500,1677.83505155,5.15709080095
4,176,246770,1402.10227273,6.54912872162
5,126,281000,2230.15873016,8.02731390582
6,108,320000,2962.96296296,8.68049209737
7,121,404990,3347.02479339,9.80373450338
8,109,345860,3173.02752294,10.5518234918
9,117,403940,3452.47863248,11.0456238689
10,97,422910,4359.89690722,11.0203874841
11,125,448370,3586.96,11.5121658189
12,117,596190,5095.64102564,11.8056733941
13,139,554810,3991.43884892,12.0180964654
14,120,461740,3847.83333333,12.8095181398
15,103,508190,4933.88349515,13.1002758096
16,97,497120,5124.94845361,13.8129802746
17,106,475890,4489.52830189,14.4066340628
18,108,578850,5359.72222222,15.0651542181
19,78,393760,5048.20512821,15.4627401125
20,90,524190,5824.33333333,15.8670497265
21,101,539570,5342.27722772,16.0541632652
22,103,634000,6155.33980583,15.9893778176
23,80,408270,5103.375,15.7076756631
24,103,365030,3543.98058252,15.6121036069
25,95,397550,4184.73684211,15.4135160682
26,119,637430,5356.55462185,15.4734749586
27,127,795670,6265.11811024,15.2305667814
28,127,808590,6366.8503937,15.2133182737
29,110,705960,6417.81818182,15.4050205713
30,79,532920,6745.82278481,15.4080849252
31,129,630010,4883.79844961,15.384454871
32,88,487780,5542.95454545,15.4535888153
33,86,523870,6091.51162791,15.5022324536
34,92,614500,6679.34782609,15.413876689
35,111,626920,5647.92792793,15.2012212029
36,187,716550,3831.81818182,15.0843425294
37,99,644380,6508.88888889,15.0643208629
38,81,545460,6734.07407407,15.1087290111
39,95,560910,5904.31578947,15.3491636938
40,93,544590,5855.80645161,15.1713166843
41,105,652700,6216.19047619,15.2364028388
42,82,445510,5433.04878049,14.8776622106
43,69,540250,7829.71014493,14.5139607295
44,109,639620,5868.0733945,14.759756721
45,109,571320,5241.46788991,14.8086452906
46,114,684430,6003.77192982,14.7141487675
47,90,686760,7630.66666667,14.6011988682
48,104,678350,6522.59615385,14.6852134964
49,119,644120,5412.77310924,14.7566765211
50,104,717590,6899.90384615,14.4567044749
51,75,508740,6783.2,14.4566617327
52,81,441840,5454.81481481,14.3424869241
53,110,824860,7498.72727273,14.5110421218
54,89,553000,6213.48314607,14.4773638112
55,125,738140,5905.12,14.5155306938
56,97,607540,6263.29896907,14.4458915455
57,156,566830,3633.52564103,14.2295511717
58,103,792450,7693.68932039,14.4761575974
59,103,626690,6084.36893204,14.505219821
