epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,222,66400,299.099099099,0.652589852596
2,265,180700,681.886792453,0.910050313557
3,111,271000,2441.44144144,1.18228304182
4,205,334500,1631.70731707,1.58257134181
5,145,273100,1883.44827586,2.02820529979
6,119,574100,4824.3697479,2.4942496451
7,136,787900,5793.38235294,2.73472067118
8,142,670900,4724.64788732,3.48891206579
9,115,1285300,11176.5217391,4.29763906315
10,120,1558300,12985.8333333,5.38264786165
11,107,1750800,16362.6168224,6.21378582872
12,114,1656500,14530.7017544,7.30587455459
13,113,1817000,16079.6460177,8.86668898754
14,95,1796600,18911.5789474,9.90630718045
15,95,2046000,21536.8421053,11.5050034893
16,121,2135400,17647.9338843,11.8046678659
17,108,2237200,20714.8148148,12.733556447
18,104,2166400,20830.7692308,13.298868455
19,110,1802000,16381.8181818,13.8800544702
20,113,1993200,17638.9380531,14.3935854462
21,99,1820900,18392.9292929,14.8941699822
22,99,2456400,24812.1212121,15.338275561
23,102,2884900,28283.3333333,15.7746119304
24,131,2727300,20819.0839695,15.9387282027
25,106,2611800,24639.6226415,16.6386206719
26,80,2264100,28301.25,16.4516034618
27,92,2474000,26891.3043478,16.2491818271
28,103,2334600,22666.0194175,16.6343158351
29,105,2764800,26331.4285714,16.5468225322
30,102,2080300,20395.0980392,17.1574802641
31,121,2680600,22153.7190083,17.2136245657
32,117,2932900,25067.5213675,16.813003796
33,119,3146300,26439.4957983,16.5209771862
34,119,3005300,25254.6218487,16.8160722683
35,51,1189500,23323.5294118,17.0509492247
36,98,2757000,28132.6530612,16.7164637909
37,130,1672400,12864.6153846,16.6892806734
38,132,1371800,10392.4242424,17.0408142573
39,110,2545600,23141.8181818,16.7081581798
40,108,2549500,23606.4814815,16.9237581369
41,105,2902700,27644.7619048,17.1907476927
42,116,3072800,26489.6551724,17.0142938675
43,101,2688300,26616.8316832,17.0930577078
44,124,3260200,26291.9354839,17.7796289219
45,96,2431400,25327.0833333,17.2375053609
46,97,2348700,24213.4020619,17.5393919185
47,94,2604700,27709.5744681,17.1320633996
48,327,881700,2696.33027523,16.9624028526
49,96,2963700,30871.875,16.5247412976
50,106,2810300,26512.2641509,16.8029738388
51,99,2625200,26517.1717172,16.1906963215
52,108,3251200,30103.7037037,16.17879447
53,174,2196100,12621.2643678,16.3921135551
54,129,2768200,21458.9147287,16.4808559289
55,117,2747900,23486.3247863,16.9452857434
56,119,3038700,25535.2941176,16.6226090448
57,103,3227700,31336.8932039,16.7085478956
58,121,2954600,24418.1818182,16.9535244824
59,269,1799600,6689.96282528,17.1091883106
60,94,2683700,28550.0,16.7127332164
61,111,2768900,24945.045045,16.4907806709
62,103,3391400,32926.2135922,16.5904411669
63,115,3157600,27457.3913043,16.5978625409
64,110,3039300,27630.0,16.6955556265
65,114,3195000,28026.3157895,17.0887071951
66,91,3045200,33463.7362637,17.1893063102
67,78,2426200,31105.1282051,16.4648535873
68,12,316500,26375.0,16.4296046608
69,109,3231100,29643.1192661,16.7625348729
70,114,3291900,28876.3157895,16.8318438661
71,112,3299200,29457.1428571,16.9681742707
72,105,3126100,29772.3809524,17.0999132736
73,108,3049300,28234.2592593,17.5014649276
74,107,3132900,29279.4392523,16.8705375736
75,117,3467400,29635.8974359,16.8838506799
76,112,3602800,32167.8571429,17.1306194974
77,110,3620200,32910.9090909,17.2532176243
78,116,3773400,32529.3103448,16.8809967582
79,153,2722800,17796.0784314,17.1107584352
80,106,3362100,31717.9245283,16.877259199
81,66,2031400,30778.7878788,17.3097266965
82,129,3670600,28454.2635659,17.3618090083
83,107,3599300,33638.317757,16.9812274475
84,108,3649900,33795.3703704,16.9947535035
85,109,3160700,28997.2477064,16.896719028
86,101,2929700,29006.9306931,17.2227527909
87,32,1063800,33243.75,16.8383495016
88,114,2524400,22143.8596491,16.6205294227
89,186,2556900,13746.7741935,16.5810824787
90,121,3728300,30812.3966942,16.4908128012
91,95,2935200,30896.8421053,16.5825902916
92,93,2742200,29486.0215054,16.4431021909
93,107,3450200,32244.8598131,17.1354722216
94,122,3760600,30824.5901639,17.3655995434
95,111,3264500,29409.9099099,16.8749877941
96,136,3091500,22731.6176471,16.8155230747
97,99,3617100,36536.3636364,17.0208690996
98,103,3440500,33402.9126214,17.581267499
99,156,2923600,18741.025641,17.223096242
100,110,3745500,34050.0,17.3364250808
101,116,3186100,27466.3793103,16.7707997488
102,97,3609600,37212.371134,16.8154839995
103,101,3715400,36786.1386139,16.7200933504
104,624,98600,158.012820513,16.8972149065
105,61,2228900,36539.3442623,17.0586481167
106,112,4247600,37925.0,17.1065498887
107,100,2547300,25473.0,17.4653449551
108,108,3559700,32960.1851852,17.077186127
109,121,4067300,33614.0495868,16.8379189026
110,134,3511400,26204.4776119,17.0389355197
111,123,3832400,31157.7235772,16.5942508777
112,149,2975700,19971.1409396,16.6376088587
113,110,4182800,38025.4545455,16.7038482142
114,50,1535100,30702.0,16.5447860739
115,116,3220300,27761.2068966,16.7552856727
116,116,3672700,31661.2068966,16.6808204133
117,100,3502300,35023.0,16.8724597344
118,149,2671700,17930.8724832,16.8312151676
119,111,3481900,31368.4684685,17.0165879048
120,167,3136000,18778.4431138,16.9266368023
121,106,3410000,32169.8113208,17.0618283466
122,122,3315100,27172.9508197,17.0892667677
123,107,3274600,30603.7383178,17.4122747174
124,116,3821100,32940.5172414,17.380010399
125,126,3731300,29613.4920635,17.7804782171
126,101,3472100,34377.2277228,17.4199166378
127,105,3814800,36331.4285714,17.3095797199
128,122,4422100,36246.7213115,17.4125391614
129,68,2568500,37772.0588235,17.7791254483
130,119,3978600,33433.6134454,17.6049136173
131,99,3687200,37244.4444444,18.0161138751
132,121,3606400,29804.9586777,17.8897946334
133,106,3961000,37367.9245283,17.9805318408
134,124,3412300,27518.5483871,18.3673724504
135,62,2189800,35319.3548387,18.1088819197
136,112,3735300,33350.8928571,17.8948482494
137,109,4246600,38959.6330275,18.1403483845
138,126,4147500,32916.6666667,18.1321927708
139,112,3589300,32047.3214286,17.4519599412
140,116,4169300,35942.2413793,17.2730683793
141,118,3210200,27205.0847458,17.2156640236
142,93,3233000,34763.4408602,17.480120529
143,117,4060100,34701.7094017,17.9510918047
144,118,4138600,35072.8813559,18.0746500499
145,109,3945600,36198.1651376,18.4890603269
146,148,3388900,22897.972973,18.7728849672
147,129,4117500,31918.6046512,18.6205995247
148,125,4045900,32367.2,18.4376939715
149,111,4288300,38633.3333333,18.5207511301
150,109,4144700,38024.7706422,18.3807049626
151,105,3827100,36448.5714286,18.2410955263
152,113,4220400,37348.6725664,18.0756822931
153,53,1153000,21754.7169811,17.7048210132
154,113,3639700,32209.7345133,18.2569670793
155,107,4286500,40060.7476636,18.0307859508
156,93,476900,5127.95698925,18.3875877809
157,126,4646600,36877.7777778,18.4534670329
158,518,572400,1105.01930502,18.3559906259
159,137,2770500,20222.6277372,17.6184291739
160,100,4018100,40181.0,17.7448232603
161,127,4189400,32987.4015748,17.7132424912
162,100,3982500,39825.0,17.5199454543
163,122,4319100,35402.4590164,17.7436000236
164,95,2754500,28994.7368421,17.9574750548
165,131,3966400,30277.8625954,17.238891561
166,124,4389600,35400.0,17.9051756324
167,107,3839700,35885.046729,18.0963735171
168,122,3692400,30265.5737705,18.0533528929
169,117,4281500,36594.017094,17.5713343727
170,97,3777900,38947.4226804,17.6498004007
171,151,2759100,18272.1854305,17.7519637924
172,89,3855600,43321.3483146,17.4739672187
173,118,3845700,32590.6779661,17.5326673538
174,105,3888700,37035.2380952,17.3345590143
175,147,2774800,18876.1904762,17.5384802991
176,115,4183100,36374.7826087,17.4032468265
177,119,4637600,38971.4285714,17.6435482077
178,98,3954500,40352.0408163,17.7699650569
179,110,3544400,32221.8181818,17.6395236709
180,105,3669400,34946.6666667,17.4164071963
181,113,4321600,38244.2477876,17.8911232984
182,105,3958900,37703.8095238,18.2535151599
183,124,4784800,38587.0967742,17.6193368382
184,114,4684900,41095.6140351,17.930333707
185,107,3617700,33810.2803738,18.6028026572
186,121,4464900,36900.0,18.1971769846
187,117,4472600,38227.3504274,17.7971019058
188,120,4547900,37899.1666667,18.6017054115
189,121,3893500,32177.6859504,17.7182634967
190,144,3911200,27161.1111111,18.1556344823
191,123,4338200,35269.9186992,17.9249858141
192,104,3869800,37209.6153846,17.7539189612
193,123,4535400,36873.1707317,17.3215151856
194,126,4096600,32512.6984127,17.7597151444
195,110,4124500,37495.4545455,17.8242531771
196,111,3622300,32633.3333333,17.5428464541
197,114,4705600,41277.1929825,17.1850181825
198,113,4167100,36876.9911504,18.1153579347
199,114,4136800,36287.7192982,18.304241866
