epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,50,143,2.86,0.900213590171
2,54,146,2.7037037037,1.12659931287
3,22,314,14.2727272727,1.42020724939
4,44,205,4.65909090909,1.6225028999
5,37,49,1.32432432432,1.73157045131
6,29,277,9.55172413793,1.84080142413
7,53,116,2.18867924528,1.82961202579
8,46,182,3.95652173913,1.82749014542
9,41,149,3.63414634146,1.87643828465
10,24,358,14.9166666667,1.90741722788
11,25,262,10.48,1.89327343216
12,22,234,10.6363636364,1.91851746329
13,21,324,15.4285714286,1.86761197915
14,32,88,2.75,1.78417323294
15,19,380,20.0,1.78431177809
16,18,271,15.0555555556,1.76979971176
17,23,297,12.9130434783,1.75989858297
18,19,271,14.2631578947,1.77023624883
19,17,224,13.1764705882,1.68665631182
20,23,397,17.2608695652,1.67393687258
21,19,312,16.4210526316,1.59414457075
22,20,326,16.3,1.54513738601
23,20,378,18.9,1.52591683163
24,20,459,22.95,1.50328159336
25,23,422,18.347826087,1.49890065376
26,22,459,20.8636363636,1.53389759115
27,25,536,21.44,1.50769889297
28,21,221,10.5238095238,1.49276343556
29,18,292,16.2222222222,1.48143624264
30,17,497,29.2352941176,1.46095970708
31,20,446,22.3,1.45799534364
32,17,512,30.1176470588,1.38335371969
33,20,432,21.6,1.39943315535
34,18,35,1.94444444444,1.41226654302
35,18,279,15.5,1.39279378331
36,21,393,18.7142857143,1.53337154349
37,21,540,25.7142857143,1.60905440336
38,23,357,15.5217391304,1.59837285964
39,15,347,23.1333333333,1.60082488053
40,19,586,30.8421052632,1.64961827628
41,21,600,28.5714285714,1.72723071324
42,20,587,29.35,1.75238802447
43,18,487,27.0555555556,1.67457340783
44,16,415,25.9375,1.68804662079
45,19,371,19.5263157895,1.67817013346
46,18,411,22.8333333333,1.7120744589
47,17,501,29.4705882353,1.67911461986
48,24,491,20.4583333333,1.6406369531
49,18,456,25.3333333333,1.67099635688
50,18,488,27.1111111111,1.68911524506
51,21,532,25.3333333333,1.68267056963
52,19,502,26.4210526316,1.61695604905
53,16,443,27.6875,1.65674516557
54,20,379,18.95,1.59505478812
55,15,483,32.2,1.57968145264
56,8,104,13.0,1.55782282769
57,20,406,20.3,1.66221285779
58,20,675,33.75,1.69758417825
59,17,595,35.0,1.72384527193
60,16,297,18.5625,1.78476067229
61,17,557,32.7647058824,1.7588017874
62,22,169,7.68181818182,1.77705349602
63,9,142,15.7777777778,1.80894391842
64,17,492,28.9411764706,1.79852789341
65,15,495,33.0,1.85435893117
66,20,685,34.25,1.85826255089
67,19,484,25.4736842105,1.79855982764
68,19,602,31.6842105263,1.86305518107
69,16,534,33.375,1.84539865719
70,16,573,35.8125,1.8832600701
71,16,468,29.25,1.85253906982
72,15,525,35.0,1.84267472396
73,26,445,17.1153846154,1.83882390071
74,18,556,30.8888888889,1.84979280313
75,17,506,29.7647058824,1.8533948328
76,18,493,27.3888888889,1.82975557869
77,23,158,6.86956521739,1.79870886426
78,18,609,33.8333333333,1.75195856119
79,17,363,21.3529411765,1.78370933756
80,15,453,30.2,1.80214705966
81,23,680,29.5652173913,1.8208259394
82,15,266,17.7333333333,1.78605112685
83,17,566,33.2941176471,1.78578683939
84,20,632,31.6,1.78172458772
85,15,454,30.2666666667,1.75566645207
86,16,502,31.375,1.80339963892
87,15,484,32.2666666667,1.79263170047
88,18,523,29.0555555556,1.82232882166
89,28,460,16.4285714286,1.79072935045
90,18,470,26.1111111111,1.82783163493
91,20,610,30.5,1.84268138174
92,15,483,32.2,1.8640019596
93,16,363,22.6875,1.91333128005
94,16,427,26.6875,1.9219872394
95,18,420,23.3333333333,1.87895521518
96,19,573,30.1578947368,1.87816289041
97,24,485,20.2083333333,1.83874263745
98,14,564,40.2857142857,1.86477512706
99,16,610,38.125,1.84579757137
100,17,517,30.4117647059,1.83816521641
101,20,511,25.55,1.84315045062
102,15,456,30.4,1.83438100267
103,20,700,35.0,1.8761526747
104,16,463,28.9375,1.87905098855
105,21,563,26.8095238095,1.85043814177
106,19,674,35.4736842105,1.90379736204
107,21,487,23.1904761905,1.88103923773
108,20,422,21.1,1.8824544644
109,21,696,33.1428571429,1.81377583288
110,13,144,11.0769230769,1.7918147816
111,19,669,35.2105263158,1.7734374403
112,19,523,27.5263157895,1.7813443871
113,16,590,36.875,1.82045739736
114,17,500,29.4117647059,1.82681837713
115,18,614,34.1111111111,1.81419040054
116,18,635,35.2777777778,1.80139471134
117,15,273,18.2,1.82686624611
118,21,590,28.0952380952,1.86500955336
119,15,467,31.1333333333,1.91262090562
120,17,469,27.5882352941,1.92472242359
121,17,359,21.1176470588,1.89008803852
122,21,568,27.0476190476,1.88366532683
123,22,439,19.9545454545,1.86064347995
124,19,540,28.4210526316,1.89559280453
125,17,486,28.5882352941,1.9146212209
126,20,464,23.2,1.89927748006
127,16,434,27.125,1.89980247352
128,19,282,14.8421052632,1.8724810986
129,15,467,31.1333333333,1.8667409626
130,17,449,26.4117647059,1.84426197797
131,17,527,31.0,1.88879238354
132,16,555,34.6875,1.92175927458
