epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,157,28880,183.949044586,1.56687827485
2,124,37500,302.419354839,3.5833708014
3,99,7120,71.9191919192,4.68638678341
4,124,4240,34.1935483871,7.1152809092
5,92,40980,445.434782609,7.71287143979
6,120,31640,263.666666667,8.27833156589
7,134,11780,87.9104477612,8.85183283076
8,149,23440,157.315436242,9.25278382463
9,146,24020,164.520547945,9.34481768848
10,106,38840,366.41509434,9.37286269979
11,92,38000,413.043478261,9.63600253668
12,71,42160,593.802816901,9.61759483861
13,174,27720,159.310344828,9.54880891993
14,114,39580,347.192982456,9.01303623609
15,144,27860,193.472222222,8.708406647
16,78,43720,560.512820513,8.2046301909
17,88,48020,545.681818182,7.94527890211
18,72,54920,762.777777778,7.70066298557
19,111,24380,219.63963964,7.59054669357
20,68,66820,982.647058824,7.23779083286
21,115,39440,342.956521739,7.40562988231
22,67,89160,1330.74626866,7.43004785202
23,69,97040,1406.37681159,7.69856716444
24,86,58900,684.88372093,7.63868017469
25,72,102540,1424.16666667,7.7715764106
26,54,107140,1984.07407407,7.99216810563
27,66,92360,1399.39393939,8.18719887119
28,81,87520,1080.49382716,8.43818050533
29,62,94040,1516.77419355,8.74480724394
30,82,63220,770.975609756,8.96883316753
31,78,82740,1060.76923077,9.29591773007
32,53,143200,2701.88679245,9.48372285436
33,72,91520,1271.11111111,9.59030399864
34,59,154480,2618.30508475,9.99473759534
35,114,4040,35.4385964912,10.2565556355
36,64,134480,2101.25,10.4920654158
37,57,144330,2532.10526316,10.4149619999
38,72,85340,1185.27777778,10.354832663
39,70,125670,1795.28571429,10.5686195118
40,67,103120,1539.10447761,10.5123512676
41,50,158440,3168.8,10.8252421666
42,58,135980,2344.48275862,10.8997860073
43,49,140410,2865.51020408,10.9444950643
44,48,177130,3690.20833333,11.109511038
45,76,107630,1416.18421053,11.1268225202
46,67,117160,1748.65671642,10.9290398039
47,89,92020,1033.93258427,11.0206860423
48,76,88700,1167.10526316,11.0540496258
49,65,109020,1677.23076923,11.039963118
50,78,108880,1395.8974359,11.065325283
51,75,92680,1235.73333333,11.1027559558
52,73,106880,1464.10958904,11.1584007403
53,55,171270,3114.0,11.1387537833
54,77,87120,1131.42857143,11.088976476
55,61,119790,1963.7704918,10.846288754
56,60,146950,2449.16666667,10.8732592091
57,76,91240,1200.52631579,11.015283894
58,69,97510,1413.1884058,10.8210831104
59,137,71920,524.96350365,10.6497901565
60,48,147930,3081.875,10.5425247344
61,51,156720,3072.94117647,10.3144496538
62,52,181090,3482.5,10.3707690052
63,103,46580,452.233009709,10.4321601752
64,59,120350,2039.83050847,10.527785919
65,87,92360,1061.6091954,10.5566395673
66,49,134420,2743.26530612,10.7439669873
67,107,64630,604.018691589,11.0882659063
68,102,92300,904.901960784,10.8582652806
69,54,155060,2871.48148148,10.6223174075
70,57,124490,2184.03508772,10.8824907844
71,51,162170,3179.80392157,10.9594150705
72,64,129450,2022.65625,10.7495767073
73,50,180940,3618.8,10.5143580695
74,51,198920,3900.39215686,10.5724562132
75,61,105850,1735.24590164,10.970534584
