epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,218,29735,136.399082569,1.23119604742
2,204,46290,226.911764706,2.0354222448
3,244,44815,183.668032787,2.67325043797
4,242,35870,148.223140496,3.11080551557
5,188,53885,286.622340426,3.74410706083
6,152,38350,252.302631579,4.3030053897
7,148,73335,495.506756757,4.63421751885
8,173,73440,424.50867052,5.37120695706
9,146,74580,510.821917808,5.75913102504
10,124,64710,521.85483871,6.09983413137
11,133,79365,596.729323308,6.37638190698
12,139,40000,287.769784173,6.93638778344
13,138,83095,602.137681159,7.34051799404
14,137,78320,571.678832117,7.17897966251
15,114,71095,623.640350877,7.02160448998
16,124,87005,701.653225806,7.12189169772
17,117,80110,684.700854701,7.1358780361
18,125,83490,667.92,7.45968060739
19,125,84120,672.96,7.54696260631
20,130,81265,625.115384615,7.81820072018
21,121,74625,616.73553719,7.8637115407
22,114,90725,795.833333333,7.75378933094
23,118,77360,655.593220339,7.78610272102
24,126,90905,721.468253968,7.73821698729
25,128,90465,706.7578125,7.85103295442
26,131,80725,616.221374046,7.91858764485
27,138,79375,575.18115942,7.85602581944
28,136,52065,382.830882353,7.85265980061
29,120,87075,725.625,7.94234360851
30,111,80680,726.846846847,7.99927510884
31,110,89260,811.454545455,7.90642754409
32,133,91425,687.406015038,8.1013992475
33,113,85515,756.769911504,8.07726134337
34,133,83185,625.45112782,8.23557874031
35,115,47300,411.304347826,8.25433704812
36,113,81410,720.442477876,7.97057237312
37,123,86175,700.609756098,8.04523245998
38,118,90160,764.06779661,7.94508280765
39,108,83735,775.324074074,8.0020415701
