epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,2,-48,-24.0,0.286834830344
2,82,-1968,-24.0,0.23503204491
3,81,-1943,-23.987654321,0.2352155542
4,81,-1943,-23.987654321,0.349086927846
5,70,-1665,-23.7857142857,0.499624801949
6,46,-1104,-24.0,0.556735849734
7,43,-1032,-24.0,0.792110051345
8,3,-72,-24.0,0.775163201876
9,1,-8,-8.0,0.706658284441
10,1,-8,-8.0,0.667730845064
11,1,-8,-8.0,0.525899305157
12,1,-10,-10.0,0.406408799812
13,1,-8,-8.0,0.279236773364
14,1,-9,-9.0,0.197055213153
15,1,-8,-8.0,0.0392644641921
16,1,-24,-24.0,-0.158113087714
17,1,-2,-2.0,-0.124413309991
18,2,-48,-24.0,-0.127855766006
19,1,-24,-24.0,-0.263639880717
20,1,-24,-24.0,-0.186524658874
21,1,-8,-8.0,-0.281380919516
22,1,-8,-8.0,-0.241151742376
23,1,-24,-24.0,-0.295898129232
24,1,-16,-16.0,-0.305813219547
25,1,-24,-24.0,-0.332223641686
26,1,-1,-1.0,-0.334174004719
27,1,0,0.0,-0.312766069435
28,1,0,0.0,-0.304510998167
29,4,-96,-24.0,-0.29256041985
30,1,0,0.0,-0.360124429204
31,1,-2,-2.0,-0.399690975584
32,1,0,0.0,-0.36832033243
33,1,-10,-10.0,-0.352067372538
34,1,-8,-8.0,-0.361971743256
35,1,0,0.0,-0.366652715169
36,2,-48,-24.0,-0.35415547464
37,1,0,0.0,-0.353384268135
38,1,-24,-24.0,-0.382136206962
39,4,-96,-24.0,-0.265744251199
40,1,-9,-9.0,-0.217218229212
41,3,-72,-24.0,-0.261754072867
42,1,-24,-24.0,-0.193578655086
43,1,0,0.0,-0.205642786287
44,1,-2,-2.0,-0.252501048036
45,1,-18,-18.0,-0.273443258815
46,1,-1,-1.0,-0.205397291966
47,1,-8,-8.0,-0.319087397382
48,1,-24,-24.0,-0.360037939437
49,1,-1,-1.0,-0.357006028816
50,1,-23,-23.0,-0.278857546039
51,17,-404,-23.7647058824,-0.252794003934
52,1,-11,-11.0,-0.263461744934
53,1,0,0.0,-0.272908682637
54,1,-2,-2.0,-0.24223235365
55,1,-1,-1.0,-0.194221716896
56,1,-24,-24.0,-0.220377388857
57,1,0,0.0,-0.12402436018
58,2,-47,-23.5,-0.176748657189
59,1,0,0.0,-0.158269431219
60,1,-24,-24.0,-0.208052580617
61,2,-47,-23.5,-0.180289493836
62,1,0,0.0,-0.0737181571499
63,1,0,0.0,-0.131497822627
64,1,-24,-24.0,-0.085037785098
65,1,-16,-16.0,-0.146770343482
66,3,-72,-24.0,-0.111167238504
67,20,-467,-23.35,-0.119593279772
68,1,0,0.0,-0.0298742624
69,1,-1,-1.0,-0.0129801899567
70,1,-1,-1.0,-0.0389416263625
71,1,0,0.0,-0.151866980456
72,1,0,0.0,-0.125040409714
73,1,-8,-8.0,-0.139264335111
74,1,-2,-2.0,-0.0282984269038
75,1,-1,-1.0,0.0322136173397
76,1,-1,-1.0,0.118973586485
77,1,0,0.0,0.169671157934
78,29,-692,-23.8620689655,0.0751476127282
79,1,-1,-1.0,-0.0419379923865
80,4,-95,-23.75,0.0202186465636
81,1,-2,-2.0,0.0519191865996
82,1,-23,-23.0,0.0478870056942
83,3,-72,-24.0,0.0912231535837
84,27,-622,-23.037037037,0.154902836233
85,1,-2,-2.0,0.0630568293482
86,1,-3,-3.0,0.00180906224996
87,1,-22,-22.0,0.00872083030641
88,1,0,0.0,0.0463877733797
89,1,-11,-11.0,0.0318337784708
90,27,-631,-23.3703703704,0.113987322524
91,16,-373,-23.3125,0.0186664097011
92,1,0,0.0,0.0698485511914
93,1,0,0.0,0.036513398774
94,1,-1,-1.0,0.0370207737759
95,1,-1,-1.0,0.0328650183976
96,1,0,0.0,0.0742008407786
97,1,-1,-1.0,0.123558219038
98,1,-23,-23.0,0.114842163064
99,23,-518,-22.5217391304,0.114215262793
100,30,-698,-23.2666666667,0.129698168673
101,13,-310,-23.8461538462,0.0387274474651
102,1,-1,-1.0,0.118605958596
103,1,-8,-8.0,0.0640684861317
104,1,0,0.0,0.0859767371416
105,1,0,0.0,0.0702658762038
106,1,-7,-7.0,0.0726783094183
107,10,-237,-23.7,0.00423112358898
108,5,-118,-23.6,0.0414361819252
109,1,-1,-1.0,0.0171882300451
110,1,-1,-1.0,0.0590871675313
111,1,-1,-1.0,0.0346081961691
112,18,-430,-23.8888888889,0.0866907755658
113,1,-1,-1.0,0.0311442748085
114,1,0,0.0,0.0240619342774
115,1,0,0.0,0.0202108934149
116,1,0,0.0,0.0321373799443
117,1,-2,-2.0,-0.0048782659322
118,1,0,0.0,-0.0291523808986
119,1,0,0.0,0.00842745825648
120,1,-9,-9.0,0.00965163368732
121,2,-48,-24.0,0.0648644654825
122,3,-70,-23.3333333333,0.0570099284872
123,1,-10,-10.0,-0.0253459888324
124,1,-17,-17.0,-0.011277895309
125,1,-1,-1.0,0.00777553088963
