epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,111,89400,805.405405405,1.33687829414
2,78,54600,700.0,1.74298077814
3,81,179600,2217.28395062,2.02469367395
4,83,234800,2828.91566265,1.97517171556
5,89,241200,2710.11235955,2.005719446
6,74,238400,3221.62162162,2.03394809742
7,59,240400,4074.57627119,1.97584575082
8,75,50800,677.333333333,1.95844478408
9,64,209200,3268.75,2.00590950878
10,62,136400,2200.0,1.85469249601
11,71,251300,3539.43661972,1.79821617297
12,58,112900,1946.55172414,1.74753213999
13,69,190700,2763.76811594,1.70550202287
14,72,146300,2031.94444444,1.71110587665
15,65,138500,2130.76923077,1.70324672298
16,71,92800,1307.04225352,1.668556766
17,66,152300,2307.57575758,1.71517280832
18,97,74300,765.979381443,1.75784718786
19,62,200900,3240.32258065,1.67505983618
20,78,104300,1337.17948718,1.70823193213
21,105,95800,912.380952381,1.7412005487
22,113,80200,709.734513274,1.74466622449
23,86,64300,747.674418605,1.70348480377
24,102,77100,755.882352941,1.79943644796
25,60,230700,3845.0,1.84187272268
26,95,61500,647.368421053,1.93277480246
27,93,68400,735.483870968,1.89834232477
28,105,68400,651.428571429,2.02429283479
29,52,213200,4100.0,1.91020971118
30,58,108800,1875.86206897,2.01239446973
31,49,222900,4548.97959184,2.0624744812
32,43,195700,4551.1627907,2.01556551757
33,74,120600,1629.72972973,2.02656531518
34,53,107400,2026.41509434,2.01997701686
35,61,50500,827.868852459,1.98053678205
36,48,206900,4310.41666667,2.07251159347
37,58,168200,2900.0,2.07001057358
38,63,105700,1677.77777778,2.15374220567
39,51,184600,3619.60784314,2.11340836904
40,49,150200,3065.30612245,2.08986380778
41,52,206600,3973.07692308,2.025002838
42,58,217400,3748.27586207,1.95829170198
43,50,203200,4064.0,1.94071074351
44,49,133200,2718.36734694,1.93690609584
45,50,72200,1444.0,1.99759281161
46,46,129400,2813.04347826,1.9839155139
47,43,204500,4755.81395349,2.03865210643
48,67,64900,968.656716418,2.10907935767
49,42,101400,2414.28571429,2.0432188668
50,40,78800,1970.0,2.02137809408
51,52,69500,1336.53846154,1.99090121479
52,47,197200,4195.74468085,2.00959106816
53,38,125900,3313.15789474,2.0049837441
54,56,56700,1012.5,2.05951035925
55,80,91700,1146.25,2.05760233442
56,75,80000,1066.66666667,2.03053978467
57,44,71000,1613.63636364,1.96598138972
58,55,56200,1021.81818182,2.00079786849
59,64,160400,2506.25,1.99044697595
60,52,93600,1800.0,1.97979398316
61,49,118900,2426.53061224,2.04287003839
62,46,147000,3195.65217391,2.05724304998
63,45,178300,3962.22222222,2.18587595494
64,42,90200,2147.61904762,2.14335969627
65,52,45800,880.769230769,2.20443065163
66,63,223700,3550.79365079,2.21390749429
67,47,180500,3840.42553191,2.17018997665
68,56,129700,2316.07142857,2.20412982006
69,49,181500,3704.08163265,2.17811470089
70,45,245300,5451.11111111,2.17330344364
71,71,123900,1745.07042254,2.23588784683
72,45,141700,3148.88888889,2.16975286241
73,41,184700,4504.87804878,2.22826634708
74,48,207600,4325.0,2.14065406136
75,40,169700,4242.5,2.1718775558
76,44,128000,2909.09090909,2.1752750977
77,56,104100,1858.92857143,2.12102072346
78,60,52600,876.666666667,2.2208342936
79,53,192200,3626.41509434,2.22927788804
80,48,183600,3825.0,2.25163744548
81,53,127400,2403.77358491,2.19707236462
82,46,179500,3902.17391304,2.18978694676
83,46,136700,2971.73913043,2.09961042803
84,53,36800,694.339622642,2.12951033711
85,52,255100,4905.76923077,2.21783699472
86,57,176900,3103.50877193,2.22042125762
87,52,127700,2455.76923077,2.13919306634
88,61,122600,2009.83606557,2.12921513282
89,64,198900,3107.8125,2.11195840308
90,42,175500,4178.57142857,2.18557776592
91,49,205000,4183.67346939,2.10895258856
92,49,235600,4808.16326531,2.13378590176
93,43,96900,2253.48837209,2.10414753377
94,44,204200,4640.90909091,2.16138964043
95,78,109600,1405.12820513,2.2208816645
96,76,60700,798.684210526,2.16133043721
97,65,76000,1169.23076923,2.14609814584
98,51,145500,2852.94117647,2.14510367457
99,68,85000,1250.0,2.17984952595
100,62,83900,1353.22580645,2.34928262911
101,53,246300,4647.16981132,2.30198289366
102,47,256800,5463.82978723,2.30552753001
103,52,200000,3846.15384615,2.24877907972
104,57,107200,1880.70175439,2.19563195457
105,53,216500,4084.90566038,2.16478740859
106,52,100100,1925.0,2.06312046755
107,76,232000,3052.63157895,2.03103915736
108,74,60700,820.27027027,2.07354651922
109,58,199800,3444.82758621,2.10039356348
110,56,177400,3167.85714286,2.04033401215
111,62,214700,3462.90322581,2.09261970072
112,71,147900,2083.09859155,2.04528513981
113,55,279400,5080.0,2.03206175085
114,59,183800,3115.25423729,2.09136705043
115,85,87700,1031.76470588,2.15419892026
116,71,252500,3556.33802817,2.15884103318
117,52,213800,4111.53846154,2.1024882721
118,60,149100,2485.0,2.03914330148
119,60,226600,3776.66666667,1.97095724473
120,50,202900,4058.0,2.01359581905
121,51,227200,4454.90196078,2.03399206313
122,72,48800,677.777777778,2.16530831233
123,59,254700,4316.94915254,2.21885690876
124,63,289000,4587.3015873,2.21578260673
