epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,308,64050,207.954545455,1.57707834369
2,312,407080,1304.74358974,2.50940787333
3,177,365720,2066.21468927,3.14193442471
4,113,264430,2340.08849558,3.82674783848
5,109,433470,3976.78899083,4.55374028563
6,93,370660,3985.59139785,5.58511407167
7,59,349350,5921.18644068,6.43379122436
8,137,778220,5680.4379562,6.97961018905
9,80,441080,5513.5,7.59841702081
10,132,876750,6642.04545455,8.11924478754
11,85,421020,4953.17647059,8.42838804379
12,106,243510,2297.26415094,8.80517510049
13,97,486020,5010.51546392,8.79024441052
14,100,432290,4322.9,8.55039565295
15,164,660130,4025.18292683,8.75635392547
16,125,845330,6762.64,8.43442784823
17,84,259640,3090.95238095,8.88855357844
18,151,187820,1243.8410596,8.70056036895
19,110,147080,1337.09090909,8.95993664805
20,66,529010,8015.3030303,8.88701131206
21,202,611200,3025.74257426,9.16969892805
22,98,210940,2152.44897959,9.08524129778
23,207,304220,1469.66183575,9.3684703669
24,91,378680,4161.31868132,9.47193480697
25,82,435360,5309.26829268,9.55860917663
26,98,215350,2197.44897959,9.66055206176
27,123,883820,7185.52845528,9.72836845189
28,91,814940,8955.38461538,10.0088217048
29,74,643150,8691.21621622,10.1418930374
30,139,178290,1282.6618705,10.0152668156
31,117,552830,4725.04273504,9.83044924231
32,77,425330,5523.76623377,9.95607015152
33,92,675190,7339.02173913,10.0462561594
34,71,660390,9301.26760563,9.89967776712
35,74,581500,7858.10810811,10.2684980011
36,88,432520,4915.0,10.0534332143
37,309,226760,733.851132686,9.8760141531
38,68,267170,3928.97058824,9.78729279872
39,201,497270,2473.9800995,9.98894746788
40,236,217530,921.737288136,10.1089114144
41,96,282090,2938.4375,9.83063763224
42,93,899250,9669.35483871,10.2253865815
43,74,504090,6812.02702703,10.3487495791
44,118,409510,3470.42372881,10.1228047451
45,97,542130,5588.96907216,9.918349187
46,116,362360,3123.79310345,9.81793942532
47,110,198470,1804.27272727,9.83022630466
48,88,455320,5174.09090909,10.0636533216
49,78,455720,5842.56410256,9.94576102227
50,93,238940,2569.24731183,9.93998441977
51,256,302510,1181.6796875,9.98238338491
52,167,659780,3950.77844311,9.86441317178
53,139,765460,5506.90647482,9.38061105184
54,73,667310,9141.23287671,10.1091473937
55,281,308960,1099.50177936,10.3632975758
56,50,494870,9897.4,10.1157256449
57,129,890590,6903.79844961,9.76321158981
58,76,707630,9310.92105263,9.2296932178
59,68,494420,7270.88235294,9.22574684482
60,97,610660,6295.46391753,9.50595400836
61,80,583070,7288.375,9.46209880859
62,108,229760,2127.40740741,9.5839222303
63,85,716190,8425.76470588,9.79841587309
64,140,609840,4356.0,9.81037484679
65,64,680900,10639.0625,9.85263836779
66,74,490440,6627.56756757,9.68628309192
67,136,424310,3119.92647059,9.63196027853
68,210,609870,2904.14285714,9.32968910623
69,62,628500,10137.0967742,9.23780919258
70,78,418310,5362.94871795,9.19086530007
71,85,414930,4881.52941176,9.13761392109
72,119,837740,7039.83193277,9.20470421895
73,133,808760,6080.90225564,8.95030522708
74,118,952850,8075.0,8.85568991579
75,82,515980,6292.43902439,8.73427581619
76,116,917830,7912.32758621,9.06231474575
77,96,670780,6987.29166667,8.84622026693
78,142,631610,4447.95774648,8.74937631406
79,99,735920,7433.53535354,8.58717727266
80,59,333380,5650.50847458,8.7033767936
81,119,417370,3507.31092437,8.38753063235
82,92,610180,6632.39130435,8.59245849896
83,151,478000,3165.56291391,8.45734478649
84,129,463100,3589.92248062,8.31606078561
85,89,701740,7884.71910112,8.69103647817
86,102,524770,5144.80392157,8.93120250951
87,156,304250,1950.32051282,8.87689771719
88,236,173940,737.033898305,8.60119118214
89,88,287610,3268.29545455,8.35310431313
90,262,102000,389.312977099,8.1687842859
91,130,808060,6215.84615385,8.46618858319
92,88,527220,5991.13636364,8.27771238476
93,130,595500,4580.76923077,8.18554081548
94,99,931600,9410.1010101,8.11323183935
95,100,438920,4389.2,7.86676820096
96,117,875950,7486.75213675,8.01271234475
97,76,418220,5502.89473684,8.20120008901
98,266,108380,407.443609023,8.26163982589
99,112,690850,6168.30357143,8.42397030666
100,122,822460,6741.47540984,7.79142258655
101,151,700960,4642.1192053,7.8454652388
102,116,273860,2360.86206897,7.86273555312
103,174,663920,3815.63218391,7.74655800432
104,174,297590,1710.28735632,7.54880640361
105,118,206250,1747.88135593,7.97763042584
106,107,484280,4525.98130841,7.7166411924
107,114,887860,7788.24561404,7.63738899227
108,137,215140,1570.3649635,7.89671713032
109,291,51730,177.766323024,8.04199492734
110,71,397470,5598.16901408,8.09881447878
111,165,312030,1891.09090909,7.87830176502
112,109,666560,6115.2293578,8.04930234246
113,97,506540,5222.06185567,7.87457767844
114,190,676610,3561.10526316,8.09757396132
115,156,235380,1508.84615385,7.97123887911
116,165,652200,3952.72727273,7.95895452142
117,90,281570,3128.55555556,7.88213895898
118,100,416970,4169.7,7.91845703166
119,135,699380,5180.59259259,7.47109510005
120,130,380660,2928.15384615,7.34008904234
121,127,350490,2759.76377953,7.15423510436
122,188,690910,3675.05319149,7.32160783123
123,254,233060,917.559055118,7.37556949686
124,144,823090,5715.90277778,7.20909465589
