epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,6,107400,17900.0,1.05852370441
2,57,487873,8559.1754386,1.88212523602
3,2,20644,10322.0,2.50790361203
4,61,866732,14208.7213115,3.14565389406
5,74,530529,7169.31081081,3.51087974727
6,53,930905,17564.245283,7.46347349629
7,65,834307,12835.4923077,8.45235762641
8,55,528111,9602.01818182,9.11053972736
9,1,8606,8606.0,9.86551262856
10,45,981161,21803.5777778,10.4100149515
11,1,1,1.0,10.4470379582
12,6,183352,30558.6666667,10.7282673413
13,45,889052,19756.7111111,10.4846987422
14,22,2390183,108644.681818,10.7286991069
15,19,34265,1803.42105263,10.8774818751
16,24,1798748,74947.8333333,11.2020203477
17,37,1272000,34378.3783784,11.5144767718
18,30,1336475,44549.1666667,12.0593034844
19,29,1189367,41012.6551724,12.0866103165
20,5,51571,10314.2,12.7017313778
21,2,25840,12920.0,12.7171568842
22,3,139299,46433.0,13.1754252523
23,11,287574,26143.0909091,13.2298912498
24,24,3062941,127622.541667,13.7714081272
25,53,979665,18484.245283,14.0889010581
26,2,12807,6403.5,14.2516266279
27,1,0,0.0,13.6276144612
28,21,108723,5177.28571429,12.3203538433
29,73,360418,4937.23287671,11.0743802708
30,49,1552247,31678.5102041,10.2250818565
31,1,100,100.0,9.76678071529
32,2,48265,24132.5,12.6087789798
33,107,569849,5325.69158879,13.1374344978
34,37,53850,1455.40540541,13.57989411
35,37,2311375,62469.5945946,13.6130423611
36,100,883060,8830.6,13.7811502293
37,1,601,601.0,13.7863380612
38,2,886074,443037.0,14.4842285904
39,47,1401236,29813.5319149,14.4305810657
40,19,3325586,175030.842105,14.2381921902
41,1,1,1.0,14.8308524154
42,4,9115,2278.75,14.7960313036
43,4,36313,9078.25,14.9528721975
44,55,914538,16627.9636364,15.0411707675
45,10,73527,7352.7,15.057307058
46,18,1158432,64357.3333333,15.225563693
47,4,1406180,351545.0,15.1149967515
48,5,181841,36368.2,14.9588882747
49,1,0,0.0,15.2310779163
50,91,618186,6793.25274725,15.1456185585
51,2,720773,360386.5,15.419347664
52,1,36608,36608.0,15.039556053
53,12,109225,9102.08333333,15.5154280216
54,179,514976,2876.96089385,15.5918523642
55,179,29914,167.117318436,15.710950873
56,22,197247,8965.77272727,15.918173638
57,2,689872,344936.0,15.7860983056
58,1,700,700.0,15.703018737
59,34,170864,5025.41176471,15.745625976
60,26,1872785,72030.1923077,15.8731820941
61,4,131579,32894.75,16.2452942196
62,8,822874,102859.25,15.9347056592
63,32,1670430,52200.9375,16.1640598802
64,4,86825,21706.25,16.1940312784
65,8,1165223,145652.875,16.1364853225
66,1,90321,90321.0,16.0583124656
67,145,522913,3606.29655172,15.7089140344
68,3,135738,45246.0,16.8148986998
69,2,438870,219435.0,16.3855653679
70,8,791996,98999.5,16.0319034232
71,13,348385,26798.8461538,16.0974672869
72,2,483753,241876.5,16.4725708273
73,1,46519,46519.0,15.8095384488
74,81,1356182,16742.9876543,14.9824787185
75,6,1866172,311028.666667,13.7818176416
76,32,2907003,90843.84375,12.7010691234
77,1,41615,41615.0,12.3212576723
78,14,2826130,201866.428571,14.7586133566
79,2,91520,45760.0,15.1722341722
80,32,2921832,91307.25,16.2099572223
81,1,1002,1002.0,16.8754885653
82,9,1066370,118485.555556,16.5759745812
83,10,1007141,100714.1,16.0894487512
84,27,4806040,178001.481481,16.1502776614
85,7,1223689,174812.714286,16.5811606702
86,10,361581,36158.1,16.7665981284
87,2,103244,51622.0,16.5727341804
88,46,3033559,65946.9347826,16.5397617802
89,25,3556272,142250.88,16.3649512175
90,34,2524565,74251.9117647,16.7240506276
91,7,1086613,155230.428571,16.6164234737
92,1,1101,1101.0,16.739467366
93,1,1601,1601.0,16.628979421
94,3,127629,42543.0,16.5391792127
95,1,700,700.0,16.2872334737
96,55,1981190,36021.6363636,16.180100629
97,24,1498078,62419.9166667,15.8379136589
98,1,403,403.0,15.6167919505
99,1,6404,6404.0,15.2375125527
100,3,6912,2304.0,15.4474727169
101,1,23507,23507.0,15.6403770074
102,46,3508625,76274.4565217,16.200587993
103,8,1712027,214003.375,15.7125504425
104,9,410867,45651.8888889,15.595132263
105,1,700,700.0,15.6492075294
106,5,1539616,307923.2,16.0094494897
107,1,16708,16708.0,16.0932023185
108,16,3917261,244828.8125,16.1055920824
109,1,2507,2507.0,15.6283283812
110,1,501,501.0,15.6367723027
111,1,200,200.0,14.9513658866
112,32,1502983,46968.21875,14.8775994989
113,1,200,200.0,14.7780478379
114,1,600,600.0,14.4350379479
115,1,0,0.0,14.3418181792
116,84,2306182,27454.547619,14.4264421809
117,1,200,200.0,14.824091281
118,2,22617,11308.5,14.8545674434
119,1,0,0.0,14.9111280045
120,10,1015351,101535.1,14.6537262201
121,52,2362425,45431.25,14.7135581458
122,13,1456879,112067.615385,14.8616870973
123,4,282958,70739.5,14.796937905
124,1,44104,44104.0,14.8551607823
125,28,4613527,164768.821429,15.5312246591
