epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,39,16300,417.948717949,1.11108442105
2,135,21700,160.740740741,1.28770873304
3,96,47500,494.791666667,1.44329176847
4,124,48100,387.903225806,1.44344016489
5,41,7100,173.170731707,1.41440306921
6,151,38400,254.304635762,1.44067575451
7,20,11600,580.0,1.41951661825
8,78,56800,728.205128205,1.30028163103
9,50,22500,450.0,1.21093557982
10,87,61900,711.494252874,1.17853986591
11,49,18900,385.714285714,1.09763405981
12,95,86200,907.368421053,1.03953749133
13,173,41000,236.994219653,1.01367528137
14,4,3100,775.0,1.05510515207
15,66,47000,712.121212121,1.0841601574
16,84,40300,479.761904762,1.03319004508
17,97,80300,827.835051546,1.06837361295
18,118,45100,382.203389831,1.0396113155
19,135,37600,278.518518519,1.14437259872
20,118,110100,933.050847458,1.13709004503
21,105,89400,851.428571429,1.14501176391
22,130,79300,610.0,1.20382985804
23,76,89600,1178.94736842,1.25756766243
24,88,103300,1173.86363636,1.36732433923
25,72,64600,897.222222222,1.43470418636
26,92,112600,1223.91304348,1.54618658269
27,5,5800,1160.0,1.56505841324
28,87,103800,1193.10344828,1.56991144734
29,84,109000,1297.61904762,1.65367096452
30,52,72600,1396.15384615,1.69203285193
31,81,118400,1461.72839506,1.62719157474
32,76,110600,1455.26315789,1.56178107176
33,68,100600,1479.41176471,1.60950926237
34,40,67000,1675.0,1.64537335623
35,63,112800,1790.47619048,1.69826693816
36,78,111500,1429.48717949,1.70823642127
37,82,113200,1380.48780488,1.6914885658
38,84,131400,1564.28571429,1.77909526464
39,79,113500,1436.70886076,1.82658466248
40,72,115900,1609.72222222,1.86014206864
41,23,16100,700.0,1.91070897436
42,101,122600,1213.86138614,1.94714404896
43,61,104000,1704.91803279,1.92313476766
44,113,107300,949.557522124,2.10094759537
45,79,125500,1588.60759494,2.171933346
46,48,69000,1437.5,2.1446675059
47,76,125200,1647.36842105,2.14618885644
48,213,42300,198.591549296,2.23411417592
49,169,32500,192.307692308,2.45658172796
50,127,36400,286.614173228,2.83206839781
51,117,96300,823.076923077,2.96466463596
52,126,36300,288.095238095,2.96763183534
53,98,92200,940.816326531,2.8383969038
54,290,62300,214.827586207,2.89587476157
55,103,66600,646.601941748,2.80107668255
56,119,68700,577.31092437,2.82907546259
57,194,104100,536.597938144,2.90884607434
58,107,70200,656.074766355,2.86391644083
59,91,95900,1053.84615385,3.02435471591
60,98,93900,958.163265306,3.00060080204
61,61,81300,1332.78688525,3.01745718975
62,91,81200,892.307692308,2.93882903479
63,130,89400,687.692307692,2.82643062271
64,134,85100,635.074626866,2.72517169058
65,97,124300,1281.44329897,2.7139207432
66,95,95300,1003.15789474,2.75985565644
67,105,108100,1029.52380952,2.84301493727
68,114,88700,778.070175439,2.8803341962
69,95,84000,884.210526316,3.12688330814
70,145,16700,115.172413793,3.27734993823
71,98,53300,543.87755102,3.37735248171
72,120,65700,547.5,3.33833513394
73,100,83300,833.0,3.4273046647
74,163,90700,556.441717791,3.31112564549
75,93,74400,800.0,3.45525875784
76,81,86300,1065.43209877,3.92457346953
77,134,42000,313.432835821,9.23701532423
78,217,51400,236.866359447,12.1200804752
79,99,29800,301.01010101,14.0741199173
80,97,25300,260.824742268,15.0701050031
81,134,18800,140.298507463,15.5133722326
82,40,10600,265.0,15.9290635833
83,189,17600,93.1216931217,14.2253431328
84,123,25100,204.06504065,12.9570552561
85,29,5700,196.551724138,12.3693347749
86,23,11600,504.347826087,11.3162258595
87,134,22900,170.895522388,10.3358987264
88,107,36600,342.056074766,9.3375019905
89,91,32900,361.538461538,8.4893268948
90,145,24900,171.724137931,7.97207530774
91,146,33400,228.767123288,7.55564538479
92,104,48400,465.384615385,7.25977438144
93,33,14600,442.424242424,7.0688849473
94,90,32900,365.555555556,6.63993968643
95,113,31300,276.991150442,6.19987521857
96,114,33100,290.350877193,5.78574169651
97,82,28700,350.0,5.45183118977
98,90,19700,218.888888889,4.98384844191
99,125,58700,469.6,4.58049228586
100,66,22200,336.363636364,4.00271090865
101,90,34700,385.555555556,3.58659485064
102,104,32800,315.384615385,3.21871258959
103,72,31000,430.555555556,2.82582561553
104,5,1500,300.0,2.67423303954
105,127,70800,557.480314961,2.54171360333
106,5,1900,380.0,2.56837060366
107,104,81300,781.730769231,2.60924092378
108,5,2300,460.0,2.66540445328
109,61,15400,252.459016393,2.64586413343
110,119,64200,539.495798319,2.55016572531
111,55,39000,709.090909091,2.51232895356
112,125,71200,569.6,2.42375174925
113,147,77800,529.25170068,2.36614633169
114,102,50900,499.019607843,2.32537717946
115,138,41400,300.0,2.30611183595
116,141,104500,741.134751773,2.27859834731
117,21,16500,785.714285714,2.20498111162
118,121,100000,826.446280992,2.22841350429
119,4,2700,675.0,2.24033280037
120,110,98100,891.818181818,2.18770084105
121,113,70900,627.433628319,2.18950211883
122,157,100200,638.21656051,2.16663088143
123,80,48700,608.75,2.20944214091
