epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,142,69800,491.549295775,0.612757998221
2,157,1700,10.8280254777,0.678235652624
3,157,2900,18.4713375796,0.663864778234
4,157,0,0.0,0.734362255242
5,144,3300,22.9166666667,0.779468812346
6,150,17700,118.0,0.765700876024
7,123,24200,196.74796748,0.784960454283
8,73,130300,1784.93150685,0.865651765214
9,74,124200,1678.37837838,1.27278474842
10,72,107300,1490.27777778,1.60798994733
11,84,66000,785.714285714,1.91229431543
12,77,112400,1459.74025974,1.9815016126
13,62,148600,2396.77419355,2.10847178747
14,57,124900,2191.22807018,2.13144186148
15,95,93700,986.315789474,1.9906649647
16,98,109800,1120.40816327,1.84360210907
17,58,88200,1520.68965517,1.76218472476
18,107,54100,505.607476636,1.85383546078
19,67,150700,2249.25373134,1.94137368871
20,88,107200,1218.18181818,2.02247325467
21,65,85700,1318.46153846,2.12941529511
22,67,63400,946.268656716,2.3825805716
23,69,50600,733.333333333,2.69566487941
24,68,92800,1364.70588235,2.76527382701
25,72,106200,1475.0,2.97281500936
26,86,170200,1979.06976744,2.97020819863
27,62,92900,1498.38709677,2.73396639027
28,72,73000,1013.88888889,2.70978315491
29,79,91200,1154.43037975,2.74331185516
30,69,104200,1510.14492754,2.86936434042
31,71,166800,2349.29577465,2.94955627845
32,64,131100,2048.4375,3.0373877222
33,63,100900,1601.58730159,3.08299272917
34,68,152200,2238.23529412,2.81723729081
35,65,203400,3129.23076923,2.75388105429
36,66,168500,2553.03030303,2.46094780507
37,72,154300,2143.05555556,2.3653528154
38,60,112600,1876.66666667,2.20969334323
39,71,177600,2501.4084507,2.02583809894
40,67,162200,2420.89552239,1.97315261418
41,68,183900,2704.41176471,1.8460046737
42,80,115000,1437.5,1.77148741006
43,63,119300,1893.65079365,1.80093411053
44,69,156000,2260.86956522,1.84080348128
45,82,179500,2189.02439024,1.80333905332
46,70,159300,2275.71428571,1.79281708812
47,65,161400,2483.07692308,1.77065543988
48,62,230700,3720.96774194,1.75474953035
49,67,175700,2622.3880597,1.73880174823
50,63,199600,3168.25396825,1.83780902658
51,73,184000,2520.54794521,1.8300526763
52,65,202800,3120.0,1.96426533272
53,68,110300,1622.05882353,2.0384321178
54,76,248700,3272.36842105,2.17142464226
55,68,221300,3254.41176471,2.29341788005
56,68,218300,3210.29411765,2.40530436629
57,63,218400,3466.66666667,2.45029691513
58,73,188400,2580.82191781,2.64169320196
59,83,201500,2427.71084337,2.66033964037
60,73,186100,2549.31506849,2.81721928275
61,64,185900,2904.6875,3.03376751394
62,67,239000,3567.1641791,3.09777669947
63,64,282500,4414.0625,3.21029313496
64,64,216300,3379.6875,3.34239128797
65,90,90600,1006.66666667,3.3498752027
66,66,141400,2142.42424242,3.35760492688
67,70,234100,3344.28571429,3.36679712116
68,65,172000,2646.15384615,3.32889018609
69,65,289400,4452.30769231,3.34613739797
70,71,250100,3522.53521127,3.33046096683
71,58,247300,4263.79310345,3.46423426261
72,61,249000,4081.96721311,3.61157403118
73,62,290100,4679.03225806,3.84973722564
74,76,215700,2838.15789474,4.04392035854
75,58,214000,3689.65517241,4.14335923619
76,66,229200,3472.72727273,4.40030036044
77,62,163200,2632.25806452,4.71090905255
78,68,201400,2961.76470588,4.79988777986
79,77,187900,2440.25974026,4.91757188959
80,67,192700,2876.11940299,4.90610352301
81,96,133900,1394.79166667,4.86667664838
82,66,45900,695.454545455,4.85894971758
83,81,170600,2106.17283951,4.82309990387
84,63,201900,3204.76190476,4.97708009564
85,64,200200,3128.125,4.86733020833
86,73,194000,2657.53424658,4.84860333704
87,95,143600,1511.57894737,5.10700062486
88,70,236600,3380.0,5.5537950421
89,67,212800,3176.11940299,5.67048550926
90,61,201500,3303.27868852,6.00835217342
91,73,262700,3598.63013699,5.93744994544
92,78,88700,1137.17948718,5.95649125425
93,64,162800,2543.75,5.8521765128
94,75,236700,3156.0,5.8481997579
95,75,193500,2580.0,5.7738068167
96,65,337300,5189.23076923,5.55068696464
97,62,316800,5109.67741935,5.51366967157
98,64,205700,3214.0625,5.51785603198
99,60,284100,4735.0,5.66607854367
100,66,251800,3815.15151515,5.90086154402
101,66,183200,2775.75757576,5.95145670238
102,70,55200,788.571428571,6.11314429624
103,69,202900,2940.57971014,5.9699226634
104,66,344800,5224.24242424,6.10157549636
105,74,289700,3914.86486486,6.00952325316
106,77,199700,2593.50649351,6.05854106599
107,67,158100,2359.70149254,6.02129072904
108,70,301900,4312.85714286,6.21114502942
109,82,110800,1351.2195122,5.88667224381
110,61,191200,3134.42622951,5.97106886538
111,72,332100,4612.5,5.77069386028
112,84,188000,2238.0952381,5.71665792447
113,75,46200,616.0,5.71524312357
114,76,195400,2571.05263158,5.69269441029
115,70,159200,2274.28571429,5.64082916535
116,76,141700,1864.47368421,5.67420639948
117,68,277500,4080.88235294,5.55431183839
118,63,308300,4893.65079365,5.52131196201
119,69,306700,4444.92753623,5.50795880395
120,75,202600,2701.33333333,5.3418495752
121,72,310100,4306.94444444,5.46992925099
122,76,264800,3484.21052632,5.41388732777
123,88,188100,2137.5,5.39004144824
124,80,202600,2532.5,5.28039437818
125,62,288200,4648.38709677,5.26396559773
