epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,60,1519,25.3166666667,0.516048764773
2,45,45,1.0,0.689516165629
3,46,1329,28.8913043478,0.771449569017
4,58,658,11.3448275862,0.804537103549
5,57,1216,21.3333333333,0.818643158786
6,57,1627,28.5438596491,0.81973451701
7,56,1882,33.6071428571,0.858910785979
8,57,1707,29.9473684211,0.901766641038
9,55,1648,29.9636363636,0.916616688017
10,57,1700,29.8245614035,0.923556524692
11,53,710,13.3962264151,0.949319473859
12,56,1369,24.4464285714,0.897286513997
13,57,1148,20.1403508772,0.871324198684
14,57,1339,23.4912280702,0.825132857906
15,57,1541,27.0350877193,0.782248913031
16,56,1274,22.75,0.74383732684
17,57,1258,22.0701754386,0.71283618642
18,57,1098,19.2631578947,0.733705251245
19,54,1047,19.3888888889,0.703450881466
20,55,1414,25.7090909091,0.653049050937
21,54,1718,31.8148148148,0.65057449752
22,55,1502,27.3090909091,0.614321752759
23,54,1545,28.6111111111,0.603046230818
24,58,1536,26.4827586207,0.586980738025
25,57,1659,29.1052631579,0.590346895098
26,56,1608,28.7142857143,0.598557110052
27,51,1500,29.4117647059,0.608466390567
28,57,1424,24.9824561404,0.578582739346
29,56,1932,34.5,0.572952989889
30,55,1657,30.1272727273,0.527463808861
31,56,1689,30.1607142857,0.501496357513
32,57,1550,27.1929824561,0.517256270852
33,56,1679,29.9821428571,0.521817664523
34,57,1516,26.5964912281,0.536498305509
35,57,1316,23.0877192982,0.547452424909
36,58,1592,27.4482758621,0.534489645208
37,57,1662,29.1578947368,0.53164662418
38,53,1652,31.1698113208,0.530320187411
39,45,1340,29.7777777778,0.506254887003
40,57,1485,26.0526315789,0.49255457391
41,58,1680,28.9655172414,0.466042673248
42,57,1597,28.0175438596,0.451470146566
43,57,1368,24.0,0.452146223816
44,58,1690,29.1379310345,0.483690539338
45,57,1682,29.5087719298,0.465440739063
46,57,1670,29.298245614,0.451063811742
47,57,1626,28.5263157895,0.451491391184
48,57,1401,24.5789473684,0.447730823224
49,57,1434,25.1578947368,0.438636037549
