epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,37,0,0.0,0.550910433065
2,37,0,0.0,0.573524789913
3,37,0,0.0,0.548581743101
4,37,0,0.0,0.517551963907
5,37,2,0.0540540540541,0.514140614532
6,37,56,1.51351351351,0.608221172923
7,37,194,5.24324324324,1.05305421447
8,37,239,6.45945945946,1.9450650695
9,37,3748,101.297297297,3.33754548624
10,26,6103,234.730769231,4.42625406675
11,20,7145,357.25,5.11859281734
12,20,7058,352.9,5.66242446899
13,21,7040,335.238095238,6.8640376639
14,25,6668,266.72,7.71303926464
15,22,7552,343.272727273,8.26711639129
16,27,6613,244.925925926,8.84188119039
17,14,8223,587.357142857,9.86383592695
18,16,8535,533.4375,11.0299293014
19,16,8298,518.625,11.2100315562
20,14,8279,591.357142857,12.1834154943
21,20,7777,388.85,12.576140776
22,16,7661,478.8125,12.7497262439
23,17,7441,437.705882353,12.4067240018
24,29,6527,225.068965517,12.2024980268
