epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,1,0,0.0,0.320975095034
2,1,0,0.0,0.249662294984
3,1,0,0.0,0.194193318486
4,1,0,0.0,0.151048466563
5,1,0,0.0,0.117489390075
6,1,0,0.0,0.0913862138987
7,1,0,0.0,0.0710827335715
8,1,0,0.0,0.0552902445197
9,1,0,0.0,0.0430064275861
10,1,0,0.0,0.0334520041943
11,1,0,0.0,0.0260204300284
12,1,0,0.0,0.0202397406101
13,1,0,0.0,0.0157435238361
14,1,0,0.0,0.0122461766005
15,1,0,0.0,0.00952620059252
16,1,0,0.0,0.00743423402309
17,1,0,0.0,0.00578318536282
18,1,0,0.0,0.00449892133474
19,1,0,0.0,0.0035000666976
20,1,0,0.0,0.00272318720818
21,1,0,0.0,0.00211933255196
22,1,0,0.0,0.0016490444541
23,1,0,0.0,0.00128324329853
24,1,0,0.0,0.000998720526695
25,1,0,0.0,0.000777535140514
26,1,0,0.0,0.000605307519436
27,1,0,0.0,0.000471413135529
28,1,0,0.0,0.000367261469364
29,1,0,0.0,0.00028620660305
30,1,0,0.0,0.000223092734814
31,1,0,0.0,0.000174127519131
32,1,0,0.0,0.000136069953442
33,1,0,0.0,0.000106573104858
34,1,0,0.0,8.34465026855e-05
35,1,0,0.0,6.56545162201e-05
36,1,0,0.0,5.15952706337e-05
37,1,0,0.0,4.06578183174e-05
38,1,0,0.0,3.22982668877e-05
39,1,0,0.0,2.55927443504e-05
40,1,0,0.0,2.05114483833e-05
41,1,0,0.0,1.64657831192e-05
42,1,0,0.0,1.33290886879e-05
43,1,0,0.0,1.08629465103e-05
44,1,0,0.0,8.92579555511e-06
45,1,0,0.0,7.56978988647e-06
46,1,0,0.0,6.55651092529e-06
47,1,0,0.0,5.64008951187e-06
48,1,0,0.0,4.90993261337e-06
49,1,0,0.0,4.42564487457e-06
50,1,0,0.0,4.07546758652e-06
51,1,0,0.0,3.76999378204e-06
52,1,0,0.0,3.50922346115e-06
53,1,0,0.0,3.45706939697e-06
54,1,0,0.0,3.21865081787e-06
55,1,0,0.0,3.07708978653e-06
56,1,0,0.0,3.01748514175e-06
57,1,0,0.0,3.00258398056e-06
58,1,0,0.0,2.86102294922e-06
59,1,0,0.0,2.94297933578e-06
60,1,0,0.0,2.97278165817e-06
61,1,0,0.0,2.84612178802e-06
62,1,0,0.0,2.82377004623e-06
63,1,0,0.0,2.80141830444e-06
64,1,0,0.0,2.79396772385e-06
65,1,0,0.0,2.69711017609e-06
66,1,0,0.0,2.74181365967e-06
67,1,0,0.0,2.61515378952e-06
68,1,0,0.0,2.6598572731e-06
69,1,0,0.0,2.77161598206e-06
70,1,0,0.0,2.76416540146e-06
71,1,0,0.0,2.83122062683e-06
72,1,0,0.0,2.80886888504e-06
73,1,0,0.0,2.87592411041e-06
74,1,0,0.0,2.80886888504e-06
75,1,0,0.0,2.71201133728e-06
76,1,0,0.0,2.68220901489e-06
77,1,0,0.0,2.6524066925e-06
78,1,0,0.0,2.64495611191e-06
79,1,0,0.0,2.55554914474e-06
80,1,0,0.0,2.58535146713e-06
81,1,0,0.0,2.70456075668e-06
82,1,0,0.0,2.63005495071e-06
83,1,0,0.0,2.60770320892e-06
84,1,0,0.0,2.49594449997e-06
85,1,0,0.0,2.55554914474e-06
86,1,0,0.0,2.60025262833e-06
87,1,0,0.0,2.47359275818e-06
88,1,0,0.0,2.60770320892e-06
89,1,0,0.0,2.6673078537e-06
90,1,0,0.0,2.61515378952e-06
91,1,0,0.0,2.63750553131e-06
92,1,0,0.0,2.71201133728e-06
93,1,0,0.0,2.85357236862e-06
94,1,0,0.0,2.80886888504e-06
95,1,0,0.0,2.86102294922e-06
96,1,0,0.0,2.78651714325e-06
97,1,0,0.0,2.80886888504e-06
98,1,0,0.0,2.74926424026e-06
99,1,0,0.0,2.77906656265e-06
