epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,295,163,0.552542372881,0.387693015048
2,659,1212,1.83915022762,0.459376239956
3,313,2185,6.98083067093,0.558974437163
4,226,2824,12.4955752212,1.07317108944
5,212,3042,14.3490566038,1.58079254281
6,194,3409,17.5721649485,2.10724337418
7,146,4056,27.7808219178,2.30530824313
8,135,4073,30.1703703704,2.54415167058
9,108,3994,36.9814814815,2.8194152359
10,117,4296,36.7179487179,2.79817740779
11,102,5273,51.6960784314,3.02554408242
12,100,5356,53.56,3.28955053765
