epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,328,4300,13.1097560976,0.432869689185
2,319,3000,9.40438871473,0.462405639263
3,321,3100,9.65732087227,0.44623287187
4,318,2800,8.80503144654,0.434188949745
5,316,2300,7.27848101266,0.414348345092
6,314,2200,7.00636942675,0.412546946155
7,317,2300,7.25552050473,0.406165509615
8,309,1400,4.53074433657,0.386443396779
9,312,1900,6.08974358974,0.374295603139
10,327,3800,11.620795107,0.349459633837
11,320,2700,8.4375,0.346746140793
12,314,2000,6.36942675159,0.337516843462
13,318,2700,8.49056603774,0.334250826342
14,319,2500,7.83699059561,0.331080065584
15,316,2300,7.27848101266,0.354181841929
16,314,2100,6.68789808917,0.357599577615
17,313,1900,6.07028753994,0.359881408177
18,311,2100,6.75241157556,0.372584604723
19,310,1800,5.8064516129,0.419442600459
20,321,3000,9.34579439252,0.441033251127
21,314,2100,6.68789808917,0.453833310753
22,349,6700,19.1977077364,0.449030801561
23,364,8900,24.4505494505,0.482524794359
24,372,10000,26.8817204301,0.536632751571
25,404,14300,35.396039604,0.622735611815
26,357,8500,23.8095238095,0.736154482365
27,352,6600,18.75,0.810492070373
28,347,6700,19.3083573487,0.84916605128
29,392,12200,31.1224489796,0.847367167007
30,345,6200,17.9710144928,0.800704146512
