epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,756,15500,20.5026455026,0.494309753925
2,789,17700,22.433460076,0.544799108319
3,726,12900,17.7685950413,0.548072920553
4,689,10000,14.5137880987,0.538551327009
5,707,10300,14.5685997171,0.4977386685
6,688,12100,17.5872093023,0.485345371552
7,689,11100,16.1103047896,0.483125222782
8,674,9100,13.5014836795,0.461026990488
9,663,9800,14.7812971342,0.448262341786
10,725,12300,16.9655172414,0.436257345453
11,754,15700,20.8222811671,0.426273412285
12,813,20100,24.7232472325,0.410278237863
13,711,13200,18.5654008439,0.410347368671
14,882,24700,28.0045351474,0.378398052417
15,666,8300,12.4624624625,0.372790603023
16,779,17400,22.3363286264,0.383777090497
17,748,16000,21.3903743316,0.37938304197
18,889,28600,32.1709786277,0.38831515898
19,800,19200,24.0,0.373756291028
20,902,24700,27.3835920177,0.398203940615
21,889,24800,27.8965129359,0.383718970362
22,908,26400,29.0748898678,0.401826727008
23,771,16100,20.8819714656,0.38967952176
24,843,21700,25.7413997628,0.406674555959
25,928,28900,31.1422413793,0.398874515519
26,1001,34500,34.4655344655,0.384900759105
27,784,18400,23.4693877551,0.376542794779
28,770,15200,19.7402597403,0.388066965928
29,766,16200,21.1488250653,0.385888715088
30,867,23300,26.8742791234,0.403241270911
31,1038,37500,36.1271676301,0.423183081932
32,792,17400,21.9696969697,0.40356534848
33,909,30900,33.9933993399,0.457684196308
34,1378,74800,54.2815674891,0.468272407092
