epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,849,9600,11.3074204947,0.67711434599
2,807,9600,11.8959107807,0.648271126123
3,734,8300,11.3079019074,0.699353455575
4,629,4000,6.35930047695,0.748758529695
5,625,4400,7.04,1.32693141751
6,928,13800,14.8706896552,1.87044326745
7,1007,14100,14.0019860973,2.12579368912
8,1030,12900,12.5242718447,2.25741014905
9,1010,13400,13.2673267327,2.27778800972
10,959,10900,11.3660062565,2.21074045729
11,988,12100,12.2469635628,2.15029356401
12,921,9700,10.5320304017,2.01941299267
13,983,10300,10.478128179,1.91143566225
14,822,8500,10.3406326034,1.81664374895
15,725,6100,8.41379310345,1.83200731412
16,721,6700,9.29264909847,1.97857523315
17,777,8000,10.296010296,1.87113400627
18,698,6700,9.59885386819,1.86522715099
19,782,8100,10.358056266,1.76823921956
20,783,7300,9.32311621967,1.67683451399
21,822,9900,12.0437956204,1.60866512861
22,824,8400,10.1941747573,1.54717554875
23,912,12400,13.5964912281,1.40482630726
24,900,12500,13.8888888889,1.28043615459
25,909,11800,12.9812981298,1.21003350263
26,858,10000,11.655011655,1.13634338237
27,936,13700,14.6367521368,1.05325536264
28,927,15700,16.9363538296,0.969363285657
29,1107,24600,22.2222222222,0.893884033486
30,1112,30700,27.6079136691,0.846814694609
31,1279,41900,32.7599687256,0.831871830747
32,1413,49300,34.8903043171,0.852569595408
33,1416,54700,38.6299435028,0.853739071693
34,1537,61000,39.6877033182,0.847866424732
35,1698,74600,43.9340400471,0.849542511404
36,1814,92000,50.7166482911,0.853870828412
37,1901,98300,51.7096265124,0.850066909548
38,2053,114900,55.9668777399,0.854418836758
39,2902,195800,67.4707098553,0.854422287811
40,3858,293400,76.0497667185,0.882330639306
41,5798,484900,83.6322869955,0.903189441804
42,6992,598700,85.6264302059,0.924845615756
43,7485,657400,87.828991316,0.934324797541
44,8015,700700,87.423580786,0.942040516399
45,8165,709200,86.8585425597,0.940913032312
46,9018,786400,87.2033710357,0.938483168203
47,9616,844500,87.8223793677,0.934302933328
48,9659,849200,87.9180039342,0.941029640418
49,9599,846800,88.2175226586,0.943451318163
50,9970,879500,88.2146439318,0.939566252157
51,10233,908500,88.7813935307,0.93836394446
52,10213,904000,88.5146382062,0.940031048898
53,10273,911900,88.7666699114,0.937746897303
54,10197,904800,88.7319799941,0.939212167077
55,10448,924900,88.5241194487,0.939522482324
56,10399,923500,88.8066160208,0.936507045235
57,10459,926200,88.5553112152,0.935798496753
58,10547,935000,88.6508011757,0.94023313025
59,10549,935200,88.6529528865,0.936748252343
60,10712,951100,88.788274832,0.938659167103
61,10781,956600,88.7301734533,0.938325695284
62,10867,970900,89.3438851569,0.936438544616
63,11022,974300,88.3959354019,0.940132137183
64,10769,967700,89.8597827096,0.937130320538
65,10882,968300,88.9818048153,0.939065426197
66,10950,976200,89.1506849315,0.938218449224
67,10936,966300,88.3595464521,0.935519322157
68,10944,970300,88.6604532164,0.939069833606
