epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,722,8300,11.4958448753,0.527175788702
2,774,11500,14.857881137,0.5437828416
3,743,10900,14.6702557201,0.574339652192
4,683,7900,11.5666178624,0.568466373328
5,697,8600,12.3385939742,0.577058396414
6,619,7200,11.6316639742,0.603151675491
7,589,5000,8.48896434635,0.582285183268
8,575,4200,7.30434782609,0.593990549343
9,562,2500,4.44839857651,0.653420743681
10,551,1300,2.35934664247,0.78561777683
11,544,1500,2.75735294118,1.07437002245
12,580,3800,6.55172413793,1.52808606278
13,716,9700,13.5474860335,1.82704929639
14,778,11900,15.2956298201,2.05638440602
15,804,10900,13.5572139303,2.1673546207
16,793,9100,11.4754098361,2.21294140916
17,846,11200,13.2387706856,2.16263611659
18,831,11500,13.8387484958,2.10649620596
19,753,9800,13.0146082337,2.08335740127
20,785,10700,13.6305732484,2.06707061656
21,822,11800,14.3552311436,2.03816902943
22,706,8400,11.8980169972,1.9971439901
23,800,11400,14.25,1.94006362528
24,843,12200,14.4721233689,1.88456340857
25,828,11300,13.6473429952,1.80128151491
26,867,13100,15.1095732411,1.69716655713
27,824,12800,15.5339805825,1.55773462873
28,821,12200,14.8599269184,1.45087779623
29,781,10300,13.1882202305,1.31716117263
30,825,12800,15.5151515152,1.22472802736
31,843,13000,15.4211150652,1.11941678762
32,891,14600,16.3860830527,1.0525912907
33,875,18100,20.6857142857,0.960676677618
34,1154,36100,31.2824956672,0.908329118062
35,1250,47100,37.68,0.876644383855
36,1378,61300,44.4847605225,0.871525950637
37,1466,69900,47.6807639836,0.868201598544
38,1893,112900,59.6407818278,0.867430464141
39,2411,173400,71.9203649938,0.87100016918
40,4525,393000,86.8508287293,0.88678839799
41,6003,552200,91.9873396635,0.9158117266
42,7719,727200,94.2090944423,0.929432805348
43,8714,827600,94.973605692,0.932418481987
44,9372,893100,95.2944942382,0.937369016819
45,9978,951500,95.3597915414,0.940409341771
46,10700,1025800,95.8691588785,0.937364394087
47,11085,1060600,95.6788452864,0.942082264964
48,11860,1139400,96.0708263069,0.944469634909
49,12078,1159600,96.0092730585,0.93943049727
50,12402,1195400,96.3876794065,0.942854040954
51,12456,1200500,96.3792549775,0.942406693343
52,12582,1211100,96.2565569862,0.938306818623
53,12999,1255600,96.592045542,0.938697240259
54,13322,1290900,96.8998648852,0.940872895755
55,13466,1308900,97.2003564533,0.93900831474
56,13549,1313800,96.9665657982,0.939373017978
