epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,380,2400,6.31578947368,0.671223053318
2,382,2800,7.32984293194,0.583296812605
3,383,2200,5.74412532637,0.536743375808
4,393,3600,9.16030534351,0.466192656532
5,405,5400,13.3333333333,0.408809093488
6,388,3100,7.98969072165,0.372009039866
7,394,4400,11.1675126904,0.3430982887
8,409,5800,14.1809290954,0.332625805978
9,389,3800,9.76863753213,0.317656836351
10,392,4200,10.7142857143,0.299161277553
11,399,4400,11.0275689223,0.298209536988
12,400,4400,11.0,0.266697498462
13,391,3200,8.18414322251,0.259884626474
14,406,5100,12.5615763547,0.263427470624
15,383,2800,7.31070496084,0.256389749553
16,390,3400,8.71794871795,0.252781628473
17,397,4100,10.3274559194,0.251644109935
18,399,4000,10.0250626566,0.25790527836
19,381,1900,4.98687664042,0.267333452082
20,401,4700,11.7206982544,0.237576960968
21,390,3400,8.71794871795,0.235146441646
22,392,3500,8.92857142857,0.25302762717
23,400,4700,11.75,0.24900297313
24,389,3700,9.51156812339,0.273019093918
25,375,1400,3.73333333333,0.280336545501
26,402,4900,12.1890547264,0.286009746352
27,389,3500,8.99742930591,0.263600597577
28,393,4100,10.4325699746,0.271888313154
29,390,3700,9.48717948718,0.282916048095
30,385,2600,6.75324675325,0.303082162067
31,395,3700,9.36708860759,0.297908643037
32,398,3700,9.29648241206,0.26111790007
33,391,3100,7.9283887468,0.244999004379
34,371,1000,2.69541778976,0.242614098378
35,389,3500,8.99742930591,0.224541507401
36,374,1400,3.74331550802,0.24580814546
37,404,5100,12.6237623762,0.22936394183
38,396,4300,10.8585858586,0.246039398406
39,393,4100,10.4325699746,0.229359147269
40,372,1100,2.95698924731,0.235939588938
41,386,2400,6.21761658031,0.235097028986
42,379,2100,5.54089709763,0.223880644832
43,386,2600,6.73575129534,0.2227478927
44,390,3100,7.94871794872,0.225303006507
45,384,2600,6.77083333333,0.230239190031
46,378,1700,4.49735449735,0.250948387329
47,383,2600,6.78851174935,0.259808719084
48,382,2500,6.5445026178,0.246339237615
49,375,1600,4.26666666667,0.254839007929
50,385,2600,6.75324675325,0.239219203703
51,394,3300,8.37563451777,0.25995807901
52,384,2400,6.25,0.251594690681
53,395,3600,9.11392405063,0.235437021721
54,377,1500,3.97877984085,0.253782276064
55,381,2100,5.51181102362,0.259300156031
56,388,2900,7.47422680412,0.233841128647
57,393,3300,8.39694656489,0.234825401828
