epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,530,2000,3.77358490566,0.398688154118
2,532,1700,3.1954887218,0.439024865236
3,540,2800,5.18518518519,0.431001362689
4,527,1300,2.46679316888,0.418263257788
5,532,1800,3.38345864662,0.396295964727
6,535,2000,3.73831775701,0.384135968359
7,536,2200,4.10447761194,0.367827545414
8,538,2600,4.83271375465,0.358057856588
9,535,2400,4.48598130841,0.349292298071
10,548,3900,7.11678832117,0.32511382034
11,547,3900,7.12979890311,0.313682896271
12,527,900,1.70777988615,0.309265523395
13,528,1300,2.46212121212,0.288227982903
14,546,4000,7.32600732601,0.274981808104
15,537,2100,3.91061452514,0.27251519205
16,540,3200,5.92592592593,0.270561252348
17,543,3400,6.26151012891,0.267402821514
18,540,2800,5.18518518519,0.261520269625
19,553,4700,8.49909584087,0.26416583091
20,543,3700,6.81399631676,0.262727580899
21,550,4600,8.36363636364,0.252750518937
22,533,1800,3.37711069418,0.258434930337
23,552,4600,8.33333333333,0.23815170553
24,531,2100,3.95480225989,0.257910548691
25,550,4600,8.36363636364,0.28041688825
26,548,4200,7.66423357664,0.293112302758
27,558,5400,9.67741935484,0.285775768077
28,536,2600,4.85074626866,0.289943696233
29,540,2700,5.0,0.300704126796
30,541,3200,5.91497227357,0.3152228765
31,561,6800,12.1212121212,0.306181607274
32,577,8400,14.5580589255,0.33657700872
33,578,8200,14.1868512111,0.342106475253
34,580,9200,15.8620689655,0.357836966068
35,594,10800,18.1818181818,0.375843677195
36,572,7200,12.5874125874,0.39373196777
