epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,330,2700,8.18181818182,0.716238956824
2,326,2100,6.44171779141,0.648441268355
3,323,1800,5.57275541796,0.57181697255
4,323,1500,4.6439628483,0.501555355247
5,327,1900,5.81039755352,0.448627842488
6,324,2000,6.17283950617,0.387881301017
7,325,2100,6.46153846154,0.340765762692
8,331,2700,8.15709969789,0.314019637993
9,337,3400,10.0890207715,0.290192142958
10,326,2000,6.13496932515,0.287440089611
11,323,1800,5.57275541796,0.261580527946
12,319,1300,4.07523510972,0.234939893191
13,316,900,2.84810126582,0.219529537167
