epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,1031,32400,31.425800194,0.511388262752
2,1025,30400,29.6585365854,0.619622256923
3,1129,42900,37.9982285208,0.669788412191
4,1204,53300,44.26910299,0.685669157989
5,1202,52200,43.4276206323,0.672754288968
6,1208,53300,44.1225165563,0.693819025718
7,1489,88100,59.1672263264,0.723763545156
8,1761,120400,68.3702441794,0.752567346059
9,1689,114300,67.6731793961,0.830742897354
10,1522,95900,63.0091984231,0.868461397756
11,1320,69200,52.4242424242,0.905144184716
12,1704,115300,67.6643192488,0.897292026225
13,1512,92800,61.3756613757,0.893690669518
14,1531,95600,62.4428478119,0.884752536472
15,2380,196800,82.6890756303,0.908212821968
16,1589,106600,67.086217747,0.892373000551
17,2765,239200,86.5099457505,0.907865517717
18,1850,131800,71.2432432432,0.904669143893
19,4089,382200,93.4702861335,0.917871078718
20,4436,421200,94.950405771,0.925335979741
21,6392,625400,97.8410513141,0.928475046866
22,7248,714200,98.5375275938,0.924665912222
23,7897,781200,98.9236418893,0.932232260481
24,9130,908800,99.5399780942,0.934820508398
25,9481,943500,99.5148191119,0.934116304237
26,10430,1041100,99.8178331735,0.934377364945
27,10538,1052700,99.8956158664,0.938173413631
28,10659,1064600,99.8780373393,0.938085044976
29,10616,1060600,99.9058025622,0.939995308444
30,11046,1104200,99.9637877965,0.939543921631
31,11034,1102600,99.927496828,0.938094145488
32,11075,1107100,99.9638826185,0.9379470657
