epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,160,21720,135.75,1.5134348134
2,97,38800,400.0,2.88588891465
3,159,34220,215.220125786,4.39913241971
4,97,36420,375.463917526,6.8741324335
5,147,13280,90.3401360544,9.31469135424
6,107,42320,395.514018692,10.7607898957
7,143,34760,243.076923077,11.5800970982
8,116,27300,235.344827586,11.9845382447
9,91,41320,454.065934066,11.9838648668
10,88,34140,387.954545455,11.7370767868
11,103,40460,392.815533981,11.8171977752
12,144,35160,244.166666667,11.0384532645
13,171,35640,208.421052632,10.5854042949
14,113,35740,316.283185841,10.3816590947
15,88,45900,521.590909091,10.1648347779
16,81,6560,80.987654321,9.83299545471
17,69,90840,1316.52173913,9.45051855577
18,60,86480,1441.33333333,9.19245310066
19,59,89440,1515.93220339,8.90371502824
20,54,121720,2254.07407407,8.8480157101
21,60,92780,1546.33333333,8.62384021012
22,76,105840,1392.63157895,8.55492499492
23,66,104340,1580.90909091,8.28682972592
24,89,71490,803.258426966,8.15562777169
25,70,112780,1611.14285714,8.19373557633
26,97,88060,907.835051546,8.16241487707
27,75,119460,1592.8,8.08176180085
28,160,29720,185.75,8.23883480231
29,79,105140,1330.88607595,8.33600018039
30,74,124050,1676.35135135,8.17627649429
31,66,129790,1966.51515152,8.4047960823
32,72,133100,1848.61111111,8.54650872733
33,70,160450,2292.14285714,8.61131170564
34,136,69000,507.352941176,8.926092279
35,65,143490,2207.53846154,9.15467276139
36,63,130140,2065.71428571,9.1013654433
37,62,153880,2481.93548387,9.31146893918
38,101,64030,633.96039604,9.35566729261
39,65,163240,2511.38461538,9.56139074422
40,93,86440,929.462365591,9.72142938324
41,88,107610,1222.84090909,9.84713144516
