epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,1538,-738990,-480.487646294,0.167900126856
2,1478,-709870,-480.290933694,0.217611469608
3,977,-473240,-484.380757421,0.335708016658
4,1468,-698080,-475.53133515,0.71769640943
5,756,-360620,-477.010582011,1.50033057596
6,509,-234680,-461.060903733,2.07890240338
7,515,-246350,-478.349514563,2.42335094355
8,501,-238830,-476.706586826,2.51581307951
9,640,-300090,-468.890625,2.57940713901
10,478,-222840,-466.192468619,2.56024581874
11,438,-207960,-474.794520548,2.4139361174
12,336,-158370,-471.339285714,2.21766403504
13,414,-193930,-468.429951691,2.06793015828
14,379,-176920,-466.807387863,1.90895178949
15,447,-204860,-458.299776286,1.78881413343
16,412,-196590,-477.160194175,1.67982602502
17,439,-204440,-465.69476082,1.56348756786
18,377,-174590,-463.103448276,1.50963675628
19,412,-194150,-471.237864078,1.46238940226
20,393,-185290,-471.475826972,1.38943441158
21,352,-170140,-483.352272727,1.36665833431
22,499,-213400,-427.655310621,1.34262778617
23,361,-168130,-465.734072022,1.2942642792
24,389,-172300,-442.93059126,1.28608987967
25,340,-160770,-472.852941176,1.26857464539
26,372,-175490,-471.747311828,1.27169433715
27,380,-180450,-474.868421053,1.27588217204
28,452,-201790,-446.438053097,1.24945782939
29,392,-148870,-379.770408163,1.25214612221
30,351,-167170,-476.267806268,1.2466563117
31,382,-170340,-445.916230366,1.24104941964
32,497,-101570,-204.366197183,1.21929336463
33,357,-156660,-438.823529412,1.21848007441
34,522,-247200,-473.563218391,1.22485751858
35,500,-116410,-232.82,1.23270103679
36,1535,432110,281.504885993,1.22369894763
37,1022,222390,217.602739726,1.57311283426
38,1095,158660,144.894977169,1.7067514383
39,2538,952030,375.110323089,1.65206392335
40,3659,1495400,408.690899153,1.67916183651
41,3193,1315050,411.854055747,1.67204940135
42,3292,1304130,396.15127582,1.68879935788
43,3545,1446250,407.968970381,1.68501199741
44,4399,1822940,414.398726983,1.67935009897
45,3867,1579680,408.502715283,1.67437107923
46,1997,719720,360.400600901,1.68593520854
47,4129,1696000,410.753209009,1.68942245536
48,4273,1785720,417.90779312,1.68921854826
49,4026,1648010,409.34177844,1.6968030007
50,4301,1756190,408.321320623,1.69198792791
51,3800,1527120,401.873684211,1.68903386476
52,2260,690610,305.579646018,1.68405316649
53,4323,1813580,419.518852649,1.67744232971
54,4114,1747430,424.752066116,1.67975135254
55,1184,281430,237.694256757,1.7134229349
56,4386,1819280,414.79252166,1.6965966624
57,4389,1827550,416.393255867,1.69230709014
58,4240,1728960,407.773584906,1.68985216415
59,3013,1124990,373.378692333,1.69349903515
60,4518,1911450,423.07436919,1.69146858735
61,4342,1808760,416.57300783,1.69729434682
62,3168,1296890,409.371843434,1.6884906169
63,4112,1732360,421.293774319,1.68282624103
64,3356,1401840,417.711561383,1.68707642188
