epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,925,-461790,-499.232432432,0.336412469624
2,924,-460970,-498.885281385,0.321283743673
3,1179,-578650,-490.797285835,0.488972350864
4,645,-313870,-486.620155039,1.43148058489
5,501,-246310,-491.636726547,1.58051695239
6,498,-245470,-492.911646586,1.8630478038
7,380,-186110,-489.763157895,1.90684346581
8,344,-167670,-487.412790698,1.77566269517
9,283,-138970,-491.060070671,1.81311888501
10,245,-120290,-490.979591837,1.70452490963
11,337,-161080,-477.982195846,1.63602011725
12,293,-142640,-486.825938567,1.53264585031
13,241,-118150,-490.248962656,1.48262538779
14,289,-140690,-486.816608997,1.38834467211
15,279,-136770,-490.215053763,1.32706190029
16,253,-124010,-490.158102767,1.29761897456
17,234,-114670,-490.042735043,1.25564350034
18,259,-126930,-490.077220077,1.23356876706
19,227,-109770,-483.568281938,1.19810561272
20,238,-116620,-490.0,1.17718766679
21,241,-118120,-490.124481328,1.1738870537
22,236,-115660,-490.084745763,1.16403140415
23,235,-115170,-490.085106383,1.16295311765
24,230,-112730,-490.130434783,1.12385913683
25,285,-138700,-486.666666667,1.11899116415
26,265,-127890,-482.603773585,1.12006368942
27,253,-124010,-490.158102767,1.12285647132
28,273,-133780,-490.036630037,1.12050917653
29,337,-165150,-490.059347181,1.12253483965
30,272,-133290,-490.036764706,1.10331143788
31,232,-113200,-487.931034483,1.10907562954
32,296,-145040,-490.0,1.09757143866
33,258,-126440,-490.07751938,1.08639811274
34,264,-129380,-490.075757576,1.08091410053
35,308,-150950,-490.097402597,1.07793416924
36,275,-134760,-490.036363636,1.08328924091
37,254,-124470,-490.039370079,1.05958829595
38,274,-134290,-490.109489051,1.06445872857
39,231,-113190,-490.0,1.06747424175
40,276,-135260,-490.072463768,1.06445714235
41,196,-95070,-485.051020408,1.06316501186
42,256,-125460,-490.078125,1.0460038054
43,274,-134270,-490.03649635,1.0473710236
44,250,-120500,-482.0,1.04331400563
45,243,-118580,-487.983539095,1.03824657388
46,254,-124460,-490.0,1.03279561433
47,236,-114160,-483.728813559,1.0336027841
48,249,-122030,-490.080321285,1.04357939129
49,239,-116180,-486.108786611,1.04305545192
50,258,-125450,-486.240310078,1.02725101023
51,306,-148940,-486.732026144,1.0243569525
52,248,-121540,-490.080645161,1.02767978965
53,258,-126440,-490.07751938,1.02679205607
54,259,-126920,-490.038610039,1.02131609153
55,272,-133290,-490.036764706,1.01334494234
56,277,-135750,-490.072202166,1.0258921081
57,276,-135250,-490.036231884,1.01851406109
58,285,-138180,-484.842105263,1.02304683801
59,305,-139460,-457.245901639,1.01875938264
60,276,-133270,-482.862318841,1.02420819644
61,289,-137630,-476.228373702,1.01578161894
62,262,-122400,-467.175572519,1.03209711938
63,247,-119570,-484.089068826,1.01071588302
64,231,-112210,-485.757575758,1.02093674015
65,230,-112700,-490.0,1.01666503355
66,284,-139180,-490.070422535,1.02435000644
67,274,-107880,-393.722627737,1.0117316512
68,237,-113660,-479.578059072,1.00639725775
69,290,-107120,-369.379310345,1.01519178707
70,240,-117600,-490.0,1.00174156146
71,248,-120540,-486.048387097,1.00887827989
72,299,-127530,-426.52173913,1.00256472427
73,271,-99790,-368.228782288,1.01037459019
74,293,-120600,-411.604095563,1.0160102004
75,277,-119760,-432.346570397,1.02529486642
76,268,-113330,-422.873134328,1.02445800228
77,307,-140970,-459.185667752,1.02300257608
78,279,-111740,-400.501792115,1.02053212046
79,346,-93570,-270.433526012,1.03090680904
80,372,-69280,-186.23655914,1.0234975821
81,405,-52570,-129.802469136,1.05129171634
82,305,-128460,-421.180327869,1.14350146786
83,276,-136610,-494.963768116,2.08177248448
84,230,-104720,-455.304347826,2.48086522963
85,331,-161750,-488.670694864,2.36026950203
86,303,-147520,-486.864686469,2.21907260977
87,339,-162150,-478.318584071,1.99648618266
88,333,-132220,-397.057057057,1.81870631628
89,271,-130800,-482.656826568,1.65279955499
90,270,-130340,-482.740740741,1.51088820906
91,312,-122430,-392.403846154,1.41182827493
92,381,-80230,-210.577427822,1.32840244996
93,311,-142410,-457.909967846,1.26005471899
94,439,-106740,-243.143507973,1.21329995015
95,391,-46600,-119.181585678,1.1756872185
96,480,-18230,-37.9791666667,1.1908490344
