epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,1,0,0.0,0.282494056979
2,1,0,0.0,0.30246093329
3,1,0,0.0,0.340293328464
4,1,0,0.0,0.428548303433
5,1,10,10.0,0.446961945361
6,1,0,0.0,0.596987809697
7,1,10,10.0,0.704158839621
8,1,10,10.0,0.73432772221
9,1,10,10.0,0.71435513597
10,1,10,10.0,0.659758622153
11,1,10,10.0,0.597604333302
12,1,10,10.0,0.570874862839
13,1,10,10.0,0.522104209573
14,1,10,10.0,0.473218695605
15,1,10,10.0,0.424557194638
16,1,10,10.0,0.386279792034
17,1,10,10.0,0.338186994558
18,1,10,10.0,0.33246542397
19,1,10,10.0,0.311644457472
20,1,10,10.0,0.276752485742
21,1,10,10.0,0.25320672496
22,1,10,10.0,0.225647074291
23,1,10,10.0,0.21393655828
24,1,10,10.0,0.204688335767
25,1,10,10.0,0.197830585244
26,1,10,10.0,0.24802945157
27,1,10,10.0,0.249031197387
28,1,10,10.0,0.223648417194
29,1,10,10.0,0.231127756212
30,1,10,10.0,0.215643358037
31,1,10,10.0,0.219324043905
32,1,10,10.0,0.222084575184
33,1,10,10.0,0.218644245116
34,9,4590,510.0,0.216516130934
35,1,10,10.0,0.216201263615
36,16,8160,510.0,0.224208323739
37,1,510,510.0,0.238730672593
38,1,510,510.0,0.259313959612
39,1,10,10.0,0.301119068663
40,1,10,10.0,0.349789389509
41,1,10,10.0,0.881048519872
42,1,10,10.0,1.4114932262
43,1,10,10.0,1.56226452284
44,1,10,10.0,1.62759743787
45,1,0,0.0,1.69098425955
46,1,10,10.0,1.57840094302
47,1,10,10.0,1.43513215203
48,1,10,10.0,1.26732538735
49,1,10,10.0,1.09285549853
50,1,10,10.0,0.952489828691
51,1,10,10.0,0.839459794704
52,1,10,10.0,0.742689250577
53,1,10,10.0,0.663852051077
54,303,154530,510.0,0.608371519912
