epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,11,5500,500.0,0.22820107338
2,1,0,0.0,0.221194391353
3,1,0,0.0,0.225001941491
4,3,1500,500.0,0.22067095275
5,1,0,0.0,0.299225424454
6,6,3000,500.0,0.369668864952
7,1,0,0.0,0.446973484876
8,1,0,0.0,0.488793991348
9,1,0,0.0,0.776096859574
10,1,0,0.0,1.7315189614
11,1,0,0.0,2.12067293122
12,5,2500,500.0,2.09359498937
13,1,0,0.0,1.9821880576
14,1,0,0.0,1.77122762971
15,1,0,0.0,1.50861414995
16,1,0,0.0,1.26900579374
17,1,0,0.0,1.08063915893
18,1,0,0.0,0.966206769329
19,1,0,0.0,0.841719230581
20,38,19000,500.0,0.747287683785
21,4043,2021500,500.0,0.802800081093
22,5385,2692500,500.0,0.834807322342
23,5382,2691000,500.0,0.836704316642
24,5388,2694000,500.0,0.841546713095
25,5392,2696000,500.0,0.845868380237
26,5390,2695000,500.0,0.844184786435
27,5379,2689500,500.0,0.844872841965
28,5375,2687500,500.0,0.845661517587
29,5385,2692500,500.0,0.843494547494
30,5386,2693000,500.0,0.844485630933
31,5393,2696500,500.0,0.842491855547
32,5390,2695000,500.0,0.841473749783
